orig.ident	C	Z	FDR
IU_PDA_T12	0.0586820238907044	13.5275418626842	1.10376531333441e-40
IU_PDA_T11	0.0451632456978795	9.4164418348	8.85397572721032e-20
IU_PDA_T6	0.0392195580394594	8.14596934647886	3.33954540545469e-15
IU_PDA_T1	0.0317732751515539	7.20040865415726	1.46548319621402e-11
IU_PDA_T4	0.0356949521521453	7.12508113569222	8.61857807871423e-12
IU_PDA_T9	0.0300592027304814	6.88689383065315	7.84382196847893e-11
IU_PDA_T3	0.0253478173824868	6.45064971228687	3.63183495269843e-10
IU_PDA_T10	0.0134959262363341	2.49310621953862	0.0647352946001491
IU_PDA_T2	0.00638967393555812	1.53046660793214	0.249798180933365
IU_PDA_T8	0.00349866411527138	0.760974649792781	0.375964093366514
