gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNJ16	Tumor Epithelial cells	3	2	0.4600000000000001	0.30909090909091025	0.05194891817146305	1.2536348463603952	1.0	0.5	0.7751677852348994	0.7857142857142857
KCNJ16	C1Q-TAM	3	1	0.0	0.0016105417276720349	0.0	1.0	1.0	1.0	1.0	1.0
KCNJ16	CD4+ cells	3	0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
KCNJ16	DCs	3	1	0.0	0.0010995832224882515	0.0	1.0	1.0	1.0	1.0	1.0
KCNJ16	FCN1-TAM	3	1	0.0	0.0002837634122550324	0.0	1.0	1.0	1.0	1.0	1.0
KCNJ16	PVL	3	0	0.0	0.00027655767040832925	-0.00027655767040832925	0.26556357195316893	0.0	0.25	0.595360824742268	0.7857142857142857
KCNJ16	B cells	3	0	0.003333333333333333	0.00470148039694159	-0.0013681470636082568	0.7150572426621321	0.0	0.5	0.7751677852348994	0.7857142857142857
KCNJ16	SPP1-TAM	3	0	0.003333333333333333	0.004864161379534722	-0.0015308280462013888	0.5158445646082473	0.0	0.25	0.595360824742268	0.7857142857142857
KCNJ16	iCAF	3	0	0.0	0.002607076350093108	-0.002607076350093108	0.036940221503749086	0.0	0.25	0.595360824742268	0.7857142857142857
KCNJ16	myCAF	3	1	0.26	0.4334813937419793	-0.10231006995282466	0.8470876891195679	1.0	0.5	0.7751677852348994	0.7857142857142857
KCNJ8	myCAF	10	7	0.7233333333333334	0.6294435374409251	0.09660912909837499	1.1559378106612703	13.0	0.16015625	0.49328125	0.25167410714285715
KCNJ8	iCAF	10	6	0.026666666666666665	0.01081072868072898	0.007734392198646188	1.7124595426261822	12.0	0.130859375	0.49328125	0.23990885416666666
KCNJ8	DCs	10	7	0.009761904761904762	0.0030359175057436483	0.0023484813420839323	1.4375904093238123	5.0	0.078125	0.451171875	0.171875
KCNJ8	B cells	10	6	0.0067936507936507936	0.002500420155696256	0.0013599192343234873	1.3664098370418345	0.0	0.03125	0.28875	0.11458333333333333
KCNJ8	CD4+ cells	10	5	0.0016666666666666666	0.0007801175414928821	0.0007386785449146245	1.3261559402445449	1.0	0.0625	0.425390625	0.171875
