gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
MYO7A	8	0	0	-14.616068350939114	3.403788945424473	0.49340264287942737	0.5170983318700615	0.0	0.018148448920436856	0.4043109899676234	IU_PDA_T3	0.4043109899676234
CLDN16	8	0	0	-14.618012665962905	-1.132611951668316	0.49701008522545775	0.5004333802892794	0.0	0.010618262582323002	0.26300140239666026	IU_PDA_T3	0.26300140239666026
FAM156A	8	0	0	-14.62019803115296	0.06951600419981795	0.4952808010622106	0.5027388402651086	0.0	0.012973273313928564	0.10779956142909443	IU_PDA_T12	0.10779956142909443
KCNQ5	8	0	0	-14.626677643142134	0.3677694052514244	0.4961842585159784	0.5036205324692925	0.0	0.013365852438231192	0.865398270970092	IU_PDA_T3	0.865398270970092
FGG	8	0	0	-14.62816621615466	2.8778864569386275	0.4959627619417589	0.5379941629079331	0.0	0.010071835872421553	0.6178894801642092	IU_PDA_T2	0.6178894801642092
DDIT4L	8	0	0	-14.62873341134979	1.2153060136303562	0.4973843878396256	0.51026715864431	0.0	0.007455875496018561	0.31736825816268616	IU_PDA_T9	0.31736825816268616
PDZK1	8	0	0	-14.6302927797927	0.4824890835377338	0.4927938439368014	0.5028596940935578	0.0	0.01505089897460709	0.18680301480658038	IU_PDA_T3	0.18680301480658038
TRPC3	8	0	0	-14.631241424919313	0.049259273897402256	0.4959747794399693	0.5001378297133142	0.0	0.009117060508697235	0.27580707662130133	IU_PDA_T3	0.27580707662130133
PPAT	8	0	0	-14.631964874491317	-0.6914979956519356	0.49611562852787705	0.4987054085155351	0.0	0.007898238828935603	0.21715980223727593	IU_PDA_T12	0.21715980223727593
PTPRT	8	0	0	-14.634856147795208	2.2515036840902956	0.4958866426423823	0.5057380280649016	0.0	0.0123565000972248	0.42609668031285036	IU_PDA_T9	0.42609668031285036
C5orf34	8	0	0	-14.648371100831362	0.2646699769595795	0.49666922739244956	0.5004718687696772	0.0	0.0099554842154089	0.3618976207968991	IU_PDA_T3	0.3618976207968991
C1QTNF12	8	0	0	-14.648386202796086	-0.3104029924814146	0.4969082811838913	0.498134328358209	0.0	0.00618343763221742	0.116426806708184	IU_PDA_T3	0.116426806708184
SOSTDC1	8	0	0	-14.649758395638614	0.5490393764459844	0.49722302425878817	0.5000631398686691	0.0	0.0060370471292164815	0.09259306778799603	IU_PDA_T3	0.09259306778799603
SLC22A4	8	0	0	-14.651062729462627	0.7200920616098987	0.49614656654649125	0.4989042519851465	0.0	0.011218364698247892	0.43093826991693746	IU_PDA_T12	0.43093826991693746
SLC7A9	8	0	0	-14.652214032995595	0.3583035416312702	0.497090389536781	0.5017186685761972	0.0	0.006583579093600815	0.35946478666157344	IU_PDA_T3	0.35946478666157344
ANKFN1	8	0	0	-14.653382551827491	1.9963848207120234	0.4969471332836932	0.5006609562958023	0.0	0.006105733432613551	0.24310788922545384	IU_PDA_T12	0.24310788922545384
PIEZO2	8	0	0	-14.654013286788347	1.609892371627252	0.4957309509074239	0.505430724584132	0.0	0.013357428036491646	0.619320678027075	IU_PDA_T12	0.619320678027075
C1orf74	8	0	0	-14.654852975033966	0.20484144721887734	0.4969570098565279	0.5006290886914955	0.0	0.008144513460588903	0.5662771877826178	IU_PDA_T3	0.5662771877826178
ABCD2	8	0	0	-14.655692243444827	0.49374294914346284	0.49754119282926057	0.5012262429854745	0.0	0.007652279739609238	0.9785353139790642	IU_PDA_T2	0.9785353139790642
NOVA2	8	0	0	-14.656653065406553	1.070477926654402	0.49650349991416043	0.5120704948933706	0.0	0.012465386218113874	0.25436687910948286	IU_PDA_T12	0.25436687910948286
LSMEM1	8	0	0	-14.657084943790235	2.308754319706194	0.49632678536740427	0.5751990563255677	0.0	0.00815661433052924	0.12456242373345218	IU_PDA_T6	0.12456242373345218
RBM44	8	0	0	-14.657388195120603	0.7219516261666138	0.49716842624236207	0.5012131569021392	0.0	0.00685022682461151	0.5543388194890172	IU_PDA_T12	0.5543388194890172
CENPQ	8	0	0	-14.667249296455122	0.9096131630123254	0.4971274238702918	0.5040317116140398	0.0	0.012649406054826614	0.7965296479666014	IU_PDA_T3	0.7965296479666014
ADAMTS17	8	0	0	-14.669800940805512	-0.24838476298276382	0.4953988973385006	0.49754901960784315	0.0	0.019450943337961178	0.25309875864543085	IU_PDA_T3	0.25309875864543085
NKAIN4	8	0	0	-14.676961306155079	0.29664253762706694	0.4945410633936086	0.49850746268656715	0.0	0.01263198661120048	0.09578944341646022	IU_PDA_T3	0.09578944341646022
SYCP2L	8	0	0	-14.685019629731048	1.6179921159945263	0.4976579272795974	0.5154631078367357	0.0	0.007764395840609105	0.0992567496659127	IU_PDA_T12	0.0992567496659127
ZNF746	8	0	0	-14.68585995607576	0.7723420069509882	0.4950854988942041	0.5117147556333083	0.0	0.014897746919469646	0.25590001566897397	IU_PDA_T3	0.25590001566897397
TSLP	8	0	0	-14.686760714750953	0.08044704886515534	0.495304240095538	0.4992682106897268	0.0	0.010393149578045829	0.6677126389765664	IU_PDA_T12	0.6677126389765664
CHAC1	8	0	0	-14.687318475465023	1.2770704998185238	0.4965657210047033	0.5106321378851532	0.0	0.010401742283541168	0.3119058015799461	IU_PDA_T12	0.3119058015799461
C19orf57	8	0	0	-14.689968328182932	1.1149938616345083	0.497090389536781	0.5042511611575848	0.0	0.008424720833995562	0.6756308183261697	IU_PDA_T3	0.6756308183261697
