orig.ident	gene	n_icaf_spots	n_other_spots	mean_normexpr_icaf	mean_normexpr_other	log2fc_icaf_vs_other	pct_positive_icaf	pct_positive_other	delta_pct_positive	auc_icaf_vs_other	mannwhitney_pvalue	mannwhitney_fdr
IU_PDA_T1	KCNAB2	54	3476	0.6291273530010579	0.21442021121188393	1.552906752999526	0.07407407407407407	0.03653624856156502	0.03753782551250905	0.5196106635980053	0.1304812868998415	1.0
IU_PDA_T1	KCNQ4	54	3476	0.0	0.057000518762092355	-15.798712738850485	0.0	0.007479861910241657	-0.007479861910241657	0.4962600690448792	0.523900641675495	1.0
IU_PDA_T1	KCNC4	54	3476	0.5040822684465316	0.27586906203613787	0.8696731680749689	0.037037037037037035	0.03711162255466053	-7.458551762349469e-05	0.5000266376848655	0.9985247804356281	1.0
IU_PDA_T1	KCND3	54	3476	0.14507637517073618	0.17381430462181496	-0.26073257004350675	0.037037037037037035	0.02186421173762946	0.015172825299407576	0.5074106039295913	0.4624591608823626	1.0
IU_PDA_T1	KCNN3	54	3476	0.0	0.08324503355320116	-16.34509391288107	0.0	0.01093210586881473	-0.01093210586881473	0.4945339470655926	0.4401143890760011	1.0
IU_PDA_T1	KCNT2	54	3476	0.0	0.03164320289086048	-14.949653606639435	0.0	0.0034522439585730723	-0.0034522439585730723	0.4982738780207135	0.6659074955710425	1.0
IU_PDA_T1	KCNK1	54	3476	0.387609878343357	0.24905360525080159	0.6381469726940445	0.05555555555555555	0.04861910241657077	0.006936453138984784	0.5039343860546392	0.7900935680061631	1.0
IU_PDA_T1	KCNS3	54	3476	0.2950986074756343	0.7324791061932944	-1.311587575382878	0.05555555555555555	0.10586881472957423	-0.050313259174018674	0.47467288922985124	0.22949785270626444	1.0
IU_PDA_T1	KCNK3	54	3476	0.042876866215602036	0.023840566814045342	0.8467540633780428	0.018518518518518517	0.0020138089758342925	0.016504709542684223	0.5082337083919363	0.01159931017395979	0.6588758185506383
IU_PDA_T1	KCNE4	54	3476	0.7625801186377025	0.7561740660319117	0.0121705316870706	0.05555555555555555	0.09551208285385501	-0.03995652729829946	0.4811138814303371	0.34825070478328	1.0
IU_PDA_T1	KCNAB1	54	3476	0.0	0.025115908975780723	-14.616371308759062	0.0	0.0031645569620253164	-0.0031645569620253164	0.49841772151898733	0.6794065739643393	1.0
IU_PDA_T1	KCNMB1	54	3476	0.17760869942059626	0.2738804572017705	-0.624841222829695	0.037037037037037035	0.0333716915995397	0.0036653454374973374	0.5016568639986362	0.8932691068418765	1.0
IU_PDA_T1	KCNK17	54	3476	0.09824147755182236	0.030629220535423697	1.6813911898461336	0.018518518518518517	0.005753739930955121	0.012764778587563396	0.5064036994416741	0.2248328596223509	1.0
IU_PDA_T1	KCND2	54	3476	0.0	0.22528178818558958	-17.781377568978456	0.0	0.03308400460299195	-0.03308400460299195	0.483457997698504	0.1743770777589163	1.0
IU_PDA_T1	KCNMA1	54	3476	0.5063484474194491	1.05396624663004	-1.0576247518550883	0.037037037037037035	0.11939010356731876	-0.08235306653028172	0.46013404083024334	0.0724553894550615	1.0
IU_PDA_T1	KCNA5	54	3476	0.0	0.0036640033290174963	-11.83959879345906	0.0	0.0011507479861910242	-0.0011507479861910242	0.4994246260069045	0.8039555621727098	1.0
