"sample","mean","median","sd","iqr","condition","SIGMAR1"
"ctrl_1",10.5657468419387,10.6234192280964,1.97080393639539,3.15620878944336,"CTRL",13.1701670833254
"ctrl_2",10.5767393734325,10.6296945071368,1.99278459927332,3.19451661811844,"CTRL",13.134464713096
"ctrl_3",10.5587542448326,10.6169749727188,1.99523979152847,3.18830766879116,"CTRL",13.3314904438896
"sh11_1",10.5468158289199,10.599451953469,1.98205800855902,3.15547770757346,"shSigmaR1",11.7245261927845
"sh11_2",10.554809765185,10.5989708743793,1.97554087608469,3.12556496571386,"shSigmaR1",12.1742593832096
"sh11_3",10.5532894126277,10.6005676042663,1.9860659932195,3.16718307975233,"shSigmaR1",11.7799484220953
