"signature","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","wilcox_p","wilcox_padj"
"myCAF_top30",-0.254513925421275,0.254513925421274,-0.34493243166073,0.213855440476063,0.0808555983700523,0.404277991850261
"iCAF_top30",-0.0368651055756246,0.0368651055756253,-0.171886435715723,-0.188703144380772,1,1
"csCAF_top30",0.0392254088832342,-0.0392254088832345,0.204217169962657,-0.0245139805371115,0.662520583540057,1
"apCAF_core",0.0342962402165415,-0.0342962402165393,0.0266917322936562,-0.0399710524451343,0.662520583540057,1
"ifCAF_manual",0.00320762264227348,-0.00320762264227164,-0.00982977206024183,-0.00092038758882046,1,1
