"sample","PC1","PC2","PC3","condition","variance_PC1","variance_PC2","variance_PC3"
"ctrl_1",-120.815080618833,45.4623826109773,-21.801487188621,"CTRL",40.6,27.6,16.1
"ctrl_2",-61.6078412930709,-62.0669947991317,-7.52835494921473,"CTRL",40.6,27.6,16.1
"ctrl_3",2.94022425177426,-39.3475228949795,85.855741363168,"CTRL",40.6,27.6,16.1
"sh11_1",82.2506334436328,-22.3301216770936,-14.8402808972672,"shSigmaR1",40.6,27.6,16.1
"sh11_2",47.2640347785684,107.442912371458,17.2406235806772,"shSigmaR1",40.6,27.6,16.1
"sh11_3",49.9680294379284,-29.1606556112307,-58.9262419087422,"shSigmaR1",40.6,27.6,16.1
