"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00449504737144938,0.0160537406123192,0.407017918923954,0.368107396026955,1.48091391629511,146,"ARG2;PYCR1;CYP27A1;GCNT2;SHMT2;SLC12A4;ABCC3;LONP1;SLC1A5;NINJ1;TKFC;ECH1;CFB;PPARD;CYFIP2;PC;GCH1;ACOX1;GSTM4;PEMT;ABHD6;AHCY;SLC35D1;DCXR;PINK1;CDA;CNDP2;PMM1;TNFRSF1A;GABARAPL1;DDAH2;DHRS7;HES6;MTHFD1"
"HALLMARK_KRAS_SIGNALING_DN",0.00496117478202629,0.016537249273421,0.407017918923954,0.402510480363365,1.55057810885538,94,"BTG2;MFSD6;CAMK1D;DLK2;COPZ2;RIBC2;SHOX2;MACROH2A2;MTHFR;SYNPO;SPTBN2;MAST3;IDUA;CLSTN3;CCDC106;SLC30A3"
"HALLMARK_SPERMATOGENESIS",0.0106598258333135,0.0333119557291046,0.380730400722792,-0.524477229193823,-1.55258396773774,76,"TTK;CDK1;DBF4;NEK2;CLGN;RAD17;SLC12A2;ARL4A;HSPA4L;IFT88;CAMK4;TOPBP1;MLF1;STAM2;CDKN3;SIRT1;BUB1;CCNB2;KIF2C;IDE;AURKA;TSN;HSPA2;RFC4;NCAPH;BRAF;DMC1;VDAC3"
"HALLMARK_PANCREAS_BETA_CELLS",0.0121090192739752,0.0356147625705154,0.380730400722792,-0.71219198588257,-1.69611327910271,19,"FOXA2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0161537427555914,0.0448715076544204,0.352487857583619,0.498868385467597,1.57406412288919,36,"HDAC5;TP53;NCOR2;PTCH1;HDAC11;NCSTN;MAML1;PPARD;FRAT1;MYC;DVL2"
"HALLMARK_APICAL_JUNCTION",0.0177547664712266,0.0467230696611227,0.352487857583619,0.317998880475716,1.31764152452456,166,"ICAM1;CERCAM;PCDH1;THBS3;BMP1;MYL9;ICAM5;MMP2;SDC3;LAMB3;EVL;CD99;WNK4;CNN2;SLC30A3;ZYX;PKD1;ITGA3;COL16A1;MAPK13;CD276;MDK;ACTN1;INPPL1;ACTG1;BAIAP2;CTNNA1;SRC;TNFRSF11B;MPZL1;B4GALT1;SHC1;LDLRAP1;SPEG;TMEM8B;VAV2;SYMPK;MYH10;PFN1;RRAS;CLDN14;GNAI2;AMIGO1;GAMT;PARVA;ITGB4;PLCG1;SORBS3;HRAS;NRXN2;EGFR;MYH9;FBN1;NECTIN4;NECTIN2;ACTC1;CLDN15;ACTB"
"HALLMARK_ANDROGEN_RESPONSE",0.0221469066970743,0.0527307302311293,0.352487857583619,-0.484527964732318,-1.46782653957748,90,"ZBTB10;LIFR;CCND1;UAP1;PIAS1;INPP4B;LMAN1;ACSL3;HMGCS1;ADAMTS1;TPD52;SPCS3;INSIG1;IDI1;GNAI3;SLC26A2;SLC38A2;CDK6;RPS6KA3;ELL2;VAPA;CENPN;PGM3;GPD1L;HERC3;SMS;TNFAIP8;BMPR1B;ELK4;KRT19;DHCR24;HMGCR;ELOVL5;XRCC6"
"HALLMARK_HEME_METABOLISM",0.0212466598062835,0.0527307302311293,0.352487857583619,0.323724700678844,1.31458293281293,162,"C3;BTG2;SLC6A9;ADD2;LRP10;EPB41;HTATIP2;SIDT2;IGSF3;FN3K;TMCC2;CTNS;OSBP2;BCAM;TNS1;PGLS;MARCHF8;PC;HTRA2;OPTN;SLC2A1;P4HA2;ABCB6;CCDC28A;PPP2R5B;TENT5C;GDE1;UCP2;DCAF11;EIF2AK1;MOCOS;ADD1;RNF123;CCND3;GLRX5;MARCHF2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0236946775842658,0.0538515399642405,0.352487857583619,0.317127745211888,1.31435233594534,174,"GREB1;GFRA1;RARA;SLC1A4;FOXC1;RPS6KA2;OLFML3;TGIF2;NCOR2;TPD52L1;RHOD;LRIG1;FARP1;STC2;ABLIM1;INHBB;PLAAT3;IGF1R;MUC1;MYC;KLF4;MLPH;SIAH2;KDM4B;ZNF185;SLC2A1;SEC14L2;HES1;FHL2;SCARB1;BHLHE40;B4GALT1;KRT8;KRT18;MINDY1;THSD4;ISG20L2;FKBP5;DEPTOR;SEMA3B;MYBBP1A;RRP12;ARL3;GAB2;SLC1A1;TSKU;FOS;MED24;BAG1;ITPK1;SLC22A5;ADCY9;NADSYN1;SLC7A5;TIAM1;FCMR;NXT1"
"HALLMARK_UV_RESPONSE_DN",0.0324022346368715,0.0704396405149381,0.266350657088526,-0.431555362128226,-1.36437751330217,143,"KIT;ATRX;MMP16;RND3;CAV1;TFPI;PHF3;HAS2;NIPBL;NEK7;LPAR1;PLCB4;SNAI2;RGS4;GCNT1;GJA1;ATP2B1;NR1D2;LDLR;INPP4B;PTGFR;RASA2;INSIG1;MET;BCKDHB;PLPP3;NR3C1;CELF2;SMAD3;ADD3;TGFBR3;ID1;AGGF1;CAP2;MIOS;YTHDC1;ATP2C1;SRI;IGFBP5;ANXA2;DLG1;AKT3;ATP2B4;MAP1B;SCHIP1;KCNMA1"
