pathway	sample_id	gsva_score	Patient	Dataset	StromaState	n_cells
HALLMARK_ADIPOGENESIS	peng_T6___Activated	-0.176695954496908	peng_T6	Peng	Activated	216
HALLMARK_ADIPOGENESIS	peng_T7___Normal	0.0119234341812404	peng_T7	Peng	Normal	125
HALLMARK_ADIPOGENESIS	peng_T7___Activated	-0.224206670498275	peng_T7	Peng	Activated	299
HALLMARK_ALLOGRAFT_REJECTION	PDAC2___Normal	-0.0835007976188829	PDAC2	Powers	Normal	47
HALLMARK_ALLOGRAFT_REJECTION	PDAC2___Activated	-0.0228672533907595	PDAC2	Powers	Activated	1924
HALLMARK_ALLOGRAFT_REJECTION	peng_N1___Normal	-0.283775019867673	peng_N1	Peng	Normal	397
HALLMARK_ALLOGRAFT_REJECTION	peng_N1___Activated	0.111999669301547	peng_N1	Peng	Activated	381
HALLMARK_ALLOGRAFT_REJECTION	peng_N10___Normal	-0.0468622942547787	peng_N10	Peng	Normal	42
HALLMARK_ALLOGRAFT_REJECTION	peng_N10___Activated	-0.0246734446684552	peng_N10	Peng	Activated	22
HALLMARK_ALLOGRAFT_REJECTION	peng_N11___Normal	-0.274113372591694	peng_N11	Peng	Normal	28
HALLMARK_ALLOGRAFT_REJECTION	peng_N11___Activated	-0.163053621342066	peng_N11	Peng	Activated	22
HALLMARK_ALLOGRAFT_REJECTION	peng_N2___Normal	-0.382034378602942	peng_N2	Peng	Normal	223
HALLMARK_ALLOGRAFT_REJECTION	peng_N2___Activated	-0.272299694085169	peng_N2	Peng	Activated	232
HALLMARK_ALLOGRAFT_REJECTION	peng_N3___Normal	-0.276117004780441	peng_N3	Peng	Normal	172
HALLMARK_ALLOGRAFT_REJECTION	peng_N3___Activated	0.035230839639244	peng_N3	Peng	Activated	40
HALLMARK_ALLOGRAFT_REJECTION	peng_N4___Normal	-0.422836718595961	peng_N4	Peng	Normal	85
HALLMARK_ALLOGRAFT_REJECTION	peng_N4___Activated	-0.348264274308097	peng_N4	Peng	Activated	48
HALLMARK_ALLOGRAFT_REJECTION	peng_N6___Normal	-0.512803770876053	peng_N6	Peng	Normal	214
HALLMARK_ALLOGRAFT_REJECTION	peng_N6___Activated	-0.332312018864623	peng_N6	Peng	Activated	124
HALLMARK_ALLOGRAFT_REJECTION	peng_N7___Normal	-0.419454334028337	peng_N7	Peng	Normal	118
HALLMARK_ALLOGRAFT_REJECTION	peng_N7___Activated	-0.300163525934322	peng_N7	Peng	Activated	58
HALLMARK_ALLOGRAFT_REJECTION	peng_N8___Normal	-0.372085721516696	peng_N8	Peng	Normal	263
HALLMARK_ALLOGRAFT_REJECTION	peng_N8___Activated	-0.144512390302813	peng_N8	Peng	Activated	203
HALLMARK_ALLOGRAFT_REJECTION	peng_N9___Normal	-0.324670076590519	peng_N9	Peng	Normal	124
HALLMARK_ALLOGRAFT_REJECTION	peng_N9___Activated	-0.325809969142102	peng_N9	Peng	Activated	235
HALLMARK_ALLOGRAFT_REJECTION	peng_T1___Normal	0.31823954934523	peng_T1	Peng	Normal	89
HALLMARK_ALLOGRAFT_REJECTION	peng_T1___Activated	0.290046034299574	peng_T1	Peng	Activated	248
HALLMARK_ALLOGRAFT_REJECTION	peng_T10___Normal	0.104782313096245	peng_T10	Peng	Normal	112
HALLMARK_ALLOGRAFT_REJECTION	peng_T10___Activated	0.320992331262016	peng_T10	Peng	Activated	222
HALLMARK_ALLOGRAFT_REJECTION	peng_T12___Normal	0.374330173850779	peng_T12	Peng	Normal	71
HALLMARK_ALLOGRAFT_REJECTION	peng_T12___Activated	0.582864814173994	peng_T12	Peng	Activated	319
HALLMARK_ALLOGRAFT_REJECTION	peng_T13___Normal	0.0111649614169235	peng_T13	Peng	Normal	199
HALLMARK_ALLOGRAFT_REJECTION	peng_T13___Activated	0.130419306138525	peng_T13	Peng	Activated	522
HALLMARK_ALLOGRAFT_REJECTION	peng_T14___Normal	-0.254930216467347	peng_T14	Peng	Normal	108
HALLMARK_ALLOGRAFT_REJECTION	peng_T14___Activated	-0.080657700863982	peng_T14	Peng	Activated	186
HALLMARK_ALLOGRAFT_REJECTION	peng_T15___Normal	0.0752030861317129	peng_T15	Peng	Normal	140
HALLMARK_ALLOGRAFT_REJECTION	peng_T15___Activated	0.323874905003353	peng_T15	Peng	Activated	1165
HALLMARK_ALLOGRAFT_REJECTION	peng_T16___Normal	0.310032605467458	peng_T16	Peng	Normal	94
HALLMARK_ALLOGRAFT_REJECTION	peng_T16___Activated	0.543375223564751	peng_T16	Peng	Activated	673
HALLMARK_ALLOGRAFT_REJECTION	peng_T17___Normal	-0.0390092535444302	peng_T17	Peng	Normal	23
HALLMARK_ALLOGRAFT_REJECTION	peng_T17___Activated	0.169089532943702	peng_T17	Peng	Activated	305
HALLMARK_ALLOGRAFT_REJECTION	peng_T18___Normal	0.0410370856778087	peng_T18	Peng	Normal	81
HALLMARK_ALLOGRAFT_REJECTION	peng_T18___Activated	0.230158489779077	peng_T18	Peng	Activated	967
HALLMARK_ALLOGRAFT_REJECTION	peng_T19___Normal	0.455098405299583	peng_T19	Peng	Normal	660
HALLMARK_ALLOGRAFT_REJECTION	peng_T19___Activated	0.511436719626876	peng_T19	Peng	Activated	1046
HALLMARK_ALLOGRAFT_REJECTION	peng_T2___Normal	0.2147446757649	peng_T2	Peng	Normal	25
HALLMARK_ALLOGRAFT_REJECTION	peng_T2___Activated	0.417807088514824	peng_T2	Peng	Activated	62
HALLMARK_ALLOGRAFT_REJECTION	peng_T20___Normal	-0.131647786513823	peng_T20	Peng	Normal	58
HALLMARK_ALLOGRAFT_REJECTION	peng_T20___Activated	-0.0840504371443895	peng_T20	Peng	Activated	93
HALLMARK_ALLOGRAFT_REJECTION	peng_T22___Normal	0.15494023473751	peng_T22	Peng	Normal	26
HALLMARK_ALLOGRAFT_REJECTION	peng_T22___Activated	0.048994372416055	peng_T22	Peng	Activated	118
HALLMARK_ALLOGRAFT_REJECTION	peng_T23___Normal	-0.00098492944459444	peng_T23	Peng	Normal	56
HALLMARK_ALLOGRAFT_REJECTION	peng_T23___Activated	0.442175921880957	peng_T23	Peng	Activated	1282
HALLMARK_ALLOGRAFT_REJECTION	peng_T24___Normal	-0.157575195940892	peng_T24	Peng	Normal	467
HALLMARK_ALLOGRAFT_REJECTION	peng_T24___Activated	0.0961593351323843	peng_T24	Peng	Activated	917
HALLMARK_ALLOGRAFT_REJECTION	peng_T3___Normal	0.0757164405790604	peng_T3	Peng	Normal	119
HALLMARK_ALLOGRAFT_REJECTION	peng_T3___Activated	0.236115856994841	peng_T3	Peng	Activated	339
HALLMARK_ALLOGRAFT_REJECTION	peng_T4___Normal	0.0752179504556789	peng_T4	Peng	Normal	46
HALLMARK_ALLOGRAFT_REJECTION	peng_T4___Activated	0.123203607072111	peng_T4	Peng	Activated	176
HALLMARK_ALLOGRAFT_REJECTION	peng_T5___Normal	0.245774372107649	peng_T5	Peng	Normal	173
HALLMARK_ALLOGRAFT_REJECTION	peng_T5___Activated	0.369355825493385	peng_T5	Peng	Activated	238
HALLMARK_ALLOGRAFT_REJECTION	peng_T6___Normal	0.215841396087296	peng_T6	Peng	Normal	147
HALLMARK_ALLOGRAFT_REJECTION	peng_T6___Activated	0.411364049573024	peng_T6	Peng	Activated	216
HALLMARK_ALLOGRAFT_REJECTION	peng_T7___Normal	-0.164761359937103	peng_T7	Peng	Normal	125
HALLMARK_ALLOGRAFT_REJECTION	peng_T7___Activated	-0.0290862354289564	peng_T7	Peng	Activated	299
HALLMARK_ANDROGEN_RESPONSE	PDAC2___Normal	0.173801338745469	PDAC2	Powers	Normal	47
HALLMARK_ANDROGEN_RESPONSE	PDAC2___Activated	0.122604671253144	PDAC2	Powers	Activated	1924
HALLMARK_ANDROGEN_RESPONSE	peng_N1___Normal	0.0110766089298467	peng_N1	Peng	Normal	397
HALLMARK_ANDROGEN_RESPONSE	peng_N1___Activated	0.212762223913025	peng_N1	Peng	Activated	381
HALLMARK_ANDROGEN_RESPONSE	peng_N10___Normal	0.26833056434688	peng_N10	Peng	Normal	42
HALLMARK_ANDROGEN_RESPONSE	peng_N10___Activated	0.0365188168655141	peng_N10	Peng	Activated	22
HALLMARK_ANDROGEN_RESPONSE	peng_N11___Normal	-0.0797015867299748	peng_N11	Peng	Normal	28
HALLMARK_ANDROGEN_RESPONSE	peng_N11___Activated	0.0878571427175335	peng_N11	Peng	Activated	22
HALLMARK_ANDROGEN_RESPONSE	peng_N2___Normal	-0.245300925816296	peng_N2	Peng	Normal	223
HALLMARK_ANDROGEN_RESPONSE	peng_N2___Activated	-0.239665405988616	peng_N2	Peng	Activated	232
HALLMARK_ANDROGEN_RESPONSE	peng_N3___Normal	-0.260490264495085	peng_N3	Peng	Normal	172
HALLMARK_ANDROGEN_RESPONSE	peng_N3___Activated	-0.0472807322829863	peng_N3	Peng	Activated	40
HALLMARK_ANDROGEN_RESPONSE	peng_N4___Normal	-0.022959199377621	peng_N4	Peng	Normal	85
HALLMARK_ANDROGEN_RESPONSE	peng_N4___Activated	-0.0262058380863231	peng_N4	Peng	Activated	48
HALLMARK_ANDROGEN_RESPONSE	peng_N6___Normal	-0.295695575639308	peng_N6	Peng	Normal	214
HALLMARK_ANDROGEN_RESPONSE	peng_N6___Activated	-0.205697091836074	peng_N6	Peng	Activated	124
HALLMARK_ANDROGEN_RESPONSE	peng_N7___Normal	-0.201083180638985	peng_N7	Peng	Normal	118
HALLMARK_ANDROGEN_RESPONSE	peng_N7___Activated	0.0931144008506368	peng_N7	Peng	Activated	58
