pathway	n_patients	mean_normal	mean_activated	delta_activated_minus_normal	median_delta	p_value	padj_BH	direction	pathway_label	significant
HALLMARK_HEME_METABOLISM	31	0.00187530184175737	-0.0571138706491775	-0.0589891724909349	-0.0657140522450074	0.00230935745216598	0.00398165077959652	Normal	HEME METABOLISM	TRUE
HALLMARK_MYC_TARGETS_V2	31	0.00173578657114345	-0.0692854583705209	-0.0710212449416643	-0.0192403889657802	0.251630557454287	0.306866533480838	Normal	MYC TARGETS V2	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	31	-0.00591718783363616	-0.0953621620454411	-0.0894449742118049	-0.0792655221501132	0.0334845180299985	0.0507341182272705	Normal	REACTIVE OXYGEN SPECIES PATHWAY	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	31	0.0181554047522652	-0.0788607983752151	-0.0970162031274803	-0.105077788233759	0.000299696085534808	0.000624366844864183	Normal	PI3K AKT MTOR SIGNALING	TRUE
HALLMARK_PEROXISOME	31	0.0180472636469112	-0.0819129593934995	-0.0999602230404108	-0.084099876302258	0.0015516717326803	0.00277084237978624	Normal	PEROXISOME	TRUE
HALLMARK_UV_RESPONSE_UP	31	0.0304139723249281	-0.0993252616803323	-0.12973923400526	-0.106723061564533	9.91490567001748e-06	3.09840802188046e-05	Normal	UV RESPONSE UP	TRUE
HALLMARK_FATTY_ACID_METABOLISM	31	0.0313464165289712	-0.108021611893676	-0.139368028422647	-0.158011941603045	2.41012486867377e-05	5.73839254446136e-05	Normal	FATTY ACID METABOLISM	TRUE
HALLMARK_MYOGENESIS	31	0.0659615334976712	-0.0926857772757995	-0.158647310773471	-0.178261251744359	9.91490567001748e-06	3.09840802188046e-05	Normal	MYOGENESIS	TRUE
HALLMARK_DNA_REPAIR	31	0.0531766233064053	-0.146440579264788	-0.199617202571193	-0.173085854399709	3.93121139042519e-06	1.78691426837508e-05	Normal	DNA REPAIR	TRUE
HALLMARK_MYC_TARGETS_V1	31	0.0623602113376072	-0.15164565952408	-0.214005870861687	-0.200601889979157	7.54124814585408e-06	2.6933029092336e-05	Normal	MYC TARGETS V1	TRUE
HALLMARK_ADIPOGENESIS	31	0.049363997919512	-0.173263267248387	-0.222627265167899	-0.229295311955627	6.8787205180584e-06	2.64566173771477e-05	Normal	ADIPOGENESIS	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	31	0.239427886867427	-0.340988752387186	-0.580416639254613	-0.522482545974706	1.36157542826984e-06	1.2517769695082e-05	Normal	OXIDATIVE PHOSPHORYLATION	TRUE
