original_name	sanitized_name
Fibroblasts	Fibroblasts
Monocytes	Monocytes
B cells	B_cells
TAM	TAM
Hepatocytes	Hepatocytes
Endothelial cells	Endothelial_cells
PVL	PVL
Normal Epithelial cells	Normal_Epithelial_cells
T-NK cells	T_NK_cells
Tumor Epithelial cells	Tumor_Epithelial_cells
