sample	view	Predictor	Target	Importance	Predictor_original
IU_PDA_T11	juxta_ct	PVL	KCNMA1	36.852380313686	PVL
IU_PDA_T11	juxta_ct	Tumor_Epithelial_cells	KCNMA1	79.3797534143327	Tumor Epithelial cells
IU_PDA_T11	para_ct	Fibroblasts	KCNMA1	79.8612224097604	Fibroblasts
IU_PDA_T11	para_ct	Monocytes	KCNMA1	73.3929538144476	Monocytes
IU_PDA_T11	para_ct	B_cells	KCNMA1	81.6281233585361	B cells
IU_PDA_T11	para_ct	TAM	KCNMA1	72.8149984336005	TAM
IU_PDA_T11	para_ct	Endothelial_cells	KCNMA1	74.2859566841384	Endothelial cells
IU_PDA_T11	para_ct	PVL	KCNMA1	79.0083515075824	PVL
IU_PDA_T11	para_ct	Tumor_Epithelial_cells	KCNMA1	84.7673953672168	Tumor Epithelial cells
IU_PDA_T12	intra	Fibroblasts	KCNMA1	122.017199796603	Fibroblasts
IU_PDA_T12	intra	Monocytes	KCNMA1	11.6244333733454	Monocytes
IU_PDA_T12	intra	B_cells	KCNMA1	79.5439998145013	B cells
IU_PDA_T12	intra	TAM	KCNMA1	119.485392188617	TAM
IU_PDA_T12	intra	Endothelial_cells	KCNMA1	15.9155084710419	Endothelial cells
IU_PDA_T12	intra	PVL	KCNMA1	9.84282343770207	PVL
IU_PDA_T12	intra	Normal_Epithelial_cells	KCNMA1	0.702782381038149	Normal Epithelial cells
IU_PDA_T12	intra	T_NK_cells	KCNMA1	1.26697030427332	T-NK cells
IU_PDA_T12	intra	Tumor_Epithelial_cells	KCNMA1	83.0101574010674	Tumor Epithelial cells
IU_PDA_T12	juxta_ct	Fibroblasts	KCNMA1	127.453414963212	Fibroblasts
IU_PDA_T12	juxta_ct	Monocytes	KCNMA1	31.7336067823642	Monocytes
IU_PDA_T12	juxta_ct	B_cells	KCNMA1	112.214547182184	B cells
IU_PDA_T12	juxta_ct	TAM	KCNMA1	145.353905299724	TAM
IU_PDA_T12	juxta_ct	Endothelial_cells	KCNMA1	44.2247212606817	Endothelial cells
IU_PDA_T12	juxta_ct	PVL	KCNMA1	18.6877909034602	PVL
