target	view	mean	fraction	p.mean	p.sd
KCNMA1	intra	0.273391176838449	0.439256793456781	0.0672012343305525	0.169700574797966
KCNMA1	juxta_ct	0.136420947029803	0.223640129844976	0.173373718626075	0.299899047297339
KCNMA1	para_ct	0.205321424303537	0.337103076698243	0.109751181382545	0.237138116368279
