module	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNMA1_KCNMB1	IU_PDA_T1	myCAF	52	3478	0.8666666666666665	0.8993291163504006	-0.03266244968373411	0.9636853543097782
KCNMA1_KCNMB1	IU_PDA_T1	Tumor Epithelial cells	52	3478	0.0	0.028081272762123934	-0.028081272762123934	0.0035484557721751145
KCNMA1_KCNMB1	IU_PDA_T1	Normal Epithelial cells	52	3478	0.0	0.01169254360743724	-0.01169254360743724	0.008479934722219954
KCNMA1_KCNMB1	IU_PDA_T1	iCAF	52	3478	0.017948717948717947	0.01483611270845323	0.003112605240264717	1.208394600457394
KCNMA1_KCNMB1	IU_PDA_T1	B cells	52	3478	0.019230769230769232	0.01092581943645775	0.008304949794311482	1.7532274441979798
KCNMA1_KCNMB1	IU_PDA_T1	DCs	52	3478	0.014102564102564101	0.010638297872340451	0.0034642662302236497	1.3226085056875592
KCNMA1_KCNMB1	IU_PDA_T1	SPP1-TAM	52	3478	0.0	0.0017634655932528272	-0.0017634655932528272	0.05366345392266785
KCNMA1_KCNMB1	IU_PDA_T1	PVL	52	3478	0.057692307692307696	0.005616254552424762	0.052076053139882936	10.110170420558498
KCNMA1_KCNMB1	IU_PDA_T1	C1Q-TAM	52	3478	0.00641025641025641	0.010274103891125182	-0.003863847480868772	0.6275487963664786
KCNMA1_KCNMB1	IU_PDA_T1	CD4+ cells	52	3478	0.0038461538461538464	0.0022618363043894942	0.0015843175417643521	1.6707990468348226
KCNMA1_KCNMB1	IU_PDA_T1	FCN1-TAM	52	3478	0.014102564102564101	0.004293655357485137	0.009808908745078964	3.2325166511679777
KCNMA1_KCNMB4	IU_PDA_T1	myCAF	52	3478	0.9192307692307691	0.8985432240751468	0.020687545155622322	1.023020865902498
KCNMA1_KCNMB4	IU_PDA_T1	Tumor Epithelial cells	52	3478	0.00641025641025641	0.027985432240751496	-0.021575175830495084	0.2318018948204093
KCNMA1_KCNMB4	IU_PDA_T1	Normal Epithelial cells	52	3478	0.0	0.01169254360743724	-0.01169254360743724	0.008479934722219954
KCNMA1_KCNMB4	IU_PDA_T1	iCAF	52	3478	0.01282051282051282	0.014912785125551178	-0.0020922723050383583	0.86063396714595
KCNMA1_KCNMB4	IU_PDA_T1	B cells	52	3478	0.020512820512820513	0.010906651332183265	0.009606169180637248	1.8727603783131541
KCNMA1_KCNMB4	IU_PDA_T1	DCs	52	3478	0.010256410256410256	0.010695802185163911	-0.0004393919287536546	0.9592997425094092
KCNMA1_KCNMB4	IU_PDA_T1	SPP1-TAM	52	3478	0.0	0.0017634655932528272	-0.0017634655932528272	0.05366345392266785
KCNMA1_KCNMB4	IU_PDA_T1	PVL	52	3478	0.008974358974358974	0.0063446425148552775	0.002629716459503696	1.408046909264873
KCNMA1_KCNMB4	IU_PDA_T1	C1Q-TAM	52	3478	0.00641025641025641	0.010274103891125182	-0.003863847480868772	0.6275487963664786
KCNMA1_KCNMB4	IU_PDA_T1	CD4+ cells	52	3478	0.0038461538461538464	0.0022618363043894942	0.0015843175417643521	1.6707990468348226
KCNMA1_KCNMB4	IU_PDA_T1	FCN1-TAM	52	3478	0.011538461538461537	0.004331991566034111	0.007206469972427426	2.626011662038429
KCNMA1_KCNMB1	IU_PDA_T10	myCAF	22	2692	0.6575757575757575	0.3640911342248644	0.2934846233508931	1.8058532890306038
KCNMA1_KCNMB1	IU_PDA_T10	Tumor Epithelial cells	22	2692	0.29090909090909095	0.5268945022288264	-0.23598541131973544	0.5522051742064129
KCNMA1_KCNMB1	IU_PDA_T10	Normal Epithelial cells	22	2692	0.006060606060606061	0.029321446260525103	-0.02326084019991904	0.20939168000288877
KCNMA1_KCNMB1	IU_PDA_T10	iCAF	22	2692	0.006060606060606061	0.01270430906389301	-0.006643703003286949	0.4811353763693827
KCNMA1_KCNMB1	IU_PDA_T10	B cells	22	2692	0.009090909090909092	0.02399702823179815	-0.014906119140889058	0.3814125543821573
KCNMA1_KCNMB1	IU_PDA_T10	DCs	22	2692	0.006060606060606061	0.019787023278851106	-0.013726417218245045	0.30978020059731964
KCNMA1_KCNMB1	IU_PDA_T10	SPP1-TAM	22	2692	0.012121212121212121	0.012407132243684973	-0.0002859201224728516	0.9771394339723867
