gene	Origin	cc_ischia_10	n_spots	n_detected	pct_detected	mean_expression	median_expression
KCNK6	Pancreas	CC1	8639	923	10.68	0.12327815719412	0
KCNK6	Pancreas	CC10	1	0	0	0	0
KCNK6	Pancreas	CC2	5063	672	13.27	0.158601619593127	0
KCNK6	Pancreas	CC3	3317	608	18.33	0.232137473620742	0
KCNK6	Pancreas	CC4	7976	847	10.62	0.124122367101304	0
KCNK6	Pancreas	CC5	7164	849	11.85	0.134422110552764	0
KCNK6	Pancreas	CC7	2572	211	8.2	0.0917573872472784	0
KCNK6	Pancreas	CC9	726	43	5.92	0.0619834710743802	0
KCNMA1	Normal Pancreas	CC10	9707	1340	13.8	0.156278973936335	0
KCNMA1	Normal Pancreas	CC2	53	14	26.42	0.377358490566038	0
KCNMA1	Normal Pancreas	CC3	36	10	27.78	0.388888888888889	0
KCNMA1	Normal Pancreas	CC4	3	1	33.33	0.333333333333333	0
KCNMA1	Normal Pancreas	CC7	21	2	9.52	0.0952380952380952	0
KCNMA1	Pancreas	CC1	8639	2122	24.56	0.33869660840375	0
KCNMA1	Pancreas	CC10	1	0	0	0	0
KCNMA1	Pancreas	CC2	5063	473	9.34	0.111988939364013	0
KCNMA1	Pancreas	CC3	3317	278	8.38	0.0943623756406391	0
KCNMA1	Pancreas	CC4	7976	981	12.3	0.152081243731194	0
KCNMA1	Pancreas	CC5	7164	1721	24.02	0.339056393076494	0
KCNMA1	Pancreas	CC7	2572	524	20.37	0.292768273716952	0
KCNMA1	Pancreas	CC9	726	75	10.33	0.126721763085399	0
KCNMB1	Normal Pancreas	CC10	9707	91	0.94	0.00978675182857732	0
KCNMB1	Normal Pancreas	CC2	53	1	1.89	0.0188679245283019	0
KCNMB1	Normal Pancreas	CC3	36	0	0	0	0
KCNMB1	Normal Pancreas	CC4	3	0	0	0	0
KCNMB1	Normal Pancreas	CC7	21	0	0	0	0
KCNMB1	Pancreas	CC1	8639	807	9.34	0.106841069568237	0
KCNMB1	Pancreas	CC10	1	0	0	0	0
KCNMB1	Pancreas	CC2	5063	234	4.62	0.0511554414378827	0
KCNMB1	Pancreas	CC3	3317	107	3.23	0.035875791377751	0
KCNMB1	Pancreas	CC4	7976	413	5.18	0.0599297893681043	0
KCNMB1	Pancreas	CC5	7164	759	10.59	0.127442769402568	0
KCNMB1	Pancreas	CC7	2572	225	8.75	0.103810264385692	0
KCNMB1	Pancreas	CC9	726	44	6.06	0.0633608815426997	0
KCNMB4	Normal Pancreas	CC10	9707	175	1.8	0.0182342639332441	0
KCNMB4	Normal Pancreas	CC2	53	1	1.89	0.0188679245283019	0
KCNMB4	Normal Pancreas	CC3	36	0	0	0	0
KCNMB4	Normal Pancreas	CC4	3	0	0	0	0
KCNMB4	Normal Pancreas	CC7	21	1	4.76	0.0476190476190476	0
KCNMB4	Pancreas	CC1	8639	601	6.96	0.077439518462785	0
KCNMB4	Pancreas	CC10	1	0	0	0	0
KCNMB4	Pancreas	CC2	5063	238	4.7	0.0495753505826585	0
KCNMB4	Pancreas	CC3	3317	154	4.64	0.0524570394935182	0
KCNMB4	Pancreas	CC4	7976	426	5.34	0.0565446339017051	0
KCNMB4	Pancreas	CC5	7164	553	7.72	0.0850083752093802	0
KCNMB4	Pancreas	CC7	2572	186	7.23	0.0777604976671851	0
