orig.ident	display_name	gene_symbol	file_stem	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T11	CCL19	CCL19	ccl19	2777	14683	13.0	0.032855043508472466	2.268588748974802	0.011646673222440722	0.058265111729164265	bernoulli	30	
IU_PDA_T3	CCL21	CCL21	ccl21	4354	14666	1425.0	0.36920399570246004	95.33578760720498	0.0	0.0	bernoulli	30	
IU_PDA_T9	CCL21	CCL21	ccl21	3526	14112	207.0	0.29058478648894265	64.8383157631198	0.0	0.0	bernoulli	30	
IU_PDA_T12	CCL21	CCL21	ccl21	3642	15208	961.0	0.16552105178691645	38.02011860866657	0.0	0.0	bernoulli	30	
IU_PDA_T6	CCL21	CCL21	ccl21	3397	15000	510.0	0.14401053221816273	30.310089677303154	4.2203410074824035e-202	1.194436134193133e-199	bernoulli	30	
IU_PDA_T11	CCL21	CCL21	ccl21	2777	14683	68.0	0.12150019042359975	19.69620174016349	1.162079236545444e-86	1.5234651276961388e-84	bernoulli	30	
IU_PDA_T4	CCL21	CCL21	ccl21	3621	14332	126.0	0.05380319191071871	10.70026261713373	5.074508435420094e-27	1.6604533081379176e-25	bernoulli	30	
IU_PDA_T2	CCL21	CCL21	ccl21	4118	14705	70.0	0.04718867240238429	9.00836194521192	1.0457853389174879e-19	5.2307052410821974e-18	bernoulli	30	
IU_PDA_T8	CCL21	CCL21	ccl21	3779	14218	140.0	0.03474197441219739	7.6391095049231765	1.0936461122062297e-14	4.586861481813621e-13	bernoulli	30	
IU_PDA_T10	CCL21	CCL21	ccl21	2714	13630	73.0	0.03984170264246275	6.079321651993896	6.034601943020783e-10	2.6447467679541246e-08	bernoulli	30	
IU_PDA_T1	CCL21	CCL21	ccl21	3530	13520	14.0	0.015166740278790005	1.1115319399312136	0.13316972488459505	0.371519437703934	bernoulli	30	
IU_PDA_T3	CCN2	CCN2	ccn2	4354	14666	4078.0	0.14318930888288686	31.04368266002475	6.941752918485371e-212	3.510612010431257e-210	bernoulli	30	
IU_PDA_T1	CCN2	CCN2	ccn2	3530	13520	3250.0	0.10502664968814297	24.35370514669391	2.648169015104051e-131	7.956276685379282e-129	bernoulli	30	
IU_PDA_T2	CCN2	CCN2	ccn2	4118	14705	2856.0	0.09660287948803582	23.767072061270927	3.659319761209745e-125	7.578915082899902e-123	bernoulli	30	
IU_PDA_T10	CCN2	CCN2	ccn2	2714	13630	1647.0	0.10561910346318619	21.632923988240346	4.4011640088658804e-104	1.4996966360210486e-101	bernoulli	30	
IU_PDA_T9	CCN2	CCN2	ccn2	3526	14112	3408.0	0.12087254732087692	21.59436292976943	1.0146111945528133e-103	1.9090924236705734e-101	bernoulli	30	
IU_PDA_T4	CCN2	CCN2	ccn2	3621	14332	2691.0	0.09263209964277037	20.609965891554523	1.1169457249556493e-94	1.7591281461609192e-92	bernoulli	30	
IU_PDA_T8	CCN2	CCN2	ccn2	3779	14218	2198.0	0.07582723957577452	18.458311393932835	2.2355118167961055e-76	6.11240519446289e-74	bernoulli	30	
IU_PDA_T11	CCN2	CCN2	ccn2	2777	14683	2500.0	0.08970367319722647	15.090654451816647	9.32912060852583e-52	7.444536842118736e-50	bernoulli	30	
IU_PDA_T6	CCN2	CCN2	ccn2	3397	15000	3131.0	0.057373817608460845	9.134430964540229	3.2875823463967086e-20	7.188591136435952e-19	bernoulli	30	
IU_PDA_T12	CCN2	CCN2	ccn2	3642	15208	3631.0	0.03622033789903341	1.847619686361623	0.03232868987980614	0.069966517104325	bernoulli	30	
IU_PDA_T4	CLU	CLU	clu	3621	14332	2441.0	0.2221368730719905	51.43326792506792	0.0	0.0	bernoulli	30	
IU_PDA_T3	CLU	CLU	clu	4354	14666	3223.0	0.16480753947656734	42.417065099871834	0.0	0.0	bernoulli	30	
