target,imp
Fibroblasts,1.2932515286167305
Monocytes,9.371037998929709e-5
B_cells,0.40616147693505267
TAM,0.9394885566956698
Hepatocytes,1.559616906313114e-5
Endothelial_cells,1.6761429848540215e-4
PVL,3.1001827671445585e-5
Normal_Epithelial_cells,5.885527231585338e-5
T_NK_cells,9.131095946077227e-6
Tumor_Epithelial_cells,1.3455409401992555
