display_name	gene_symbol	file_stem	in_spatial_assay
COL1A1	COL1A1	col1a1	TRUE
FAP	FAP	fap	TRUE
EPCAM	EPCAM	epcam	TRUE
CK20	KRT20	krt20	TRUE
C7	C7	c7	TRUE
C1R	C1R	c1r	TRUE
CCL19	CCL19	ccl19	TRUE
CCL21	CCL21	ccl21	TRUE
MFAP4	MFAP4	mfap4	TRUE
CLU	CLU	clu	TRUE
DCN	DCN	dcn	TRUE
CCN2	CCN2	ccn2	TRUE
ACTA2	ACTA2	acta2	TRUE
THBS1	THBS1	thbs1	TRUE
COL12A1	COL12A1	col12a1	TRUE
