orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T11	KCNB1	2777	14686	51.0	0.01206163969144443	1.7990183176619854	0.03600789159265497	0.13250110146071933	bernoulli	30	
IU_PDA_T1	KCNB1	3530	13524	3.0	0.0688889275497505	1.6919539358841469	0.04532737845223714	0.23954961554828255	bernoulli	30	
IU_PDA_T10	KCNB1	2714	13635	7.0	0.04323109495078339	1.5754855735321898	0.0575722029189357	0.2491381476580346	bernoulli	30	
IU_PDA_T4	KCNB1	3621	14334	6.0	0.031613812403947644	1.4118911857141576	0.07899100172828483	0.1684906277936361	bernoulli	30	
IU_PDA_T2	KCNB1	4118	14706	13.0	0.015007774403163011	1.205456270711076	0.11401360486585732	0.3322787693146783	bernoulli	30	
IU_PDA_T12	KCNB1	3642	15208	39.0	0.0075908000924230995	1.107616083086973	0.13401382728719247	0.20875559254387632	bernoulli	30	
IU_PDA_T9	KCNB1	3526	14113	12.0	0.012293750917869968	0.929804691811264	0.1762361083278045	0.3876986213754279	bernoulli	30	
IU_PDA_T6	KCNB1	3397	15000						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T8	KCNB1	3779	14218						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T11	KCNC4	2777	14686	206.0	0.012736753390498779	2.241311055814253	0.01250296665725649	0.06186609445029272	bernoulli	30	
IU_PDA_T3	KCNC4	4354	14668	180.0	0.007409072729204311	1.8103865702835062	0.03511793022368347	0.08133740731422535	bernoulli	30	
IU_PDA_T4	KCNC4	3621	14334	192.0	0.006736686146403135	1.4061902728538747	0.07983381590666372	0.16949899375482214	bernoulli	30	
IU_PDA_T9	KCNC4	3526	14113	98.0	0.005297418772924235	1.0288238749865823	0.15178122272724226	0.3593016347665506	bernoulli	30	
IU_PDA_T6	KCNC4	3397	15000	652.0	0.0032160720902617364	0.6898931727193848	0.2451306847911044	0.32768561374802296	bernoulli	30	
IU_PDA_T1	KCNC4	3530	13524	131.0	0.002779396707055896	0.5521951417909164	0.2904073312659875	0.4994453029368539	bernoulli	30	
IU_PDA_T2	KCNC4	4118	14706	229.0	0.002064199509961165	0.48503520676363554	0.3138256858750538	0.523196977267718	bernoulli	30	
IU_PDA_T12	KCNC4	3642	15208	532.0	-0.0003022020643741666	-0.06630721144493193	0.526433379020208	0.585704793923427	bernoulli	30	
IU_PDA_T10	KCNC4	2714	13635	86.0	-0.00342634119224117	-0.48801570585116855	0.687230641804739	0.7619442023912519	bernoulli	30	
IU_PDA_T8	KCNC4	3779	14218	198.0	-0.004345950230397988	-0.9203697125435454	0.8213102047796326	0.8458943607206468	bernoulli	30	
IU_PDA_T3	KCND2	4354	14668	88.0	0.031533421908294154	6.623164229597396	1.7579500883262306e-11	1.1742081919658082e-10	bernoulli	30	
IU_PDA_T6	KCND2	3397	15000	275.0	0.015795294643740045	3.4273090037336367	0.00030479748245533506	0.0015609294082724568	bernoulli	30	
IU_PDA_T12	KCND2	3642	15208	552.0	0.012356113952462767	2.76605591165316	0.002836940290188678	0.008613333586182754	bernoulli	30	
IU_PDA_T11	KCND2	2777	14686	74.0	0.010080145248311785	1.5601623065276942	0.059360765322268895	0.17974684526244145	bernoulli	30	
IU_PDA_T10	KCND2	2714	13635	28.0	0.013704274942328546	1.4324950173870312	0.0760011015318322	0.27879338697512296	bernoulli	30	
IU_PDA_T1	KCND2	3530	13524	115.0	0.0071689798849826755	1.352526436793784	0.0881034837460159	0.32475102594197847	bernoulli	30	
