target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCND2	IU_PDA_T11	2777	14686	2801	422	0.010080145248311785	1.5601623065276942	0.17974684526244145	
KCND3	IU_PDA_T11	2777	14686	2801	422	0.022769660365924687	3.6942627684027025	0.0010875218072414735	
KCNE4	IU_PDA_T11	2777	14686	2801	422	-0.0015754414327651867	-0.3038458839119886	0.6861993908964062	
KCNJ15	IU_PDA_T11	2777	14686	2801	422	0.010259784152961644	1.334066034552202	0.22846042878802486	
KCNJ16	IU_PDA_T11	2777	14686	2801	422	0.058008614202119786	2.064992393925584	0.08666369792915879	
KCNJ8	IU_PDA_T11	2777	14686	2801	422	0.009849120071703212	1.8203807043151223	0.12888906528996266	
KCNK1	IU_PDA_T11	2777	14686	2801	422	0.012765952485265136	2.490899916149686	0.03593107192524696	
KCNK15	IU_PDA_T11	2777	14686	2801	422	0.011327073057260077	1.2015599963830372	0.25704981714389386	
KCNK17	IU_PDA_T11	2777	14686	2801	422	0.0393651633728024	1.5488964270505665	0.1820056625318082	
KCNK3	IU_PDA_T11	2777	14686	2801	422	0.020694896396949523	2.565605358261267	0.03012962431935946	
KCNK6	IU_PDA_T11	2777	14686	2801	422	0.006672397271891688	1.210459475032644	0.2549165709711417	
KCNMA1	IU_PDA_T11	2777	14686	2801	422	0.045163245697879516	9.416441834799999	8.853975727210316e-20	
KCNMB1	IU_PDA_T11	2777	14686	2801	422	0.07982595861251114	16.225214051015254	1.564710460381257e-57	
KCNMB4	IU_PDA_T11	2777	14686	2801	422	0.026228035985919787	4.855010731996493	8.649236629321045e-06	
KCNN3	IU_PDA_T11	2777	14686	2801	422	0.015166863804429226	2.1898101872205533	0.06848188733056895	
KCNN4	IU_PDA_T11	2777	14686	2801	422	0.022457313750998898	4.057284653908688	0.0002821630627370139	
KCNQ4	IU_PDA_T11	2777	14686	2801	422	0.008099052848797087	1.05257766683159	0.28952455511235275	
KCNS3	IU_PDA_T11	2777	14686	2801	422	0.0017539980655451955	0.34232339885368396	0.4889372970401314	
KCNT2	IU_PDA_T11	2777	14686	2801	422	0.010651069572337676	1.0025591377296488	0.30085564574420787	
KCNA5	IU_PDA_T12	3642	15208	6564	424	0.02268915179435414	4.3329103040151145	3.5476751967200195e-05	
KCNA7	IU_PDA_T12	3642	15208	6564	424				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T12	3642	15208	6564	424	0.022492742516216614	4.836150187041877	3.573310917567245e-06	
KCNAB2	IU_PDA_T12	3642	15208	6564	424	0.043112955371019585	9.98384022542636	1.1861350139214173e-22	
