sample_id	Patient	CellType2	n_cells	KCNA5	KCNA7	KCNAB1	KCNAB2	KCNB1	KCNC4	KCND2	KCND3	KCNE4	KCNJ15	KCNJ16	KCNJ8	KCNK1	KCNK15	KCNK17	KCNK3	KCNK6	KCNMA1	KCNMB1	KCNMB4	KCNN3	KCNN4	KCNQ4	KCNS3	KCNT2	SDC1	LRRC15	COL11A1	MMP11	GJB2	F13A1	IGFL2	TRIM59	PLPP4	LOXL2	ITGA11	C1QTNF3	RASGRF2	COL12A1	TMEM158	KIF26B	DSG2	SUGCT	CADM1	PLAU	NUAK1	RUNX2	COL10A1	ADAM12	SLC16A3	FN1	COL8A2	WNT5A	C1QTNF6	BCAT1	HMOX1	ARC	TFPI2	CXCL3	LIF	FOSL1	IL6	HMGA1	CXCL2	CXCL8	KRT18	HAS1	HSPB8	GPRC5A	HAS2	THAP2	CLCF1	KDM6B	TMEM88	BDKRB1	CYB5D1	FLNC	DUSP2	DYRK3	NR4A3	KRT8	HSPH1	NFATC2	EFNB2	myCAF_score	iCAF_score
HPD1__myCAF	HPD1	myCAF	22	0	0	0	5.71170559479776	0	0	5.71170559479776	5.71170559479776	7.31849437956286	5.71170559479776	0	0	5.71170559479776	0	0	0	7.09551660448878	0	5.71170559479776	0	0	0	0	7.50070540359379	0	8.75307351245662	6.40319789315345	8.41666446385498	11.5519471215903	8.48118916295444	0	7.50070540359379	7.78824929290871	8.41666446385498	10.4959124796137	8.75307351245662	7.09551660448878	0	10.1392493852771	7.09551660448878	8.27359764287882	7.78824929290871	9.39735548788766	5.71170559479776	10.591220145848	8.41666446385498	8.48118916295444	9.64028377664551	9.57966322073275	10.3528158896925	13.2182779654537	0	9.39735548788766	8.01130992517448	9.14248731822955	9.0758033244487	0	7.09551660448878	6.80811076471459	7.09551660448878	7.78824929290871	8.70429124700799	8.65300668271295	6.80811076471459	8.65300668271295	9.42204607747306	8.59894916145608	5.71170559479776	5.71170559479776	9.23485119530392	5.71170559479776	7.65477712396668	7.50070540359379	0	5.71170559479776	0	8.48118916295444	0	6.80811076471459	6.80811076471459	9.23485119530392	8.88658515800618	5.71170559479776	5.71170559479776	0.760385972750098	-0.0900420079716157
HPD2__qPSC	HPD2	qPSC	20	0	0	0	0	0	0	0	0	0	0	0	0	7.23670154752993	6.03440659209356	0	4.94057270320442	6.72635559649275	4.94057270320442	0	0	0	6.03440659209356	4.94057270320442	5.63013822623795	0	7.41890315018213	0	0	4.94057270320442	0	0	0	0	0	0	0	0	0	4.94057270320442	6.72635559649275	4.94057270320442	8.22950008493154	5.63013822623795	7.41890315018213	7.76703341515741	4.94057270320442	0	0	6.88033499104287	6.03440659209356	4.94057270320442	0	0	0	0	0	0	11.5771956244633	8.59714280950298	6.72635559649275	8.43012229383476	0	11.2790455095919	9.95072404479723	9.72094827140324	13.0064899591586	0	7.64192673296387	8.02476627717835	0	5.63013822623795	6.88033499104287	7.64192673296387	0	4.94057270320442	5.63013822623795	4.94057270320442	4.94057270320442	0	0	12.575924102179	8.11175038242073	4.94057270320442	7.57296813966912	-1.00681385732325	0.163403877858668
HPD3__qPSC	HPD3	qPSC	23	0	0	0	0	0	6.72347513486435	5.11883510459562	0	0	7.4160209583414	6.21345075841926	0	7.3107272779983	6.50063212653455	0	5.80898630749664	7.19302778020415	0	0	0	0	0	5.11883510459562	7.67824639672661	0	8.15764316212015	0	0	7.51127645138367	5.80898630749664	0	0	5.80898630749664	0	0	0	5.11883510459562	0	5.80898630749664	6.72347513486435	5.11883510459562	9.190473602068	0	8.00354023730605	8.29113873698814	6.50063212653455	0	0	6.50063212653455	9.190473602068	5.11883510459562	5.11883510459562	0	6.21345075841926	0	6.72347513486435	5.11883510459562	10.7368733816096	9.72801425554151	7.75232131221038	6.50063212653455	7.51127645138367	8.96310980375688	10.6696854472283	11.8545419473007	12.7137396154541	0	8.40889391350247	7.82128553369944	5.11883510459562	6.50063212653455	7.3107272779983	7.88579898541551	5.11883510459562	0	6.21345075841926	0	0	5.80898630749664	0	12.7466906180437	8.48033750659124	5.11883510459562	6.50063212653455	-0.622883478259171	0.295620042070304
PDAC1__csCAF	PDAC1	csCAF	160	0	0	5.47852304466472	6.57434779030138	0	5.47852304466472	6.1695802967641	0	8.56557183690078	5.47852304466472	0	7.77734311590588	7.26679686928459	0	0	0	5.47852304466472	0	7.95959481621639	5.47852304466472	5.47852304466472	5.47852304466472	0	6.57434779030138	5.47852304466472	6.57434779030138	5.47852304466472	10.2017637350121	7.26679686928459	7.55430434016781	6.86168087288302	8.73259660504328	6.1695802967641	8.4189984498233	10.1283390934871	8.30779877149617	0	6.1695802967641	11.2550952678601	10.6561459169879	7.55430434016781	7.95959481621639	7.87261519277873	7.77734311590588	10.2105740392134	8.73259660504328	8.8417792165353	8.8066930597573	7.95959481621639	10.1928751188878	12.4261149876246	8.36494348600678	10.4231284383182	6.57434779030138	9.18801314056146	10.4160111829543	9.16332308441369	8.51906089525287	9.80512732061061	6.1695802967641	7.08461497179909	10.1472068314035	8.03961065471224	10.561961028407	11.8373741436182	8.1136955955676	8.77033096103692	8.8417792165353	8.51906089525287	7.87261519277873	6.86168087288302	0	8.30779877149617	0	6.86168087288302	7.08461497179909	7.55430434016781	7.42084778051993	7.08461497179909	9.25862373562599	7.87261519277873	11.3207897042749	6.1695802967641	7.55430434016781	0.706202261154225	0.483963525811647
PDAC1__myCAF	PDAC1	myCAF	235	0	0	4.65781889882087	6.4416410068374	0	5.75008634665811	6.25963815707389	4.65781889882087	8.74279065987711	4.65781889882087	0	7.13399097515077	7.28802771561508	0	0	4.65781889882087	6.95182891165802	4.65781889882087	4.65781889882087	5.75008634665811	5.75008634665811	0	0	7.42147364519703	4.65781889882087	6.84657471073714	6.59556397658145	9.93153882390717	7.42147364519703	7.28802771561508	7.21397233247282	9.31181592558227	6.4416410068374	8.40970931213753	10.4683978283752	8.69150576586767	0	6.95182891165802	11.4063921057017	10.4382759380499	7.94447802090117	7.73976419931315	8.33740535251208	8.04980307443578	9.72352015300386	9.12573212652627	8.56050102414459	9.0910504095568	8.80731920547401	9.96645342078416	12.9103317934056	8.67380918888621	10.4197574377528	6.59556397658145	8.49863784524402	10.2128435810291	8.67380918888621	7.82673931113043	9.20226418463279	5.75008634665811	6.84657471073714	8.92508561500814	7.6444975359797	9.65898562245277	11.3165268956719	7.59322943447294	7.28802771561508	8.31209368278273	7.42147364519703	6.4416410068374	6.84657471073714	6.03697247593467	7.69326490604342	4.65781889882087	5.34621122684131	4.65781889882087	7.59322943447294	6.25963815707389	6.4416410068374	8.23207143568688	7.86754534855819	11.1050711686276	5.75008634665811	7.69326490604342	0.766575250573347	0.354545985240285
PDAC1__qPSC	PDAC1	qPSC	104	0	0	0	6.80046328454428	6.1084287440433	0	6.1084287440433	6.80046328454428	9.10204594192231	6.1084287440433	0	9.05075851265336	6.1084287440433	0	0	7.20555723735866	6.80046328454428	0	7.71608583767321	7.20555723735866	0	0	0	8.05243075151753	6.1084287440433	6.1084287440433	0	8.05243075151753	9.15083079952622	6.80046328454428	7.89833312481742	0	6.1084287440433	7.71608583767321	10.3689134954931	7.89833312481742	0	0	10.7311968905651	9.93489207641526	6.80046328454428	6.80046328454428	8.59129460711701	7.20555723735866	10.0765361938499	8.50430011321244	7.49305368049217	6.80046328454428	0	9.66161396975426	12.6059926171083	7.89833312481742	9.60277732921834	7.20555723735866	8.1859223524495	9.84392491288211	8.99669780814119	9.24179334885527	9.91291424645532	8.74541875580613	7.71608583767321	10.5370455587839	7.89833312481742	10.1492925969115	12.1320735824472	9.10204594192231	7.20555723735866	9.43848633872799	8.30367443791697	8.05243075151753	7.71608583767321	0	9.05075851265336	0	6.80046328454428	0	7.20555723735866	7.71608583767321	6.80046328454428	9.10204594192231	8.81440101464073	11.353238028249	8.81440101464073	7.20555723735866	0.451719311424286	0.657104531552103
PDAC1__smPSC	PDAC1	smPSC	118	5.87560406269788	0	5.87560406269788	0	0	6.56734670835077	5.87560406269788	0	8.76332115194807	6.56734670835077	0	6.9723431994324	6.56734670835077	0	5.87560406269788	7.81910522846517	5.87560406269788	6.9723431994324	8.43795888987249	5.87560406269788	0	0	0	8.07033032359971	6.9723431994324	5.87560406269788	6.56734670835077	8.58103086755217	0	5.87560406269788	6.56734670835077	8.17565957077084	6.56734670835077	7.48279377139954	9.98371302804001	7.95258637217683	0	6.9723431994324	10.7480118289104	9.74405267241211	6.56734670835077	7.25979088099446	9.63405859605758	6.56734670835077	9.45639014723401	8.70617193597377	7.95258637217683	8.07033032359971	7.95258637217683	9.80467384466999	12.7345073055108	8.07033032359971	9.2740842279839	0	8.35793422300145	10.426699540131	8.86866603104012	9.36938587824917	10.0472235940407	8.35793422300145	6.9723431994324	9.99997280463069	8.35793422300145	10.7248452732558	11.8592520955142	8.76332115194807	7.48279377139954	9.9332845612419	8.76332115194807	0	7.25979088099446	7.25979088099446	8.96396341710877	0	6.56734670835077	5.87560406269788	8.17565957077084	0	7.48279377139954	8.76332115194807	8.58103086755217	11.3862331142975	7.66502154326094	8.17565957077084	0.572751432445731	0.636777537054165
PDAC2__csCAF	PDAC2	csCAF	533	0	0	5.59507010612654	7.20153067964082	6.97857347193828	6.69120189502905	8.72700342201984	9.05719950383326	10.1865045715189	7.98958135155554	0	9.37562144837894	8.36416886539678	6.69120189502905	0	5.59507010612654	8.72700342201984	6.97857347193828	9.63446374961644	8.07656448014907	7.53778990960663	5.59507010612654	0	8.07656448014907	7.98958135155554	8.15658328471032	8.36416886539678	9.96084211186871	10.9192413207482	9.44157400558963	7.53778990960663	8.68255902976807	7.67125472834549	8.58726580149144	8.48192600397724	8.15658328471032	9.70228205517127	7.53778990960663	10.4196906221835	7.98958135155554	8.5359823210149	7.89430506877325	9.37562144837894	7.20153067964082	10.4511883639987	10.2065044921788	9.28031974509284	11.0381004944497	10.0340421832069	8.36416886539678	12.1265937299684	8.58726580149144	9.05719950383326	9.44157400558963	8.48192600397724	7.89430506877325	7.38372798806646	9.83989557167043	9.59874804644115	8.15658328471032	7.7889859812487	8.9236847609151	7.7889859812487	10.3788698709587	9.35263390144396	9.54266249210454	7.20153067964082	9.42006952548466	9.89546254266568	9.94810369138546	8.68255902976807	7.53778990960663	10.1965545306189	7.38372798806646	9.17496958952637	8.76955628026511	8.07656448014907	6.97857347193828	7.20153067964082	9.22903135813037	8.99266875259315	11.1710909466853	9.42006952548466	7.67125472834549	0.850909775576742	0.738269142063108
PDAC2__myCAF	PDAC2	myCAF	792	0	0	5.89591331133276	4.51783707765915	6.11850657867175	6.81055228200987	7.68537793025174	8.00370633612685	9.55679122631163	6.30046111118104	5.20551301760624	8.35724681604666	7.87454070311421	0	4.51783707765915	0	8.47736455890308	8.00370633612685	6.81055228200987	7.39784901177086	7.94120754159639	5.20551301760624	4.51783707765915	7.59840832485319	6.81055228200987	9.44141780128542	8.55010930771144	10.802150854525	11.0215935331281	10.1273053367598	7.64283829376811	8.75551734111921	7.64283829376811	8.63417681803045	8.6814214911572	8.93781263266035	10.5157047903873	7.94120754159639	10.8802031142488	8.00370633612685	8.91371828419783	8.17070900076158	9.23434994831825	8.24479677146642	10.159392389004	10.5008534378478	9.89598660474692	11.070735584969	10.1236757140658	8.43890643986495	12.5152337378362	9.03958261772932	8.75551734111921	9.16092991803185	9.01784523812987	7.28014254430477	6.90576226733393	8.9258380238773	9.2164940899732	8.17070900076158	7.28014254430477	7.55191217791552	7.07266218703752	9.39729657687237	9.17040767080524	8.43890643986495	6.11850657867175	9.03958261772932	9.31913854774065	9.20744515796668	7.68537793025174	7.34072663075076	9.58833738779081	6.11850657867175	8.83774299800663	7.68537793025174	8.49605283771363	7.21564996126744	7.21564996126744	8.49605283771363	8.220705625269	10.3818262191488	9.09194455117036	6.81055228200987	0.914900926204438	0.542615985851901
PDAC2__qPSC	PDAC2	qPSC	268	6.41835694901878	0	0	7.11068812954144	0	7.51588108960205	8.49637005336797	8.71947276219005	10.1056445858239	7.11068812954144	0	10.3085779270377	7.11068812954144	0	8.20875604802972	7.11068812954144	8.61413039895689	6.41835694901878	10.0543534413462	0	7.51588108960205	7.11068812954144	6.41835694901878	9.30718681409822	7.51588108960205	7.80342706025081	7.51588108960205	9.12488341104707	11.47932965729	9.25003373962859	8.20875604802972	9.05589831963472	6.41835694901878	8.61413039895689	9.78407645577108	9.05589831963472	8.49637005336797	7.80342706025081	9.81797612938989	8.71947276219005	8.61413039895689	8.20875604802972	8.98179932441494	8.61413039895689	10.0543534413462	10.2454012001417	8.81476808976546	10.8355845768941	8.61413039895689	7.51588108960205	12.3777338334989	8.36286783293086	9.59484619390804	8.36286783293086	8.02648894159094	7.51588108960205	7.11068812954144	8.71947276219005	9.67488366474492	8.20875604802972	6.41835694901878	8.36286783293086	8.36286783293086	10.367999423709	9.74898714815967	10.5598849451075	7.80342706025081	8.61413039895689	8.71947276219005	9.05589831963472	8.49637005336797	0	10.130336202113	8.71947276219005	9.05589831963472	7.80342706025081	7.80342706025081	6.41835694901878	8.20875604802972	8.61413039895689	9.55228953942827	10.7734540577324	7.80342706025081	8.71947276219005	0.751178432062555	0.669411824928806
