gene
KCNA5
KCNA7
KCNAB1
KCNAB2
KCNB1
KCNC4
KCND2
KCND3
KCNE4
KCNJ15
KCNJ16
KCNJ8
KCNK1
KCNK15
KCNK17
KCNK3
KCNK6
KCNMA1
KCNMB1
KCNMB4
KCNN3
KCNN4
KCNQ4
KCNS3
KCNT2
