row_label
myCAF | KCNK1
csCAF | KCNE4
myCAF | KCNE4
myCAF | KCNJ8
qPSC | KCNJ8
myCAF | KCNS3
qPSC | KCNK6
qPSC | KCNS3
csCAF | KCNMB1
myCAF | KCNMB1
qPSC | KCNA5
qPSC | KCNMB1
qPSC | KCNC4
smPSC | KCNC4
csCAF | KCNJ8
csCAF | KCNS3
myCAF | KCNK6
smPSC | KCNS3
qPSC | KCNE4
smPSC | KCNE4
qPSC | KCNK17
smPSC | KCNK17
smPSC | KCNJ8
smPSC | KCNK3
smPSC | KCNMA1
csCAF | KCNK6
smPSC | KCNA5
smPSC | KCNAB1
smPSC | KCNMB1
