pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_MTORC1_SIGNALING	26	0.0662462979986927	0.0713131950338541	0.00506689703516142	0.0055369819415609	1.76865143677082e-05	0.00088432571838541	csCAF	KCNJ8	0	MTORC1 SIGNALING	KCN-high	TRUE
HALLMARK_ANGIOGENESIS	26	0.137829453815252	0.145064497569721	0.00723504375446839	0.00792484602341716	0.000101955449658079	0.00231895726675782	csCAF	KCNJ8	0	ANGIOGENESIS	KCN-high	TRUE
HALLMARK_ANDROGEN_RESPONSE	26	0.0741109427865322	0.0780362841641542	0.00392534137762208	0.00417636071508971	0.000139137436005469	0.00231895726675782	csCAF	KCNJ8	0	ANDROGEN RESPONSE	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	26	0.119931732733759	0.129472688464431	0.00954095573067268	0.0105145063202836	0.000800756952014182	0.00731198727801832	csCAF	KCNJ8	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_MYC_TARGETS_V1	26	0.107946803485438	0.115948031225587	0.00800122774014924	0.00893106927663877	0.000877438473362198	0.00731198727801832	csCAF	KCNJ8	0	MYC TARGETS V1	KCN-high	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	26	0.0516972585150207	0.0550505805563694	0.0033533220413487	0.00382187385817146	0.000800756952014182	0.00731198727801832	csCAF	KCNJ8	0	PI3K AKT MTOR SIGNALING	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	26	0.118531582142432	0.127271304259832	0.00873972211740005	0.0077727527074644	0.00137358400918262	0.00763102227323677	csCAF	KCNJ8	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_ADIPOGENESIS	26	0.0756520718397456	0.0795091184576178	0.00385704661787221	0.00309692242980668	0.00125733897562792	0.00763102227323677	csCAF	KCNJ8	0	ADIPOGENESIS	KCN-high	TRUE
HALLMARK_GLYCOLYSIS	26	0.0569098030469935	0.0592173051432352	0.00230750209624164	0.00239329457489778	0.00115023688967282	0.00763102227323677	csCAF	KCNJ8	0	GLYCOLYSIS	KCN-high	TRUE
HALLMARK_MYOGENESIS	26	0.081766148405726	0.0847298176349829	0.00296366922925689	0.00295131574303468	0.00178440046863845	0.00892200234319223	csCAF	KCNJ8	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	26	0.093304765838545	0.0974494802511858	0.00414471441264085	0.00360446579562201	0.0027268531302402	0.0123947869556373	csCAF	KCNJ8	0	INTERFERON GAMMA RESPONSE	KCN-high	TRUE
HALLMARK_MITOTIC_SPINDLE	26	0.0313380124680161	0.0289031914995047	-0.0024348209685114	-0.00216768319212305	0.00349170426755227	0.0145487677814678	csCAF	KCNJ8	0	MITOTIC SPINDLE	KCN-low	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	26	0.076505667504053	0.0795755045210548	0.00306983701700171	0.00308900160220899	0.00481471892420259	0.0185181497084715	csCAF	KCNJ8	0	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_COMPLEMENT	26	0.0757704568536084	0.0781111396651015	0.00234068281149305	0.0028189956532381	0.00520963099298918	0.0186058249749613	csCAF	KCNJ8	0	COMPLEMENT	KCN-high	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	26	0.100116234601255	0.105806682913379	0.00569044831212443	0.0059386384594016	0.00608841073571644	0.0202947024523881	csCAF	KCNJ8	0	INTERFERON ALPHA RESPONSE	KCN-high	TRUE
HALLMARK_PEROXISOME	26	0.0435976769843558	0.0456435771159092	0.00204590013155344	0.00115435844053989	0.010311762574708	0.0322242580459626	csCAF	KCNJ8	0	PEROXISOME	KCN-high	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	26	0.0515998891777065	0.0540111322100961	0.00241124303238966	0.00208808059742458	0.0147603673630064	0.043412845185313	csCAF	KCNJ8	0	XENOBIOTIC METABOLISM	KCN-high	TRUE
HALLMARK_MYOGENESIS	14	0.0828904894379315	0.0887802484954646	0.0058897590575331	0.00577495680049354	0.00136666351919497	0.0341665879798743	csCAF	KCNK6	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	14	0.0631993863113126	0.0681190548745146	0.00491966856320209	0.00436706167316985	0.0010970505857231	0.0341665879798743	csCAF	KCNK6	0	CHOLESTEROL HOMEOSTASIS	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	14	0.120078288829181	0.130218343735766	0.0101400549065845	0.00750386802028179	0.00317265532163019	0.0396581915203773	csCAF	KCNK6	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_PEROXISOME	14	0.0436854261093341	0.0495238038116546	0.00583837770232042	0.00578694984297427	0.00258447894760353	0.0396581915203773	csCAF	KCNK6	0	PEROXISOME	KCN-high	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	14	0.184694031947577	0.198063715119729	0.0133696831721516	0.0132039109772611	0.0047289220599092	0.047289220599092	csCAF	KCNK6	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	TRUE
HALLMARK_MYOGENESIS	26	0.081834365966592	0.0858671580695832	0.00403279210299121	0.00391002404526662	0.000170661594105078	0.0052204084463937	csCAF	KCNMB1	2	MYOGENESIS	KCN-high	TRUE
HALLMARK_KRAS_SIGNALING_DN	26	0.0117497365280926	0.0137228299574835	0.00197309342939087	0.00191968318668234	0.000208816337855748	0.0052204084463937	csCAF	KCNMB1	2	KRAS SIGNALING DN	KCN-high	TRUE
HALLMARK_UV_RESPONSE_UP	26	0.0586195766818766	0.0556796077260417	-0.0029399689558349	-0.00234779239524171	0.000960881052142775	0.0160146842023796	csCAF	KCNMB1	2	UV RESPONSE UP	KCN-low	TRUE
HALLMARK_ANGIOGENESIS	26	0.136385912172518	0.145043135840668	0.00865722366815031	0.00579522371093873	0.0027268531302402	0.027268531302402	csCAF	KCNMB1	2	ANGIOGENESIS	KCN-high	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	26	0.0874564218507035	0.0800800668363239	-0.00737635501437951	-0.00700294195226898	0.0027268531302402	0.027268531302402	csCAF	KCNMB1	2	TNFA SIGNALING VIA NFKB	KCN-low	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	26	0.0405586348541393	0.0378796438683989	-0.00267899098574037	-0.00200212595098659	0.0041050888793832	0.03420907399486	csCAF	KCNMB1	2	INFLAMMATORY RESPONSE	KCN-low	TRUE
HALLMARK_E2F_TARGETS	26	0.0290712142170848	0.0277766350098089	-0.00129457920727593	-0.000443892319938025	0.00563358103082109	0.0402398645058649	csCAF	KCNMB1	2	E2F TARGETS	KCN-low	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	18	0.123497618205713	0.134721707489859	0.0112240892841468	0.00953984359502925	0.000493926980684795	0.0246963490342398	csCAF	KCNS3	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	18	0.100067167687383	0.105986493785822	0.00591932609843921	0.00385361509806899	0.00531619211624748	0.0379725846531129	csCAF	KCNS3	0	INTERFERON ALPHA RESPONSE	KCN-high	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	18	0.0769531179233858	0.0824510732113469	0.00549795528796103	0.00581691490046149	0.00306219875895581	0.0379725846531129	csCAF	KCNS3	0	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_APOPTOSIS	18	0.118704534414015	0.123815303297402	0.00511076888338717	0.00404910236627702	0.00306219875895581	0.0379725846531129	csCAF	KCNS3	0	APOPTOSIS	KCN-high	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	18	0.0527575209160632	0.056891505754591	0.00413398483852782	0.00440018226293547	0.00607561354449806	0.0379725846531129	csCAF	KCNS3	0	PI3K AKT MTOR SIGNALING	KCN-high	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	18	0.0629383028894395	0.0659999818621766	0.00306167897273709	0.00335091739435959	0.00464356473936153	0.0379725846531129	csCAF	KCNS3	0	CHOLESTEROL HOMEOSTASIS	KCN-high	TRUE
HALLMARK_MYOGENESIS	18	0.0827701329054444	0.0856855055130925	0.00291537260764808	0.00350264406146018	0.00464356473936153	0.0379725846531129	csCAF	KCNS3	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_G2M_CHECKPOINT	18	0.0299916008283982	0.0278963638217632	-0.00209523700663503	-0.00212888891370606	0.00404894042338628	0.0379725846531129	csCAF	KCNS3	0	G2M CHECKPOINT	KCN-low	TRUE
HALLMARK_NOTCH_SIGNALING	18	0.0441014471115937	0.0479800033040469	0.0038785561924532	0.00498937950423243	0.00789396639888889	0.043855368882716	csCAF	KCNS3	0	NOTCH SIGNALING	KCN-high	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	18	0.0348747237901221	0.032141451594228	-0.00273327219589414	-0.0029181808040646	0.00897456988845386	0.0448728494422693	csCAF	KCNS3	0	ESTROGEN RESPONSE EARLY	KCN-low	TRUE
HALLMARK_GLYCOLYSIS	18	0.0569033668182031	0.0599095941976103	0.00300622737940722	0.00386073161515267	0.0101853921685914	0.0462972371299607	csCAF	KCNS3	0	GLYCOLYSIS	KCN-high	TRUE
HALLMARK_NOTCH_SIGNALING	24	0.0439352340153128	0.049265536652846	0.00533030263753327	0.00393013068856501	0.00015326769400449	0.00383169235011225	myCAF	KCNE4	0	NOTCH SIGNALING	KCN-high	TRUE
