CellType2	KCN	pathway	pathway_label	example_label	delta_high_minus_low	padj_BH	direction
qPSC	KCNJ8	HALLMARK_ANGIOGENESIS	ANGIOGENESIS	qPSC | KCNJ8 | ANGIOGENESIS	0.0179442866353448	1.68398961421042e-05	KCN-high
qPSC	KCNJ8	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	qPSC | KCNJ8 | OXIDATIVE PHOSPHORYLATION	0.0150428936952826	3.25913038189789e-05	KCN-high
smPSC	KCNMB1	HALLMARK_MYOGENESIS	MYOGENESIS	smPSC | KCNMB1 | MYOGENESIS	0.0100831331865546	1.78066134004493e-05	KCN-high
smPSC	KCNMB1	HALLMARK_PI3K_AKT_MTOR_SIGNALING	PI3K AKT MTOR SIGNALING	smPSC | KCNMB1 | PI3K AKT MTOR SIGNALING	0.00484961543947317	3.81389221862855e-05	KCN-high
