orig.ident	C	Z	FDR
IU_PDA_T12	0.0593728013518421	13.1820432240693	1.10954742998927e-38
IU_PDA_T4	0.0190772274388595	4.2425363884174	8.59914294562817e-05
IU_PDA_T3	0.0173295612916183	4.0605030981903	0.000106187054791154
IU_PDA_T11	0.0224573137509989	4.05728465390869	0.000282163062737014
IU_PDA_T1	0.016155151055442	2.71480383623582	0.0413673696246985
IU_PDA_T9	0.0101872497572857	2.2007357973604	0.0836989789540107
IU_PDA_T8	0.00887486800827919	2.02487016325913	0.0985258185496536
IU_PDA_T6	0.00752187743978935	1.59023747062616	0.117730607288274
IU_PDA_T2	0.00520024133593917	1.2539130898201	0.320017822968232
IU_PDA_T10	0.00760874373871706	1.23903225329454	0.320672019064298
