metadata_column
orig.ident
nCount_RNA
nFeature_RNA
percent.mt
dataset
condition
tissue
integrated_snn_res.0.6
seurat_clusters
S.Score
G2M.Score
Phase
old.ident
CC.Difference
integrated_snn_res.0.8
integrated_snn_res.0.9
integrated_snn_res.0.7
Patient
Dataset
Condition
RNA_snn_res.0.2
barcode
cell_quality
cell_type1
disease
sex
age
total_features
log10_total_features
total_counts
log10_total_counts
pct_counts_top_50_features
pct_counts_top_100_features
pct_counts_top_200_features
pct_counts_top_500_features
total_features_endogenous
log10_total_features_endogenous
total_counts_endogenous
log10_total_counts_endogenous
pct_counts_endogenous
pct_counts_top_50_features_endogenous
pct_counts_top_100_features_endogenous
pct_counts_top_200_features_endogenous
pct_counts_top_500_features_endogenous
total_features_feature_control
log10_total_features_feature_control
total_counts_feature_control
log10_total_counts_feature_control
pct_counts_feature_control
total_features_ERCC
log10_total_features_ERCC
total_counts_ERCC
log10_total_counts_ERCC
pct_counts_ERCC
is_cell_control
nCount_SCT
nFeature_SCT
SCT_snn_res.0.2
CellType1
SCT_snn_res.0.4
CellType2
CellType2.1
note
Moffitt.Basal.25
Moffitt.Classical.25
Moffitt.Normal.25
Moffitt.Activated.25
Moffitt.Tumor
Collisson.Classical
Collisson.Exocrine
Collisson.QM
ICGC.ADEX.Up
ICGC.ADEX.Down
ICGC.Immunogenic.Up
ICGC.Immunogenic.Down
ICGC.Progenitor.Up
ICGC.Progenitor.Down
ICGC.Squamous.Up
ICGC.Squamous.Down
ICGC.SAM
Scarpa_PanNET
Moffitt.Top5s
Moffitt.Top25s
Moffitt.F1_Liver.top25
Moffitt.F1_Liver.top250
Moffitt.F1_Liver.top100
Moffitt.F2.top25
Moffitt.F2.top250
Moffitt.F2.top100
Moffitt.F3_Exocrine.top25
Moffitt.F3_Exocrine.top250
Moffitt.F3_Exocrine.top100
Moffitt.F4_CellCycle.top25
Moffitt.F4_CellCycle.top250
Moffitt.F4_CellCycle.top100
Moffitt.F5_ActivatedStroma.top25
Moffitt.F5_ActivatedStroma.top250
Moffitt.F5_ActivatedStroma.top100
Moffitt.F6_BasalLike.top25
Moffitt.F6_BasalLike.top250
Moffitt.F6_BasalLike.top100
Moffitt.F7_Immune.top25
