CellType2	n_cells	median_nFeature_RNA	median_nCount_RNA	median_percent_mt
qPSC	5743	1212	2119.99999863302	1.02173454385432
smPSC	5521	1102	1899.99999987427	1.64111423035684
myCAF	4809	1189	2117.99999997359	0.740895792017914
csCAF	4242	1304	2447.03535324651	1.13630074100635
Myocyte	581	1413	2780.00000017136	2.03712086906157
iCAF	338	1404.5	3052.7499057252	2.49387976715292
Schwann	178	1028	1625.25471225181	1.3120309852336
IL11.CAF	57	4725	22919	2.28130603000849
