target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR
CCL21	IU_PDA_T8	3779	14218	2406	422	0.03474197441219739	7.6391095049231765	4.586861481813621e-13
MFAP4	IU_PDA_T8	3779	14218	2406	422	0.053184170175114114	12.630257502879193	7.864023392892876e-35
CLU	IU_PDA_T8	3779	14218	2406	422	0.05570128464295253	13.146019990055088	1.099261834586235e-37
DCN	IU_PDA_T8	3779	14218	2406	422	0.1433310821812813	34.63274123795415	5.7768020850060586e-260
C7	IU_PDA_T9	3526	14113	2020	424	0.1517277641753843	34.70739015608605	1.3873401842646547e-261
C1R	IU_PDA_T9	3526	14113	2020	424	0.043289489465481244	9.133364818890353	1.346466243126953e-18
CCL19	IU_PDA_T9	3526	14113	2020	424	0.30471464733637377	69.30685050242758	0.0
CCL21	IU_PDA_T9	3526	14113	2020	424	0.29058478648894265	64.8383157631198	0.0
MFAP4	IU_PDA_T9	3526	14113	2020	424	0.03702796975094657	8.568696936846017	1.9642326885613731e-16
CLU	IU_PDA_T9	3526	14113	2020	424	0.1551334432338848	34.82860934186431	2.1113319218482934e-263
DCN	IU_PDA_T9	3526	14113	2020	424	0.06006644024487849	6.718673392168876	2.4508832853165477e-10
