gene	component_genes	n_sections_tested	n_fdr_lt_0_05	median_Z	max_Z	median_C
KCNMA1_KCNMB1	KCNMA1+KCNMB1	10	7	9.010280369062066	13.466924355496255	0.0376744689350957
KCNMA1_KCNMB4	KCNMA1+KCNMB4	10	6	4.798379847168978	9.652540457903287	0.020320740547131844
