"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.1486546855756e-12,5.74327342787799e-11,0.910119734774459,-0.707392155558181,-2.53055254954374,87,"MX1;OAS1;OASL;IFI44L;HERC6;USP18;RTP4;BST2;IFI27;IFITM1;BATF2;IFI44;IFIH1;DHX58;IFI30;IFIT3;GMPR;IRF7;ISG15;UBA7;IFITM2;ISG20;SAMD9L;DDX60;IFI35;TXNIP;LY6E;UBE2L6;IL7;PARP9;IFIT2;IFITM3;EPSTI1;TMEM140;TRIM14;HELZ2;STAT2;CD47;IRF9;PROCR;PARP14"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",5.44179784103705e-09,1.36044946025926e-07,0.761460801445585,-0.537342381654046,-2.09592725550425,166,"MX1;MX2;OASL;CCL7;IFI44L;HERC6;OAS2;USP18;RTP4;BST2;IFI27;CCL5;IFIT1;BATF2;PDE4B;IFI44;XAF1;BANK1;IFIH1;DHX58;OAS3;MT2A;IFI30;CCL2;IFIT3;SAMHD1;IRF7;ISG15;SERPING1;CFB;FGL2;IFITM2;ISG20;SAMD9L;DDX60;IFI35;TXNIP;LY6E;UBE2L6;PNP;IL7;IFIT2;IFITM3;EPSTI1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00121066076678606,0.0201776794464344,0.45505986738723,-0.38005120705894,-1.52166869828678,193,"SPP1;SFRP1;MMP1;ITGA2;GAS1;MMP3;AREG;NTM;TGFBR3;FBLN5;PTX3;MFAP5;ANPEP;CXCL6;COL8A2;CXCL1;PRRX1;MXRA5;TIMP3;GEM;TGM2;EMP3;FZD8;LOX;SERPINE2;LOXL1;LAMC2;CXCL12;ADAM12;NT5E;PLAUR;RGS4;SPOCK1;TIMP1;VIM;IGFBP3;CTHRC1;TNC;FUCA1;NNMT;THY1;CD44;MEST;COMP"
"HALLMARK_NOTCH_SIGNALING",0.0153968577651636,0.122644064187415,0.380730400722792,0.556656457285645,1.60735325343877,31,"JAG1;HEYL;NOTCH3;WNT2;HES1;DTX4;FZD5;FZD7;NOTCH1"
"HALLMARK_UV_RESPONSE_DN",0.0119729368588603,0.122644064187415,0.380730400722792,-0.367367611083551,-1.40955994207771,139,"HAS2;ADGRL2;KCNMA1;IGFBP5;AMPH;CELF2;MGMT;PLPP3;TGFBR3;FBLN5;DBP;MMP16;CAV1;MGLL;TGFBR2;NRP1;INSIG1;INPP4B;CACNA1A;RGS4;RUNX1;PRKAR2B;CDON;MT1E;PTPN21;PTGFR"
"HALLMARK_APICAL_JUNCTION",0.0127201329152489,0.122644064187415,0.380730400722792,-0.346280238064623,-1.35615172612177,171,"KCNH2;ACTN2;CDH4;SHROOM2;GRB7;ITGA2;CLDN11;COL17A1;EGFR;RAC2;CADM3;ITGA9;PECAM1;ATP1A3;WNK4;INSIG1;LAMC2;NEGR1;CLDN7;TRO"
"HALLMARK_MYOGENESIS",0.0171701689862381,0.122644064187415,0.352487857583619,-0.341431403818887,-1.31692980945133,152,"KCNH2;ACTN2;CACNA1H;NCAM1;DES;LARGE1;FABP3;REEP1;APOD;COX7A1;PKIA;ERBB3;BDKRB2;TNNT1;AEBP1;ADAM12;SMTN;CAMK2B;VIPR1;KCNH1;ACSL1;GSN;IGFBP3;FST"
"HALLMARK_KRAS_SIGNALING_UP",0.0236910422012695,0.136344459613473,0.352487857583619,-0.355418246132947,-1.36727770563698,143,"CXCR4;ALDH1A2;ANGPTL4;PLAT;SPP1;EMP1;C3AR1;ITGA2;PLAU;SOX9;EPB41L3;APOD;PRDM1;PRRX1;PECAM1;CFB;ITGBL1;NRP1;ENG;PLEK2;ETV1;GLRX;ADGRL4;PLAUR;DNMBP;CSF2;SPON1;FCER1G;IGFBP3;FUCA1;KIF5C;ADAM8;SNAP25;VWA5A;SPRY2;ST6GAL1;MAFB;DCBLD2;KLF4;SATB1;ETV4;TSPAN1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0245420027304252,0.136344459613473,0.352487857583619,-0.349978006873698,-1.34769131553252,154,"KRT19;LTF;ABCA3;CCNA1;SFN;GJB3;AREG;LARGE1;CCND1;DHRS2;ASS1;CAV1;ISG20;FKBP5;LAMC2;NRIP1;CXCL12;TIAM1;UNC13B;ANXA9;CD9;NBL1;TST;FABP5;ITPK1;PRKAR2B;GPER1;CD44;MEST;MAPK13;RABEP1;MAPT;RBBP8;FOS;NMU;MYB"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0427631578947368,0.213815789473684,0.282013350011725,0.343007762185985,1.31387259323974,184,"OLR1;KYNU;JAG1;F3;IL6;ACKR3;IL7R;G0S2;IL1B;TRAF1;TNFAIP2;PMEPA1;TNFRSF9;HES1;DUSP2;CSF1;MSC;IL18;F2RL1;ICOSLG;PTGER4;KLF9;EFNA1;ATF3;TGIF1;JUNB;CLCF1;LAMB3;PNRC1;SMAD3;NFE2L2;MAP3K8;PLK2;NR4A1;IL1A;GADD45B;IL15RA;ICAM1;PHLDA2;KDM6B;LIF;ZC3H12A;TANK;NFKB2;CEBPB;SIK1;TUBB2A;NR4A2;CDKN1A;GADD45A"
