"PC","variance"
"PC1",0.416906006963705
"PC2",0.16577871053705
"PC3",0.105271561115203
"PC4",0.0847809697361527
"PC5",0.0801233548787347
"PC6",0.0770302792595846
"PC7",0.0701091175095693
"PC8",2.22468688356617e-29
