"sample","mean","median","sd","iqr","condition","KCNMA1"
"sushishctrl1",8.66930962273821,9.23348566229877,3.15148480358244,5.25447705990396,"CTRL",12.3015108826134
"sushishctrl2",8.66983818400779,9.2258908517623,3.14288842721981,5.31653030453018,"CTRL",12.3073134430123
"sushishctrl3",8.64555294906846,9.2255699255077,3.19487692465938,5.32050561838515,"CTRL",12.2521891531677
"sushishctrl4",8.66483979954604,9.22667729558697,3.15486271692556,5.32801168317772,"CTRL",12.2169215990606
"sushi6611",8.67225866922075,9.19657788829634,3.12635482533205,5.27446200135666,"shBKCa",10.7272434298772
"sushi6612",8.68752236322829,9.20307841773743,3.10031828931329,5.25998670841268,"shBKCa",10.8493014707662
"sushi6613",8.6590324526391,9.21424800483238,3.16661869734025,5.32815567130511,"shBKCa",10.6820980755563
"sushi6614",8.67630745904447,9.20623214409623,3.13165963584445,5.26683893674252,"shBKCa",10.7590438890782
