"sample","condition","replicate","myCAF_top30","iCAF_top30","csCAF_top30","apCAF_core","ifCAF_manual"
"sushishctrl1","CTRL","1",0.0673619465394559,-0.366078564205849,-0.00951589778036707,0.182837154673507,0.706248373435652
"sushishctrl2","CTRL","2",0.139219717049616,-0.0028362459485468,-0.17939735175216,0.108433545788789,0.950709903562231
"sushishctrl3","CTRL","3",0.053603884199851,-0.00125900866284517,-0.0865870447029952,-0.0813763900798861,0.728986878545385
"sushishctrl4","CTRL","4",0.209277441281101,0.19149472466499,-0.148947695004992,0.168039394132848,0.978368089995834
"sushi6611","shBKCa","6611",-0.0902716280945959,-0.0389464326687981,0.0531993203221869,-0.266829135782553,-0.583455238672336
"sushi6612","shBKCa","6612",-0.0473347827987357,0.0291341029228894,0.257115087706874,0.00676477620165509,-0.929205631237151
"sushi6613","shBKCa","6613",-0.241528673258762,0.182909309249951,-0.0289724305580464,0.0347967421338599,-1.05080309432169
"sushi6614","shBKCa","6614",-0.0903279049179252,0.00558211464821407,0.143106011769497,-0.152666087068216,-0.800849281307927
