"gene_symbol","category","mean_CTRL","mean_shBKCa","median_CTRL","median_shBKCa","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shBKCa","rho_shBKCa_pvalue","wilcox_padj","rho_padj"
"MGST1","csCAF",12.6786345483671,12.8866706903625,12.6789712747674,12.8694028153367,0.208036141995411,0.0303828219765775,1,0.208199863886869,3.28809946379172e-06,2.32898374203539e-05,-1,4.96031746031746e-05,8,-1,0.0833333333333333,-1,0.0833333333333333,0.0522071025513022,0.00302579365079365
"CXCL8","iCAF",6.59801556873375,7.20585187050497,6.73967040855604,7.21213581491454,0.607836301771223,0.0303828219765775,1,0.577009697243658,0.0012710221279194,0.00492404202131647,-0.952380952380953,0.00114087301587302,8,-0.8,0.333333333333333,-0.8,0.333333333333333,0.0522071025513022,0.034796626984127
"FN1","myCAF",19.4416367056892,19.0604012811399,19.474740092875,19.1077134965509,-0.381235424549285,0.0303828219765775,-1,-0.386693816940878,7.37043874589953e-08,6.9791156099459e-07,0.952380952380953,0.00114087301587302,8,0.8,0.333333333333333,0.8,0.333333333333333,0.0522071025513022,0.034796626984127
"SPINT2","apCAF",6.77452014728877,5.60523626858457,6.78272808581583,5.62638406087697,-1.16928387870421,0.0303828219765775,-1,-1.15411287877832,1.79715055971521e-08,1.90412887113968e-07,0.928571428571429,0.00223214285714286,8,0.8,0.333333333333333,0.6,0.416666666666667,0.0522071025513022,0.0389030612244898
"NFATC2","iCAF",6.96367760734187,7.31845259448938,6.94765593603879,7.25189144077871,0.354774987147502,0.0303828219765775,1,0.353229843414614,0.0166730356899705,0.0452002084882078,-0.928571428571429,0.00223214285714286,8,-1,0.0833333333333333,-0.4,0.75,0.0522071025513022,0.0389030612244898
"STAT2","ifCAF",11.9906444947439,11.6365680237502,12.0181903709632,11.6225317278584,-0.354076470993713,0.0303828219765775,-1,-0.355313006052553,6.43123969359184e-12,1.1147897188137e-10,0.928571428571429,0.00223214285714286,8,0.6,0.416666666666667,0.8,0.333333333333333,0.0522071025513022,0.0389030612244898
"CXADR","apCAF",7.75703517061534,6.95591104141506,7.73354337958252,6.94056769919153,-0.80112412920028,0.0303828219765775,-1,-0.818349454195859,3.35591909777694e-08,3.39881715864219e-07,0.904761904761905,0.00456349206349206,8,0.4,0.75,0.8,0.333333333333333,0.0522071025513022,0.0506132756132756
"HSPB6","csCAF",11.6311360227812,9.93548877135407,11.6248636594508,9.93800833132485,-1.69564725142715,0.0303828219765775,-1,-1.69325526253192,1.32404048875661e-196,3.3868955702394e-193,0.904761904761905,0.00456349206349206,8,0.8,0.333333333333333,0.4,0.75,0.0522071025513022,0.0506132756132756
"NFIA","csCAF",9.33059069254714,9.07178949447328,9.29659639266503,9.08444782562551,-0.25880119807386,0.0303828219765775,-1,-0.261660732951641,0.00218550758203102,0.00786923361428664,0.904761904761905,0.00456349206349206,8,0.4,0.75,0.8,0.333333333333333,0.0522071025513022,0.0506132756132756
"ADAM12","myCAF",13.1810181064293,12.5622995129063,13.2030022964968,12.5623770394347,-0.618718593523024,0.0303828219765775,-1,-0.619225804915548,4.52629018799809e-30,2.96878212843567e-28,0.904761904761905,0.00456349206349206,8,0.8,0.333333333333333,0.4,0.75,0.0522071025513022,0.0506132756132756
"LOXL2","myCAF",15.0055730242924,14.8453426576519,15.0108806783747,14.8479915461864,-0.160230366640555,0.0303828219765775,-1,-0.161029593406782,0.00059561269790088,0.00253386575638231,0.880952380952381,0.00724206349206349,8,0.6,0.416666666666667,0.4,0.75,0.0522071025513022,0.0736276455026455
"PTGIS","apCAF",5.8093497007706,6.64034978006152,5.88535306889135,6.7818589823533,0.831000079290916,0.0303828219765775,1,0.861996823237149,9.4267924646135e-05,0.000492002013638545,-0.857142857142857,0.0107142857142857,8,-0.4,0.75,-0.4,0.75,0.0522071025513022,0.076890756302521
"GPX3","csCAF",9.20051917302942,10.0772805801151,9.18609852518331,10.0608574477873,0.876761407085667,0.0303828219765775,1,0.874999182031628,6.69965453141642e-23,2.90958596472388e-21,-0.857142857142857,0.0107142857142857,8,-0.6,0.416666666666667,-0.2,0.916666666666667,0.0522071025513022,0.076890756302521
"HSPH1","iCAF",13.1598289973995,13.3681441500203,13.1817608317321,13.3598402997174,0.208315152620768,0.0303828219765775,1,0.207430356697953,1.14391870837754e-05,7.31013861249403e-05,-0.857142857142857,0.0107142857142857,8,-0.4,0.75,-0.4,0.75,0.0522071025513022,0.076890756302521
"MX1","ifCAF",9.405457516956,6.65084361115891,9.47173600762213,6.62248421669542,-2.75461390579709,0.0303828219765775,-1,-2.77588504600078,5.04487931982724e-125,3.92754822177507e-122,0.857142857142857,0.0107142857142857,8,0.4,0.75,0.4,0.75,0.0522071025513022,0.076890756302521
"RASGRF2","myCAF",4.65921997799237,5.78451455986183,4.59621592254299,5.92389029472278,1.12529458186946,0.0303828219765775,1,1.14909771156641,6.140901696551e-05,0.00033432345934461,-0.857142857142857,0.0107142857142857,8,-0.8,0.333333333333333,0,1,0.0522071025513022,0.076890756302521
"SFRP1","csCAF",10.4000812730446,8.90031983079214,10.3992265067586,8.93530064053071,-1.49976144225241,0.0303828219765775,-1,-1.50704346717622,2.67863445822729e-96,1.26220075286889e-93,0.833333333333333,0.0153769841269841,8,0.8,0.333333333333333,-0.2,0.916666666666667,0.0522071025513022,0.0937996031746032
"IFIT2","ifCAF",8.91197583756293,8.40796568117524,8.93775714359056,8.47176834833109,-0.504010156387695,0.0303828219765775,-1,-0.497985831590961,7.80309671509021e-07,6.21503191072992e-06,0.833333333333333,0.0153769841269841,8,0.2,0.916666666666667,0.4,0.75,0.0522071025513022,0.0937996031746032
"DSG2","myCAF",12.2386778972745,11.6027276741154,12.2489571925569,11.5971659699204,-0.635950223159091,0.0303828219765775,-1,-0.634503605373992,1.22384931822099e-30,8.39626279389466e-29,0.833333333333333,0.0153769841269841,8,0.4,0.75,0.2,0.916666666666667,0.0522071025513022,0.0937996031746032
"ENPP2","apCAF",9.44588848765727,9.14877204668131,9.44695505277196,9.13554243756012,-0.297116440975961,0.0303828219765775,-1,-0.299883508594043,0.000120144581779229,0.000613083180774829,0.80952380952381,0.0217757936507936,8,0.4,0.75,0,1,0.0522071025513022,0.100207166199813
"AC016831.1","iCAF",8.01568158292752,7.0362384848671,8.03027612140999,7.0263081451904,-0.979443098060421,0.0303828219765775,-1,-0.986196307868424,7.45242530984998e-16,1.9255862568279e-14,0.80952380952381,0.0217757936507936,8,-0.2,0.916666666666667,0.6,0.416666666666667,0.0522071025513022,0.100207166199813
"HSPB8","iCAF",10.0170936642892,10.4587171732558,10.036032840852,10.4487799157701,0.441623508966609,0.0303828219765775,1,0.436547456153246,2.35393405398572e-10,3.316250446158e-09,-0.80952380952381,0.0217757936507936,8,0.4,0.75,-0.8,0.333333333333333,0.0522071025513022,0.100207166199813
"COL8A2","myCAF",7.47479758888874,6.57794563679494,7.51361473287645,6.51942989866127,-0.896851952093797,0.0303828219765775,-1,-0.907352155674668,4.95071091642723e-08,4.82303752282622e-07,0.80952380952381,0.0217757936507936,8,0.8,0.333333333333333,-0.4,0.75,0.0522071025513022,0.100207166199813
"TRIM59","myCAF",11.8667046496796,11.5885954469573,11.8652287122156,11.5544331337502,-0.278109202722307,0.0303828219765775,-1,-0.275561897181637,4.02626530366072e-06,2.80304457726862e-05,0.80952380952381,0.0217757936507936,8,0.8,0.333333333333333,-0.4,0.75,0.0522071025513022,0.100207166199813
"KRT7","apCAF",11.4367289542832,12.8004555180916,11.446151862207,12.8111446246119,1.3637265638084,0.0303828219765775,1,1.36521657182545,2.10215654793932e-137,1.71096432488188e-134,-0.785714285714286,0.0279265873015873,8,-0.6,0.416666666666667,0.4,0.75,0.0522071025513022,0.100207166199813
"EZR","apCAF",13.7662150211904,14.0955535919264,13.762352951995,14.0790513324415,0.329338570735944,0.0303828219765775,1,0.329622234957645,9.61856289892537e-15,2.22807228031252e-13,-0.785714285714286,0.0279265873015873,8,0.2,0.916666666666667,-0.4,0.75,0.0522071025513022,0.100207166199813
"ADH1B","csCAF",2.59639384978654,5.47247297104013,2.55055664238429,5.47364675725927,2.87607912125359,0.0303828219765775,1,2.86063184687108,4.06454649407563e-11,6.39541032714571e-10,-0.785714285714286,0.0279265873015873,8,0.2,0.916666666666667,-0.4,0.75,0.0522071025513022,0.100207166199813
"CCDC102B","csCAF",5.43540771413723,6.42315040168551,5.32622450452628,6.37474278581781,0.98774268754828,0.0303828219765775,1,0.998655407797034,2.44715050145888e-05,0.00014466383915194,-0.785714285714286,0.0279265873015873,8,-0.8,0.333333333333333,0.6,0.416666666666667,0.0522071025513022,0.100207166199813
"EPHA3","csCAF",5.32541537257074,4.59980841895919,5.57723189627211,4.72134531818598,-0.725606953611547,0.193930852282411,-0.625,-0.796385472300573,0.0180776771230938,0.0483518407525905,0.785714285714286,0.0279265873015873,8,1,0.0833333333333333,0.4,0.75,0.275111209051792,0.100207166199813
"IL6","iCAF",6.91441102877014,8.29844311300654,6.97789898496385,8.32098484880759,1.3840320842364,0.0303828219765775,1,1.38129056583907,2.03457700673142e-28,1.22252133834003e-26,-0.785714285714286,0.0279265873015873,8,-0.4,0.75,0.2,0.916666666666667,0.0522071025513022,0.100207166199813
"CLCF1","iCAF",8.92192665603041,9.48718724101549,8.91799356915411,9.50134156439292,0.565260584985078,0.0303828219765775,1,0.570439651302891,2.05505447762367e-12,3.73202895297458e-11,-0.785714285714286,0.0279265873015873,8,-0.4,0.75,0.2,0.916666666666667,0.0522071025513022,0.100207166199813
"IFIT3","ifCAF",9.75586756059715,8.89270688955084,9.75460578634522,8.91228597334472,-0.863160671046311,0.0303828219765775,-1,-0.854915929329679,1.9952384459345e-27,1.1199604894327e-25,0.785714285714286,0.0279265873015873,8,-0.6,0.416666666666667,0.8,0.333333333333333,0.0522071025513022,0.100207166199813
"C1QTNF6","myCAF",9.14955954440102,8.69798422723621,9.12868531406635,8.69472156919046,-0.451575317164812,0.0303828219765775,-1,-0.451186017203209,1.82636188901262e-07,1.62458201612816e-06,0.785714285714286,0.0279265873015873,8,0.4,0.75,-0.2,0.916666666666667,0.0522071025513022,0.100207166199813
"CAV1","apCAF",15.0445705375983,14.2412819524405,15.0477188849679,14.2390739566351,-0.803288585157798,0.0303828219765775,-1,-0.804405471802806,6.40366171253769e-63,1.43329958280875e-60,0.761904761904762,0.0367559523809524,8,0.4,0.75,-0.4,0.75,0.0522071025513022,0.114980158730159
"CXCL12","iCAF",12.7034076790268,12.0594836874837,12.7237379547984,12.0830784662691,-0.643923991543117,0.0303828219765775,-1,-0.64413516412639,9.11667725639034e-35,7.42014649786025e-33,0.761904761904762,0.0367559523809524,8,-0.4,0.75,0.4,0.75,0.0522071025513022,0.114980158730159
"KRT18","iCAF",14.9586941152325,14.6270491975214,14.9562013322054,14.6416765416489,-0.331644917711159,0.0303828219765775,-1,-0.332719790823755,2.26705446658275e-10,3.20646739957589e-09,0.761904761904762,0.0367559523809524,8,-0.4,0.75,0.4,0.75,0.0522071025513022,0.114980158730159
"KRT8","iCAF",10.6633543514674,10.8820142016677,10.6801604073226,10.8865311008212,0.218659850200284,0.0303828219765775,1,0.220911915826078,0.000134804684714682,0.000679181959623269,-0.761904761904762,0.0367559523809524,8,-0.4,0.75,0.4,0.75,0.0522071025513022,0.114980158730159
"PLAU","myCAF",11.9734095111491,10.769019159032,11.9627944580036,10.7709479752989,-1.20439035211716,0.0303828219765775,-1,-1.20397782056262,2.50870282712181e-116,1.54899423525666e-113,0.761904761904762,0.0367559523809524,8,-1,0.0833333333333333,1,0.0833333333333333,0.0522071025513022,0.114980158730159
"TNXB","csCAF",4.03942284332725,4.59431194476165,4.09019952640323,4.55595788936149,0.554889101434397,0.193930852282411,0.625,0.577148751670387,0.142742854924664,0.258203208433279,-0.738095238095238,0.0458333333333333,8,-1,0.0833333333333333,-0.4,0.75,0.275111209051792,0.127083333333333
"DUSP2","iCAF",6.43259722254834,7.27492447673802,6.41407248120175,7.2798992679083,0.842327254189679,0.0303828219765775,1,0.855544694396381,6.6379710681207e-08,6.33917386377436e-07,-0.738095238095238,0.0458333333333333,8,0,1,0.2,0.916666666666667,0.0522071025513022,0.127083333333333
"CYB5D1","iCAF",8.53358773120465,8.27458261410859,8.53264355606685,8.34201874988836,-0.259005117096059,0.0606019697120061,-0.875,-0.249675570028536,0.0220617514898608,0.0572767467271926,0.738095238095238,0.0458333333333333,8,0.4,0.75,0.2,0.916666666666667,0.0960187052579837,0.127083333333333
"OAS1","ifCAF",6.39628835177183,3.81096552792356,6.34887203432907,4.19557537953672,-2.58532282384827,0.0303828219765775,-1,-2.40917485613074,1.03188607000327e-15,2.62084425098987e-14,0.738095238095238,0.0458333333333333,8,-0.4,0.75,0.2,0.916666666666667,0.0522071025513022,0.127083333333333
"SUGCT","myCAF",7.96017243599263,7.80294941427026,7.9495233977376,7.77226216402656,-0.157223021722368,0.112351197690464,-0.75,-0.155713197813889,0.171698812430529,0.296531533119315,0.738095238095238,0.0458333333333333,8,0.4,0.75,0.6,0.416666666666667,0.173504381243501,0.127083333333333
"DMKN","apCAF",10.3090353740034,9.11640379459345,10.2938348238243,9.11784530910762,-1.19263157940997,0.0303828219765775,-1,-1.19170574484684,1.35350083152105e-62,2.99207233200197e-60,0.714285714285714,0.0575892857142857,8,0,1,-0.4,0.75,0.0522071025513022,0.146372767857143
"ARHGDIB","apCAF",10.9318099100332,10.6285448583825,10.936369985119,10.624313003705,-0.303265051650762,0.0303828219765775,-1,-0.304280659922514,3.17385713821625e-09,3.76115724135673e-08,0.714285714285714,0.0575892857142857,8,0.4,0.75,-0.8,0.333333333333333,0.0522071025513022,0.146372767857143
"BDKRB1","iCAF",5.79930140383028,4.12025323333649,5.80722409482469,4.12289494724333,-1.67904817049379,0.0303828219765775,-1,-1.73924458806762,2.65130728346097e-09,3.18511429521861e-08,0.714285714285714,0.0575892857142857,8,0.4,0.75,-0.8,0.333333333333333,0.0522071025513022,0.146372767857143
"CADM1","myCAF",2.78283637078401,4.04727339109119,2.87329014793256,3.97693526275274,1.26443702030718,0.0303828219765775,1,1.33365229801933,0.00968584478951984,0.0285418223362608,-0.714285714285714,0.0575892857142857,8,0.8,0.333333333333333,-0.4,0.75,0.0522071025513022,0.146372767857143
"HSPB1","apCAF",13.5694717555493,14.0350139033315,13.5508710722169,14.0543734472818,0.465542147782172,0.0303828219765775,1,0.466421610641203,7.78657913141321e-14,1.63421311091539e-12,-0.690476190476191,0.0693948412698413,8,0.2,0.916666666666667,0.4,0.75,0.0522071025513022,0.148529309384573
"SLC9A3R1","apCAF",11.0271674300706,10.5809968097435,11.0144048530468,10.52158657301,-0.446170620327113,0.0303828219765775,-1,-0.443758138697549,1.09009971580538e-10,1.60652884865935e-09,0.690476190476191,0.0693948412698413,8,-0.2,0.916666666666667,-0.4,0.75,0.0522071025513022,0.148529309384573
"MSLN","apCAF",2.75583775594645,4.2282498547819,2.76582070290695,4.29971557106499,1.47241209883544,0.0606019697120061,0.875,1.37636092078978,0.00883468036934958,0.0263876207995953,-0.690476190476191,0.0693948412698413,8,-0.8,0.333333333333333,0.8,0.333333333333333,0.0960187052579837,0.148529309384573
"IFIT1","ifCAF",9.74517460324525,8.33267108244656,9.72713044966607,8.38391393485513,-1.41250352079869,0.0303828219765775,-1,-1.42353276203611,2.0517567610601e-60,4.42635621247496e-58,0.690476190476191,0.0693948412698413,8,0.4,0.75,-1,0.0833333333333333,0.0522071025513022,0.148529309384573
