gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCND2	Pancreas	CC6	0	0	0
KCND2	Pancreas	CC7	92	2572	3.57698289269051
KCND2	Pancreas	CC8	0	0	0
KCND2	Pancreas	CC9	6	726	0.826446280991736
KCND2	Pancreas	CC10	0	1	0
KCND3	Normal Pancreas	CC1	0	0	0
KCND3	Normal Pancreas	CC2	0	53	0
KCND3	Normal Pancreas	CC3	3	36	8.33333333333333
KCND3	Normal Pancreas	CC4	0	3	0
KCND3	Normal Pancreas	CC5	0	0	0
KCND3	Normal Pancreas	CC6	0	0	0
KCND3	Normal Pancreas	CC7	0	21	0
KCND3	Normal Pancreas	CC8	0	0	0
KCND3	Normal Pancreas	CC9	0	0	0
KCND3	Normal Pancreas	CC10	407	9707	4.19285052024312
KCND3	Pancreas	CC1	558	8639	6.45908091214261
KCND3	Pancreas	CC2	185	5063	3.65396010270591
KCND3	Pancreas	CC3	116	3317	3.49713596623455
KCND3	Pancreas	CC4	182	7976	2.28184553660983
KCND3	Pancreas	CC5	317	7164	4.4249022892239
KCND3	Pancreas	CC6	0	0	0
KCND3	Pancreas	CC7	219	2572	8.51477449455676
KCND3	Pancreas	CC8	0	0	0
KCND3	Pancreas	CC9	45	726	6.19834710743802
KCND3	Pancreas	CC10	0	1	0
KCNE4	Normal Pancreas	CC1	0	0	0
KCNE4	Normal Pancreas	CC2	0	53	0
KCNE4	Normal Pancreas	CC3	1	36	2.77777777777778
KCNE4	Normal Pancreas	CC4	0	3	0
KCNE4	Normal Pancreas	CC5	0	0	0
KCNE4	Normal Pancreas	CC6	0	0	0
KCNE4	Normal Pancreas	CC7	1	21	4.76190476190476
KCNE4	Normal Pancreas	CC8	0	0	0
KCNE4	Normal Pancreas	CC9	0	0	0
KCNE4	Normal Pancreas	CC10	1289	9707	13.2790769547749
KCNE4	Pancreas	CC1	1322	8639	15.3026970714203
KCNE4	Pancreas	CC2	280	5063	5.53031799328461
KCNE4	Pancreas	CC3	189	3317	5.69791980705457
KCNE4	Pancreas	CC4	474	7976	5.94282848545637
KCNE4	Pancreas	CC5	765	7164	10.678391959799
KCNE4	Pancreas	CC6	0	0	0
KCNE4	Pancreas	CC7	236	2572	9.17573872472784
KCNE4	Pancreas	CC8	0	0	0
KCNE4	Pancreas	CC9	31	726	4.26997245179063
KCNE4	Pancreas	CC10	0	1	0
KCNJ15	Normal Pancreas	CC1	0	0	0
KCNJ15	Normal Pancreas	CC2	14	53	26.4150943396226
KCNJ15	Normal Pancreas	CC3	9	36	25
KCNJ15	Normal Pancreas	CC4	1	3	33.3333333333333
KCNJ15	Normal Pancreas	CC5	0	0	0
KCNJ15	Normal Pancreas	CC6	0	0	0
KCNJ15	Normal Pancreas	CC7	1	21	4.76190476190476
