orig.ident	contrast	contrast_labels	gene	n_inside	n_outside	n_inside_positive	n_outside_positive	pct_inside_positive	pct_outside_positive	delta_pct_positive	mean_expression_inside	mean_expression_outside	mean_positive_expression_inside	mean_positive_expression_outside	log2fc_mean_expression	auc	wilcoxon_p	wilcoxon_fdr
IU_PDA_T1	CC1_CC5	CC1,CC5	CCN2	2969	561	2769	481	93.2637251599865	85.7397504456328	7.52397471435373	5.76658807679353	3.6541889483066	6.1830985915493	4.26195426195426	0.53989878392995	0.635233719318279	1.62015621938348e-24	8.10078109691739e-24
IU_PDA_T1	CC1_CC5	CC1,CC5	COL12A1	2969	561	1197	130	40.3166049174806	23.1729055258467	17.1436993916339	0.745368811047491	0.340463458110517	1.84878863826232	1.46923076923077	0.380800031124595	0.592316984358274	8.81866806797959e-16	2.2046670169949e-15
IU_PDA_T1	CC1_CC5	CC1,CC5	POSTN	2969	561	1218	156	41.023913775682	27.807486631016	13.216427144666	0.860895924553722	0.447415329768271	2.09852216748768	1.60897435897436	0.362518414603118	0.573168732877884	2.82104586791706e-10	4.61547069563182e-10
IU_PDA_T1	CC1_CC5	CC1,CC5	ACTA2	2969	561	2677	486	90.1650387335803	86.6310160427808	3.53402269079957	4.83597170764567	3.55436720142602	5.36346656705267	4.10288065843621	0.357722273978916	0.58279374090798	3.69237655650546e-10	4.61547069563182e-10
IU_PDA_T1	CC1_CC5	CC1,CC5	TAGLN	2969	561	2267	395	76.3556753115527	70.4099821746881	5.94569313686465	2.27012462108454	1.76114081996435	2.97309219232466	2.50126582278481	0.244081148213776	0.564788614854987	6.54328650845936e-07	6.54328650845936e-07
IU_PDA_T10	CC1_CC5	CC1,CC5	ACTA2	582	2132	517	1511	88.8316151202749	70.8724202626642	17.9591948576107	3.9639175257732	1.98733583489681	4.46228239845261	2.80410324288551	0.732619711788974	0.691506611735427	2.06310674124172e-47	1.03155337062086e-46
IU_PDA_T10	CC1_CC5	CC1,CC5	CCN2	582	2132	448	1199	76.9759450171821	56.2382739212008	20.7376710959814	2.65635738831615	1.1843339587242	3.45089285714286	2.10592160133445	0.743213648531753	0.66391123962786	6.45919136510606e-37	1.61479784127651e-36
IU_PDA_T10	CC1_CC5	CC1,CC5	TAGLN	582	2132	364	906	62.5429553264605	42.4953095684803	20.0476457579802	1.40378006872852	0.771106941838649	2.24450549450549	1.81456953642384	0.440653577653804	0.615074740656209	8.88123553907948e-21	1.48020592317991e-20
IU_PDA_T10	CC1_CC5	CC1,CC5	COL12A1	582	2132	128	262	21.9931271477663	12.2889305816135	9.70419656615281	0.328178694158076	0.140243902439024	1.4921875	1.1412213740458	0.220106805747011	0.550242419553458	9.73118531566629e-10	1.21639816445829e-09
IU_PDA_T10	CC1_CC5	CC1,CC5	POSTN	582	2132	98	204	16.8384879725086	9.56848030018762	7.27000767232097	0.194158075601375	0.111163227016886	1.1530612244898	1.16176470588235	0.10392306422153	0.53645641928267	7.30883236011284e-07	7.30883236011284e-07
