target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	IFT22	10	0.0320370654122679	0.0187900223424988
SIGMAR1	TNS3	10	0.0318577028264374	0.0282543514695559
SIGMAR1	DHPS	10	0.0318398555522453	0.0441946099239628
SIGMAR1	HOXB4	10	0.0317421745874013	0.0293755356080959
SIGMAR1	CBR1	10	0.0316918296163295	0.0305728293346698
SIGMAR1	ATP6V1E1	10	0.031645198748082	0.0372916406929588
SIGMAR1	TRIM26	10	0.0314315364728186	0.0299048480614544
SIGMAR1	VOPP1	10	0.031381845422235	0.0415969825065881
SIGMAR1	PNRC2	10	0.0313517939595677	0.0176008124276084
SIGMAR1	GHITM	10	0.0311836577346325	0.00238875706419331
SIGMAR1	ZMIZ2	10	0.0311257468641804	0.0063561608466609
SIGMAR1	SCAMP3	10	0.031098319735331	0.0303335124050314
SIGMAR1	SSRP1	10	0.0310199752627054	0.0153381670905169
SIGMAR1	SYNPO2	10	0.0305799302896843	0.0188818411304462
SIGMAR1	ANP32E	10	0.0302796453038826	0.0401419049056889
SIGMAR1	SPARCL1	10	0.0302099298820752	0.0325357397724816
SIGMAR1	AAMP	10	0.029999189625449	-0.0111350035881168
SIGMAR1	BAZ1B	10	0.0296024979091812	0.0413935886616647
SIGMAR1	ARHGEF17	10	0.0295192890228647	0.0230053289054976
SIGMAR1	HRAS	10	0.0295147151161125	0.0155058791726411
SIGMAR1	C1QA	10	0.029501050599543	-0.00734547765492582
SIGMAR1	KRT8	10	0.0293449415798273	0.0551318274147724
SIGMAR1	NT5DC2	10	0.0292169429441565	0.0266889367140737
SIGMAR1	PPP2R5D	10	0.0291218903684421	0.0176093892497883
SIGMAR1	ANKS6	10	0.0291014651400091	0.0201239833067097
SIGMAR1	ATP5MF	10	0.0290861801301431	0.0198693008387135
SIGMAR1	PRPF4	10	0.0290618846083944	9.97663027328677e-05
SIGMAR1	PARK7	10	0.0289946602117271	0.0375571807140168
SIGMAR1	ILKAP	10	0.0289442232246335	-0.00342540913961768
SIGMAR1	MIF	10	0.0283727065491213	0.0329372015578249
SIGMAR1	LXN	10	0.0283033181791951	-0.00945853188691624
