pathway	pval	padj	log2err	ES	NES	size	leadingEdge	target_gene
HALLMARK_MYC_TARGETS_V2	0.190575916230366	0.282976360463271	0.096887770327544	-0.475317663170115	-1.17317450205378	53	PA2G4;PUS1;LAS1L;CBX3;MCM5;MPHOSPH10;BYSL;HSPD1;RRP9;RCL1;GRWD1;SLC19A1;NOP16;DUSP2;MYBBP1A;NOP56;UNG;HK2;GNL3;CDK4;MRTO4;SRM;DCTPP1;AIMP2;PES1;TMEM97;FARSA;NDUFAF4;EXOSC5	SIGMAR1
HALLMARK_BILE_ACID_METABOLISM	0.211538461538462	0.304864253393665	0.0888945288620449	-0.432516086806049	-1.12167423299529	109	IDI1;DHCR24;ACSL1;OPTN;SLC35B2;RBP1;HSD17B11;ACSL5;SOD1;PNPLA8;DIO2;RXRA;BCAR3;SLC29A1;PXMP2;SLC23A2;PFKM;FADS1;PEX26;PEX13;PHYH;ALDH9A1;GSTK1;ALDH1A1;ATXN1;SLC27A5;FDXR;TFCP2L1;ABCD3;ABCA2;PEX11A;PEX7;RETSAT;HACL1;GNPAT;PRDX5;HSD3B7;AQP9;PECR	SIGMAR1
HALLMARK_IL2_STAT5_SIGNALING	0.223232323232323	0.312525252525252	0.0857844408075645	-0.413694583115066	-1.09622399021835	195	CD81;MAPKAPK2;CTSZ;BHLHE40;RGS16;CAPG;NDRG1;ITGAV;SPP1;PLEC;DENND5A;BMPR2;NFKBIZ;KLF6;AHNAK;LRIG1;FURIN;TGM2;RNH1;COL6A1;SNX14;PUS1;NRP1;SERPINB6;CCND3;HUWE1;FAH;SLC2A3;ARL4A;SWAP70;HIPK2;RORA;IL4R;CKAP4;RHOB;ADAM19;CCND2;SYNGR2;SOCS2;IGF2R;GABARAPL1;IL3RA;CD86;MXD1;SNX9;NFIL3;CST7;HOPX;TWSG1;HK2;SHE;IL2RA;PTRH2;ODC1;CDCP1;MYO1E;SOCS1;BCL2;CSF1;P2RX4;NT5E;GPX4;PRKCH;GBP4;ECM1;CA2;SPRY4;GLIPR2;SH3BGRL2;PHLDA1	SIGMAR1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.234817813765182	0.319613135402609	0.083129129135339	-0.434557059866219	-1.1228309100202	97	MKNK2;GRB2;CXCR4;ARHGDIA;ACTR3;CLTC;AKT1;PLCG1;ARF1;SMAD2;RIT1;PIN1;CSNK2B;EIF4E;MAPKAP1;DUSP3;SLC2A1;ECSIT;ATF1;TBK1;CAB39;STAT2;RPTOR;PPP1CA;NCK1;CDKN1A;MAP2K3;MKNK1;RIPK1;PLA2G12A;SLA;PAK4;CAB39L;PRKAG1;GSK3B;CDK4;PPP2R1B;TNFRSF1A	SIGMAR1
HALLMARK_ALLOGRAFT_REJECTION	0.251008064516129	0.332416085440279	0.0793434960134973	-0.411467965613264	-1.0884896688352	184	INHBA;CAPG;CCL19;THY1;AKT1;TGFB1;STAT1;TPD52;STAB1;HLA-DRA;SRGN;EIF4G3;CCND3;BCL3;IFNAR2;MMP9;PTPRC;FAS;TIMP1;NME1;BCAT1;IL4R;EREG;ACVR2A;CTSS;ETS1;IRF7;DEGS1;HLA-DQA1;CCND2;NCK1;TLR2;LYN;BCL10;FLNA;TGFB2;CD86;CCL22;IL27RA;PSMB10;CD79A;ST8SIA4;RIPK2;CCL5;EIF3D;ACHE;MAP4K1;HLA-DMA;SOCS5;CCL2;IL2RA;SOCS1;IGSF6;CSF1;HCLS1;TAP1;HLA-A;CCL11;CD28	SIGMAR1
HALLMARK_HEDGEHOG_SIGNALING	0.344334433443344	0.444010190492733	0.0676760401641789	-0.460740121208472	-1.08280659225125	35	VEGFA;THY1;LDB1;RASA1;NRP2;NRP1	SIGMAR1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.367305751765893	0.461486713757148	0.0603786357920401	-0.395859294037168	-1.04777358891494	191	MLPH;BHLHE40;ALDH3B1;FOS;MYOF;PRSS23;RHOD;CXCL12;ADD3;KLK10;RARA;LRIG1;TGM2;OLFML3;MED24;TFF1;TOB1;FARP1;PDLIM3;ARL3;DYNLT3;MINDY1;DHCR7;SLC2A1;SLC24A3;FOXC1;FKBP5;RAB31;PAPSS2;THSD4;MAST4;OPN3;RASGRP1;DEPTOR;CANT1;KLF4;TMEM164;CLIC3;GAB2;ADCY9;FHL2;SLC39A6;OVOL2;ELF1;AMFR;TTC39A;INPP5F;NAV2;PPIF	SIGMAR1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.437941473259334	0.536478304742684	0.0521630305460055	-0.384811257829083	-1.01853127801666	191	IFI30;CFB;EIF2AK2;VAMP8;STAT1;ISG20;CASP4;SLC25A28;PARP14;SOD2;EPSTI1;SPPL2A;PSMA3;SSPN;PSME2;NFKBIA;IL15RA;IFIT3;EIF4E3;LGALS3BP;PFKP;UPP1;IFNAR2;ARL4A;LATS2;IRF2;PSMB8;SOCS3;IFI35;HLA-DRB1;FAS;MX1;IL4R;C1S;APOL6;TNFAIP3;STAT2;IRF9;IFI44L;IRF7;HLA-DQA1;CDKN1A;TRIM14;OGFR;RSAD2;SAMD9L;RIPK1;VAMP5;CD86;STAT3;DHX58;PSMB10;ST8SIA4;RIPK2;CCL5;RTP4;ADAR;CSF2RB;DDX60;SRI;HLA-DMA;CCL2;LY6E;LYSMD2;CMTR1;FCGR1A;OASL;ZBP1;SOCS1;VCAM1;OAS3;IFIH1;XAF1	SIGMAR1
HALLMARK_PEROXISOME	0.508629441624366	0.593401015228426	0.0455878202571231	-0.389065835850469	-1.00552743727034	100	IDI1;DHCR24;ACSL1;ERCC1;ACAA1;TSPO;SOD2;ABCC5;SLC35B2;HSD17B11;ACSL5;SOD1;HSD11B2;CTBP1;TOP2A;CRAT;ERCC3;BCL10;SLC23A2;NUDT19;FIS1;FADS1;CDK7;PEX13;ALDH9A1;GSTK1;ALDH1A1;ATXN1;ECH1;ABCD3;SEMA3C;PEX11A;ACSL4;RETSAT;FDPS	SIGMAR1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.497849462365591	0.593401015228426	0.0491927521045191	-0.417146981608364	-1.00475383042189	42	PPARD;AXIN2;NUMB;CTNNB1;NOTCH4;DVL2;CSNK1E;NOTCH1;CCND2;JAG1;FZD1;TCF7;ADAM17;MAML1;HDAC5;JAG2	SIGMAR1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.590862944162437	0.673308936371149	0.0387166740042594	-0.375617395390006	-0.967357151543631	93	IFI30;EIF2AK2;IFITM1;NCOA7;ISG20;SLC25A28;PARP14;EPSTI1;PSMA3;PSME2;IFIT3;LGALS3BP;IRF2;PSMB8;IFI35;MX1;IL4R;UBA7;C1S;STAT2;IRF9;IFI44L;IRF7;HLA-C;TRIM14;OGFR;RSAD2;SAMD9L;ELF1;DHX58;RIPK2;TENT5A;RTP4;ADAR;DDX60;LY6E;CMTR1;MVB12A;OASL;CSF1;IFIH1;LAMP3;CNP;PROCR;TAP1;GBP4	SIGMAR1
HALLMARK_FATTY_ACID_METABOLISM	0.619335347432024	0.689714364185663	0.0361491929398957	-0.367399232828339	-0.964377993225271	145	IDI1;DHCR24;MDH2;APEX1;ACSL1;HSPH1;ACAA1;UROD;PDHA1;UGDH;ERP29;HSD17B11;PRDX6;PTPRG;D2HGDH;ACSL5;SDHA;MDH1;BCKDHB;ALDH3A2;IDH3B;CRYZ;G0S2;GRHPR;CRAT;NTHL1;HADHB;ECHS1;ACADM;NSDHL;GABARAPL1;PPARA;LTC4S;ACADS;ALAD;ADIPOR2;ACAT2;VNN1;ALDH9A1;AADAT;SUCLG2;ALDH1A1;ODC1;IDH3G;ECH1;MAOA;TP53INP2;ECI1;ACSL4;RETSAT;CA2;MGLL;ACO2;FH;AUH;EPHX1;ELOVL5;ACOT2;IL4I1;ACAA2	SIGMAR1
HALLMARK_PANCREAS_BETA_CELLS	0.822510822510823	0.895622895622896	0.0256927476530375	-0.335139093982313	-0.800493464186299	39	SPCS1;FOXO1;SRPRB;AKT3;SEC11A;PAK3;FOXA2;VDR;SCGN;SYT13;DPP4;PCSK1;GCG	SIGMAR1
HALLMARK_G2M_CHECKPOINT	0.849949647532729	0.905381146284864	0.019677649030838	-0.32616678169269	-0.862860204754457	179	MARCKS;SRSF1;NOTCH2;MCM3;TGFB1;TPX2;TFDP1;SLC12A2;KPNB1;PAFAH1B1;HNRNPU;DDX39A;EFNA5;BCL3;STMN1;STAG1;ILF3;HNRNPD;MCM5;ABL1;NUMA1;KIF5B;DR1;SRSF2;CUL3;BUB3;FOXN3;TOP2A;XPO1;CASP8AP2;AMD1;YTHDC1;ATF5;CDC25B;FANCC;SFPQ;HUS1;SLC7A1;CCNB2;DMD;SS18;CTCF;CDK4;ODC1;SRSF10;PURA;CDC45;CCNT1;JPT1;MTF2;RPA2;DBF4;SQLE	SIGMAR1
HALLMARK_SPERMATOGENESIS	0.974849094567404	1	0.00829069833204511	-0.262186317984863	-0.685460810819327	127	SLC12A2;TOPBP1;CFTR;MAST2;ZC3H14;PHKG2;ARL4A;CLPB;PSMG1;TSN;BRAF;JAM3;MAP7;STAM2;CCNB2;SHE;PCSK1N;ACE;DBF4;PEBP1;PIAS2;HSPA2;PHF7;AURKA;ACRBP;PCSK4;TALDO1;ADCYAP1;OAZ3;GFI1;ZC2HC1C;HSPA1L;GAD1;RAD17;TEKT2	SIGMAR1
HALLMARK_E2F_TARGETS	0.99496475327291	1	0.00523322083191526	-0.247489461176432	-0.654864725024696	181	PNN;SRSF1;MCM3;DNMT1;PA2G4;PRDX4;HELLS;DDX39A;STMN1;STAG1;ILF3;ORC2;HNRNPD;MCM5;TFRC;NME1;WEE1;SRSF2;BRMS1L;TOP2A;PRKDC;RPA1;XPO1;CDKN1A;CHEK2;DEK;CDC25B;NCAPD2;HUS1;NUP107;SLBP;PRPS1;SMC6;CCNB2;TK1;NOP56;UNG;RBBP7;CTCF;CDK4;RAD51C;PSMC3IP;TRIP13;DCTPP1;SMC3;JPT1;ASF1B;RPA2;DCLRE1B;NUDT21;POLA2;PPM1D;DONSON;LYAR;SPC25;SNRPB;DUT	SIGMAR1
HALLMARK_KRAS_SIGNALING_DN	1	1	0.143902565267782	0.235883997697276	0.578675827618561	192	KRT13;NR4A2;GTF3C5;CAMK1D;CALML5;KLK8;COPZ2;KRT4;STAG3;UPK3B;MFSD6;HNF1A;BMPR1B;SOX10;PAX4;ITIH3;SCGB1A1;BTG2;SGK1;RYR2;CPB1;ADRA2C;EDAR;EGF;CAPN9;RGS11;NTF3;SNN;IFNG;CD207;GDNF	SIGMAR1
HALLMARK_UV_RESPONSE_UP	NA	NA	NA	0.368352692422928	NA	143	SIGMAR1	SIGMAR1
