target_gene	orig.ident	n_spots	n_positive	n_high	min_expression_in_high	mean_expression_in_high	mean_expression_in_rest	used_for_gsea
KCND3	IU_PDA_T2	4118	72	20	0.693147180559945	0.75396694677617	0.00879542542438193	TRUE
KCND3	IU_PDA_T3	4354	162	20	1.09861228866811	1.17053280678105	0.0228039604862991	TRUE
KCND3	IU_PDA_T4	3621	32	20	0.693147180559945	0.693147180559945	0.00230984897715061	TRUE
KCND3	IU_PDA_T6	3397	140	20	0.693147180559945	0.996624885641141	0.0246306371534479	TRUE
KCND3	IU_PDA_T8	3779	65	20	0.693147180559945	0.835059968397803	0.00829785132354284	TRUE
KCND3	IU_PDA_T9	3526	342	35	1.09861228866811	1.13149023980546	0.0610717987797225	TRUE
KCNE4	IU_PDA_T1	3530	288	29	1.09861228866811	1.12614703681355	0.0530154516957007	TRUE
KCNE4	IU_PDA_T10	2714	114	20	0.693147180559945	0.895879734614027	0.0241855363669766	TRUE
KCNE4	IU_PDA_T11	2777	174	20	1.09861228866811	1.23662059878017	0.0388647555003046	TRUE
KCNE4	IU_PDA_T12	3642	994	100	1.09861228866811	1.23430048241229	0.189946219249791	TRUE
KCNE4	IU_PDA_T2	4118	194	20	0.693147180559945	0.895879734614027	0.0294308466123549	TRUE
KCNE4	IU_PDA_T3	4354	303	31	0.693147180559945	0.993575405285404	0.0436123139283611	TRUE
KCNE4	IU_PDA_T4	3621	97	20	0.693147180559945	0.733693691370762	0.0148215309367164	TRUE
KCNE4	IU_PDA_T6	3397	353	36	1.09861228866811	1.18472240744122	0.0664614228534591	TRUE
KCNE4	IU_PDA_T8	3779	107	20	0.693147180559945	1.07244988147988	0.0160425125588495	TRUE
KCNE4	IU_PDA_T9	3526	361	37	0.693147180559945	1.10923506131972	0.064367923904105	TRUE
KCNJ15	IU_PDA_T1	3530	45	20	0.693147180559945	0.794513457586986	0.00493694573048394	TRUE
KCNJ15	IU_PDA_T10	2714	28	0	NA	NA	0.00748872947220067	FALSE
KCNJ15	IU_PDA_T11	2777	55	20	0.693147180559945	0.75396694677617	0.00879947454464929	TRUE
KCNJ15	IU_PDA_T12	3642	798	80	1.09861228866811	1.29567373164779	0.151557565099744	TRUE
KCNJ15	IU_PDA_T2	4118	427	43	1.09861228866811	1.14544425395096	0.0660139320470616	TRUE
KCNJ15	IU_PDA_T3	4354	223	23	0.693147180559945	0.929710025873056	0.0320086437570975	TRUE
KCNJ15	IU_PDA_T4	3621	58	20	0.693147180559945	0.774240202181578	0.00731452176097693	TRUE
KCNJ15	IU_PDA_T6	3397	356	36	1.09861228866811	1.15275773272436	0.0673213965987421	TRUE
KCNJ15	IU_PDA_T8	3779	125	20	0.693147180559945	0.889990582831208	0.0193616530882666	TRUE
KCNJ15	IU_PDA_T9	3526	292	30	0.693147180559945	1.02710866946154	0.0519463848131309	TRUE
KCNJ16	IU_PDA_T1	3530	20	0	NA	NA	0.00404204213011532	FALSE
KCNJ16	IU_PDA_T10	2714	8	0	NA	NA	0.00204317518219586	FALSE
KCNJ16	IU_PDA_T11	2777	6	0	NA	NA	0.00149761724283748	FALSE
KCNJ16	IU_PDA_T12	3642	18	0	NA	NA	0.00342576860243795	FALSE
KCNJ16	IU_PDA_T2	4118	64	20	0.693147180559945	0.713420435965354	0.0074422830514001	TRUE
KCNJ16	IU_PDA_T3	4354	5	0	NA	NA	0.000795988953330208	FALSE
KCNJ16	IU_PDA_T4	3621	6	0	NA	NA	0.00114854545246056	FALSE
KCNJ16	IU_PDA_T6	3397	132	20	0.693147180559945	0.99135685985825	0.0229885946765513	TRUE
KCNJ16	IU_PDA_T8	3779	112	20	0.693147180559945	0.829170816614984	0.0169644960392431	TRUE
KCNJ16	IU_PDA_T9	3526	6	0	NA	NA	0.00117949038098686	FALSE
KCNJ8	IU_PDA_T1	3530	170	20	0.693147180559945	1.01751926704648	0.0296216743829036	TRUE
