gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNN4	10	10	0	0.994892557071899	1.02371076198873	0.00592153702414871	0.435522904444153
LCN2	10	8	2	0.173206796163738	0.0881746225987683	0.0323129112432441	0.513958086545659
PIGR	10	7	3	0.168588781592001	0.0640105087352959	0.0831311427008039	0.563775516315722
MUC1	10	7	3	0.165395259530108	0.0686707407223117	0.153576396549984	0.639760209321045
GPX2	10	8	2	0.157307082177514	0.0378045673032053	0.0144328239388418	0.435522904444153
OLFM4	10	7	3	0.156692740207143	0.0346095469540156	0.0323129112432441	0.513958086545659
C19orf33	10	8	2	0.15380016780373	0.112030705144054	0.0323129112432441	0.513958086545659
ELF3	10	6	4	0.146730748180777	0.00805271745058128	0.358951435852626	0.801438715296161
EPCAM	10	8	2	0.139860182648427	0.0687311137318978	0.0414910873877316	0.522805623801352
KRT8	10	8	2	0.135088198750656	0.0929557962247946	0.0831311427008039	0.563775516315722
SPINT2	10	6	4	0.135035526275708	0.0336961370447137	0.185143724157873	0.639760209321045
SPINK1	10	6	4	0.134561120263941	0.0149930874016767	0.414823067184775	0.801438715296161
ATP1B1	10	7	3	0.131378725710263	0.0620785852425286	0.0831311427008039	0.563775516315722
KRT18	10	8	2	0.130998426880039	0.110105443300073	0.0414910873877316	0.522805623801352
LYZ	10	7	3	0.128402179224795	0.0140064900071119	0.358951435852626	0.801438715296161
ID1	10	7	3	0.124613077120704	0.0612994422949036	0.0831311427008039	0.563775516315722
S100P	10	7	3	0.122995139213124	0.0254312193725618	0.22127181567247	0.690320734028443
IER3	10	9	1	0.122281016169206	0.0808308399551906	0.0527870006322246	0.559405962996023
TFF1	10	6	4	0.119874052069184	0.0167881472201019	0.308063229907199	0.77534119209603
WFDC2	10	7	3	0.116627146374348	0.0410082454101449	0.153576396549984	0.639760209321045
INF2	10	7	3	0.112464002519318	0.122622999354078	0.0323129112432441	0.513958086545659
FXYD3	10	7	3	0.111348532665722	0.0694922605116846	0.102917539402853	0.563775516315722
S100A6	10	5	5	0.110915246258845	0.0213608197899857	0.358951435852626	0.801438715296161
LGALS4	10	6	4	0.110400989421972	0.0244239464585682	0.358951435852626	0.801438715296161
PTTG1IP	10	8	2	0.110157268559648	0.094347070001621	0.0323129112432441	0.513958086545659
S100A11	10	7	3	0.109945028461588	0.0995148233804059	0.153576396549984	0.639760209321045
MUC6	10	4	6	0.108088710970489	-0.00216611260333294	0.838463781922464	1
NQO1	10	6	4	0.107722926757905	0.0266869808623503	0.308063229907199	0.77534119209603
CTSE	10	7	3	0.107139349900218	0.0216993681770036	0.185143724157873	0.639760209321045
TSPO	10	9	1	0.106880720864963	0.0664857151813871	0.0144328239388418	0.435522904444153
ABCC3	10	7	3	0.105038911156219	0.0618985454690339	0.102917539402853	0.563775516315722
SERINC2	10	7	3	0.10263449185441	0.0479274061817332	0.153576396549984	0.639760209321045
TACSTD2	10	8	2	0.102481417207431	0.0863695179033975	0.0665457213437161	0.559405962996023
TSPAN8	10	5	5	0.102182100457012	0.0083226930143863	0.308063229907199	0.77534119209603
MMP7	10	7	3	0.101789755523819	0.0932885755681758	0.0665457213437161	0.559405962996023
OCIAD2	10	7	3	0.101304601031536	0.0372408227152352	0.22127181567247	0.690320734028443
PPDPF	10	7	3	0.100646184407774	0.0482623797882016	0.153576396549984	0.639760209321045
CLDN4	10	8	2	0.100341333784917	0.0763757039550879	0.0527870006322246	0.559405962996023
PMEPA1	10	7	3	0.0999515127530598	0.048043806788304	0.126278928554698	0.5991146130562
GOLM1	10	7	3	0.099007842565153	0.0354515055860048	0.22127181567247	0.690320734028443
TM4SF1	10	8	2	0.0982281969825325	0.0734661316501228	0.0323129112432441	0.513958086545659
UBE2V1	10	8	2	0.0981642686598818	0.0767529396922756	0.0249324556028631	0.476904740941323
GPRC5A	10	7	3	0.0965363657146094	0.0654784398141846	0.126278928554698	0.5991146130562
CDH1	10	7	3	0.09315619018716	0.0749773740974775	0.126278928554698	0.5991146130562
TOB1	10	9	1	0.0925015231781532	0.0505009225087839	0.0249324556028631	0.476904740941323
KIAA1522	10	8	2	0.0924388169597601	0.0773903515272803	0.0323129112432441	0.513958086545659
ITGA3	10	8	2	0.0911299684727208	0.0791242535180094	0.0249324556028631	0.476904740941323
ST14	10	8	2	0.0892051235096677	0.0676690648157521	0.0527870006322246	0.559405962996023
TMC5	10	5	5	0.0886545859932848	-0.0102522576961239	0.683480902201426	0.943844307269161
ANXA2	10	8	2	0.0877080952194923	0.068503073677225	0.102917539402853	0.563775516315722
MAL2	10	8	2	0.0857309369193681	0.021492476008434	0.126278928554698	0.5991146130562
CYP3A5	10	7	3	0.0853694726009203	0.0325874129122182	0.262192602406773	0.745071428368784
ATP1A1	10	7	3	0.0849451580034112	0.0600272267552036	0.0831311427008039	0.563775516315722
SERPINA1	10	7	3	0.0845723812328295	0.0317477511469413	0.153576396549984	0.639760209321045
TMPRSS4	10	6	4	0.0830465396502826	0.0159354193653366	0.185143724157873	0.639760209321045
LAD1	10	6	4	0.0827651607885327	0.0320743848146087	0.22127181567247	0.690320734028443
TAGLN2	10	6	4	0.0822478721799921	0.0422193573601258	0.126278928554698	0.5991146130562
RNASET2	10	6	4	0.0810368063279252	0.019818165975852	0.185143724157873	0.639760209321045
SLC40A1	10	5	5	0.0809186236598754	0.0411631234404878	0.22127181567247	0.690320734028443
KRT7	10	7	3	0.0803395533987574	0.0286288812558978	0.22127181567247	0.690320734028443
CTNND1	10	7	3	0.0798699359400674	0.0820213942178112	0.0665457213437161	0.559405962996023
HMGA1	10	7	3	0.0794957122633613	0.0781433900400335	0.0323129112432441	0.513958086545659
S100A14	10	6	4	0.0785404253938997	0.0172295430014947	0.308063229907199	0.77534119209603
AZGP1	10	5	5	0.0784012527475871	-0.00361831904016247	0.683480902201426	0.943844307269161
CSTB	10	7	3	0.0774371654929906	0.0818076332311942	0.185143724157873	0.639760209321045
TFF3	10	6	4	0.0767287527056269	0.0381839914654395	0.153576396549984	0.639760209321045
IFI27	10	5	5	0.0755322382507467	0.0239491017193402	0.262192602406773	0.745071428368784
PGC	10	3	4	0.0753295914153073	0	0.799846105662473	1
SYT8	10	6	4	0.0751234252438756	0.0410235999217424	0.185143724157873	0.639760209321045
MLPH	10	7	3	0.074996486734135	0.0288214191937241	0.610298655976554	0.906590313775391
S100A10	10	7	3	0.0748306952507488	0.0488954842890395	0.185143724157873	0.639760209321045
SCNN1A	10	9	1	0.0742170628549912	0.0271370743682222	0.0414910873877316	0.522805623801352
ACTN4	10	5	5	0.0730374038702789	0.00848790991563089	0.540817904242618	0.885858208708872
EFNA1	10	5	5	0.0727539190843498	-0.0170960731911949	0.838463781922464	1
AKR1C2	10	5	5	0.0723453826182345	0.0102949871893556	0.540817904242618	0.885858208708872
ARF1	10	8	2	0.0723148752266742	0.0790744991158882	0.0323129112432441	0.513958086545659
PRSS22	10	7	3	0.0721499146734908	0.0456595848010818	0.126278928554698	0.5991146130562
C6orf132	10	5	5	0.0714549464587656	0.0212648683134191	0.308063229907199	0.77534119209603
TNIK	10	9	1	0.0698405065332827	0.0514312083613283	0.0108269212771313	0.435522904444153
SLC12A2	10	6	4	0.0697846652605886	0.0193902759697399	0.358951435852626	0.801438715296161
TCN1	10	5	5	0.0695718809236226	0.0178941530419488	0.414823067184775	0.801438715296161
IGFBP2	10	6	4	0.0694894474340142	0.00935725071862091	0.262192602406773	0.745071428368784
PTGES3	10	9	1	0.0683223736083619	0.0557564328611719	0.0108269212771313	0.435522904444153
PDZK1IP1	10	6	4	0.0682602629370114	0.0315945792133371	0.838463781922464	1
NCOA7	10	7	3	0.0679876668627503	0.0472549579104798	0.475532659596901	0.847532852165475
AGR2	10	6	4	0.0678811804387002	0.0198934957018423	0.262192602406773	0.745071428368784
SLPI	10	5	5	0.0678090157521215	0.0107947405444779	0.540817904242618	0.885858208708872
INAVA	10	5	5	0.0677345176573506	0.0403093800430361	0.308063229907199	0.77534119209603
SNRNP70	10	7	3	0.0674650663912699	0.0793670674905274	0.126278928554698	0.5991146130562
DMBT1	10	7	3	0.0673185439675789	0.0258105682509424	0.0414910873877316	0.522805623801352
CTSD	10	9	1	0.0671020420008593	0.0620909977983418	0.0249324556028631	0.476904740941323
FAM3D	10	4	5	0.0665929204443444	-0.00135880720913271	0.635586122278767	0.941676823171334
IVNS1ABP	10	9	1	0.0665633869753132	0.0361560557965651	0.0144328239388418	0.435522904444153
TFF2	10	4	5	0.0664205257631214	-0.00134481269000106	1	1
KLF5	10	5	5	0.0662013533597772	-0.000965381316247182	0.683480902201426	0.943844307269161
LLGL2	10	7	3	0.0661487044148777	0.0256382851443599	0.0831311427008039	0.563775516315722
ECH1	10	8	2	0.0658566160627562	0.0540730661793504	0.153576396549984	0.639760209321045
STX1A	10	9	1	0.0656893852513134	0.0599895623404289	0.0249324556028631	0.476904740941323
TMEM63A	10	7	3	0.0651504588291984	0.043580820755237	0.102917539402853	0.563775516315722
PROM1	10	6	4	0.0647489235906317	0.0226822241650835	0.308063229907199	0.77534119209603
PRKAA1	10	6	4	0.064583963447563	0.0340516212625813	0.153576396549984	0.639760209321045
EPPK1	10	7	3	0.0643418477640567	0.0332004676163251	0.153576396549984	0.639760209321045
AQP5	10	8	2	0.06423375952128	0.0319139950950886	0.0665457213437161	0.559405962996023
MIDN	10	8	2	0.0639565782539711	0.0384820280643875	0.0665457213437161	0.559405962996023
PBLD	10	8	2	0.063877042540963	0.0246218654466405	0.0414910873877316	0.522805623801352
CGN	10	8	2	0.0637619809066963	0.0199076733675136	0.185143724157873	0.639760209321045
EIF6	10	7	3	0.0635686962380821	0.0586695219986012	0.126278928554698	0.5991146130562
LAMC2	10	7	3	0.0634625865457645	0.0422654553803991	0.153576396549984	0.639760209321045
PRELID3B	10	6	4	0.0634079888442745	0.0368574079753487	0.153576396549984	0.639760209321045
PRRC2C	10	5	5	0.063160103551051	0.0263131367363632	0.22127181567247	0.690320734028443
ABHD2	10	8	2	0.0627481552969561	0.0112301676367188	0.126278928554698	0.5991146130562
SERF2	10	7	3	0.0626649177460984	0.0395862023581576	0.0831311427008039	0.563775516315722
ZC3H12A	10	6	4	0.0620773239345059	0.027355541487145	0.358951435852626	0.801438715296161
FOXP1	10	7	3	0.06168193289757	0.0813372009472221	0.0831311427008039	0.563775516315722
TNFRSF21	10	6	4	0.0614024740129667	0.00971347657464605	0.610298655976554	0.906590313775391
PABPC1	10	8	2	0.0613626229474875	0.0751900734094298	0.0414910873877316	0.522805623801352
SMAD3	10	5	5	0.0612762075819975	0.0440682972139979	0.22127181567247	0.690320734028443
HSP90AA1	10	6	4	0.0612374906640619	0.0425720383247342	0.185143724157873	0.639760209321045
ASPH	10	6	4	0.0607760039755389	0.0129076987383194	0.308063229907199	0.77534119209603
SELENBP1	10	7	3	0.0606099925003735	0.0399822205157078	0.102917539402853	0.563775516315722
PTPRF	10	4	6	0.0602286549161505	-0.00851362578002725	0.683480902201426	0.943844307269161
SLC44A4	10	7	3	0.0600881923910045	0.0169068438719729	0.475532659596901	0.847532852165475
CUL4A	10	6	4	0.0600005504468829	0.0475404754571543	0.153576396549984	0.639760209321045
CP	10	7	3	0.0599739301594982	0.0277449514500511	0.102917539402853	0.563775516315722
MOGAT1	10	5	2	0.0599546036619119	0.00438280615026379	0.108319380730004	0.591699688369704
CXCL17	10	6	4	0.0597234328382842	0.00803711740982445	0.838463781922464	1
DUOX2	10	8	2	0.0593826793927419	0.0203533583901184	0.0831311427008039	0.563775516315722
SEL1L3	10	5	5	0.0591188511744679	-0.0122370829666252	0.683480902201426	0.943844307269161
SOX4	10	8	2	0.0590029306513703	0.0416127253562449	0.0249324556028631	0.476904740941323
TPD52	10	7	3	0.0589608394718591	0.0189910919915183	0.126278928554698	0.5991146130562
CAMK2N1	10	8	2	0.0588752718677292	0.0126506668611127	0.126278928554698	0.5991146130562
ECE1	10	7	3	0.0586868049280308	0.0498057556585139	0.0323129112432441	0.513958086545659
ERV3-1	10	8	2	0.0583932398984597	0.0356574872415779	0.102917539402853	0.563775516315722
AGRN	10	6	4	0.0579565348447121	0.0415599150943166	0.262192602406773	0.745071428368784
ERBB3	10	6	4	0.0577806263589426	0.0217429835228593	1	1
AURKAIP1	10	8	2	0.057694416033517	0.0548287779764697	0.0190588916017305	0.476904740941323
VPS36	10	8	2	0.057693469972255	0.0120218636621999	0.0831311427008039	0.563775516315722
PRSS8	10	7	3	0.057422378679336	0.00735606469783031	0.414823067184775	0.801438715296161
CD44	10	8	2	0.0572836300347635	0.0421223139221967	0.0144328239388418	0.435522904444153
FLII	10	8	2	0.0572070949952914	0.0622892232074739	0.0144328239388418	0.435522904444153
TESC	10	4	6	0.0570719297662465	-0.00303494169735252	0.683480902201426	0.943844307269161
TOX3	10	8	2	0.0570653243960754	0.0255551850421198	0.0144328239388418	0.435522904444153
HID1	10	8	2	0.0555477908217004	0.0351111459333873	0.126278928554698	0.5991146130562
VEZT	10	7	3	0.0554592051535088	0.0501167277865019	0.126278928554698	0.5991146130562
MUC5B	10	6	4	0.0553978971369981	0.00370276321189219	0.475532659596901	0.847532852165475
MARCKSL1	10	5	5	0.0553575282674543	0.00510201692692668	1	1
PRKDC	10	7	3	0.0552698643322279	0.0436919283060814	0.102917539402853	0.563775516315722
HDGF	10	5	5	0.0552047361493334	0.0115966270658877	0.540817904242618	0.885858208708872
CD164	10	6	4	0.0550207851063169	0.0518873486794297	0.308063229907199	0.77534119209603
ITGB8	10	8	2	0.0550017413310591	0.0341106508107635	0.0414910873877316	0.522805623801352
LAMB3	10	4	6	0.0549560109502839	-0.0240464377519628	0.683480902201426	0.943844307269161
GUK1	10	8	2	0.0546208623797516	0.0629829506418075	0.102917539402853	0.563775516315722
ZNF117	10	6	4	0.0545338263511138	0.0274406489321318	0.185143724157873	0.639760209321045
TSPAN1	10	6	4	0.0544516357874978	0.00962199704499998	0.475532659596901	0.847532852165475
TMEM238	10	9	1	0.0544371230163922	0.0341119839689424	0.0414910873877316	0.522805623801352
SEMA4B	10	6	4	0.0541677658542395	0.0247752706207677	0.358951435852626	0.801438715296161
CTTN	10	6	4	0.0541424268782511	0.0439009304027405	0.126278928554698	0.5991146130562
SQSTM1	10	7	3	0.0540455770041408	0.0576812006306292	0.185143724157873	0.639760209321045
VSIG2	10	6	4	0.0540267181728599	0.0200227535922207	0.22127181567247	0.690320734028443
CA2	10	7	3	0.0539720057786975	0.0132021739103979	0.475532659596901	0.847532852165475
LAMA3	10	7	3	0.0537055634565741	0.0538967277771626	0.22127181567247	0.690320734028443
OSBPL7	10	7	3	0.0536887321314496	0.0359370918180504	0.185143724157873	0.639760209321045
FOXA3	10	6	4	0.0533976832030242	0.0359283827624761	0.126278928554698	0.5991146130562
PFKFB3	10	7	3	0.0533381403200557	0.0320427068040177	0.308063229907199	0.77534119209603
CHMP4C	10	8	2	0.052787714527142	0.0500868249336619	0.126278928554698	0.5991146130562
STK39	10	7	3	0.0527554234124174	0.0425581296403753	0.22127181567247	0.690320734028443
SEC16B	10	8	2	0.0525169183202682	0.0408330578870063	0.0190588916017305	0.476904740941323
RACK1	10	6	4	0.0524121562117032	0.0441350463881424	0.22127181567247	0.690320734028443
TMED2	10	6	4	0.0523919061032671	0.033744328722015	0.358951435852626	0.801438715296161
MAGI1	10	8	2	0.0521828504936764	0.0487259979759092	0.0249324556028631	0.476904740941323
CYSTM1	10	7	3	0.0519126074489074	0.0435064986376177	0.153576396549984	0.639760209321045
PRR15L	10	6	4	0.0518953407816232	0.00490372230092906	0.610298655976554	0.906590313775391
ONECUT2	10	8	2	0.0516454186272254	0.0164993927115853	0.102917539402853	0.563775516315722
LSR	10	4	6	0.0515901357256753	-0.0251846668977545	1	1
PFKP	10	5	5	0.0515697750791991	0.003270440396305	0.475532659596901	0.847532852165475
SAT1	10	5	5	0.0515047198048246	0.0186381848206364	0.358951435852626	0.801438715296161
LAMP1	10	9	1	0.0514958156620307	0.0440965490487795	0.0249324556028631	0.476904740941323
SREBF2	10	7	3	0.0514596781719702	0.0151249174464227	0.22127181567247	0.690320734028443
UGT2A3	10	4	4	0.0514358235799312	0	0.293621543928906	0.77534119209603
STK38L	10	7	3	0.0512001603822638	0.0458352663689575	0.0527870006322246	0.559405962996023
ITGB4	10	6	4	0.0511950169623982	0.0275562311611213	0.358951435852626	0.801438715296161
LGALS3BP	10	5	5	0.0511748957558032	0.0112065569323459	0.540817904242618	0.885858208708872
MAP7	10	6	4	0.0509551495631481	0.0286440892475338	0.153576396549984	0.639760209321045
ANXA4	10	8	2	0.050853017779688	0.0287451328205309	0.22127181567247	0.690320734028443
GPRC5B	10	6	4	0.0507938785453174	0.0303799159444351	0.0831311427008039	0.563775516315722
SMIM24	10	6	4	0.0507912391557611	0.00413149757914653	0.22127181567247	0.690320734028443
KLK7	10	7	3	0.0507076731338829	0.021412425346621	0.0665457213437161	0.559405962996023
EPS8L2	10	7	3	0.050694310966998	0.0122093443505187	0.308063229907199	0.77534119209603
RAP1GAP	10	8	2	0.0505890840527415	0.0188187735035052	0.262192602406773	0.745071428368784
GALNT4	10	7	3	0.0505023475528873	0.0285160619665139	0.0323129112432441	0.513958086545659
GSTP1	10	6	4	0.0502693450892367	0.00779883816553795	0.683480902201426	0.943844307269161
ERBB2	10	7	3	0.0502650721996811	0.0196751203461162	0.475532659596901	0.847532852165475
A4GNT	10	3	3	0.0502501499741042	0	0.833935414088552	1
ANXA3	10	5	5	0.0501287091683068	0.0132723425264545	0.683480902201426	0.943844307269161
CAPN2	10	8	2	0.0501010562339376	0.0513197676636079	0.0831311427008039	0.563775516315722
SLC17A9	10	7	3	0.050017778528759	0.0250919259096854	0.308063229907199	0.77534119209603
ZKSCAN1	10	6	4	0.0498876555590519	0.019099109850189	0.475532659596901	0.847532852165475
C4orf19	10	7	3	0.0498755537496533	0.0397443233741014	0.22127181567247	0.690320734028443
DSP	10	7	3	0.0496964484649643	0.0343249811229762	0.0527870006322246	0.559405962996023
TSTA3	10	6	4	0.0495306109994428	0.0126593692981268	0.683480902201426	0.943844307269161
KMT2E	10	7	3	0.049509565602275	0.0574673984869822	0.185143724157873	0.639760209321045
ERH	10	9	1	0.049453406232702	0.042163486070291	0.0527870006322246	0.559405962996023
TGOLN2	10	7	3	0.0493806758001265	0.0334072711634818	0.153576396549984	0.639760209321045
WDR45B	10	7	3	0.0492294405049778	0.0280075605017451	0.185143724157873	0.639760209321045
CREB3L1	10	6	4	0.0492114437920702	0.0305579327058928	0.262192602406773	0.745071428368784
CAPN5	10	7	3	0.0492027429647829	0.0338812974050965	0.22127181567247	0.690320734028443
CEP170B	10	6	4	0.0491850974912418	0.0284190241995163	0.358951435852626	0.801438715296161
PCDH1	10	7	3	0.0491372889203212	0.0264076516830886	0.610298655976554	0.906590313775391
CASK	10	5	5	0.0489636544708057	0.0196764115444192	0.262192602406773	0.745071428368784
ADGRG1	10	7	3	0.0489133803547174	0.0201979262022153	0.414823067184775	0.801438715296161
GALNT12	10	7	3	0.048697667574495	0.048207269318349	0.0665457213437161	0.559405962996023
QSOX1	10	7	3	0.0485842052329152	0.0175244950674226	0.358951435852626	0.801438715296161
CFTR	10	5	5	0.0484710048399272	0.0048103509112801	0.918812683274642	1
JUP	10	5	5	0.0478813261175321	-0.000415628734615169	0.759765825978067	0.972318037896177
LONP2	10	8	2	0.0478499628750875	0.0473701674215533	0.0831311427008039	0.563775516315722
CPD	10	6	4	0.0477869948193461	0.00440353137502542	0.308063229907199	0.77534119209603
SOX9	10	6	4	0.0476248112453678	0.0173733011605283	0.759765825978067	0.972318037896177
TMC4	10	6	4	0.0475643039772861	0.02308031704148	0.185143724157873	0.639760209321045
OXR1	10	6	4	0.0474617755887068	0.0108353250034795	0.22127181567247	0.690320734028443
TFG	10	7	3	0.0473255398463913	0.0660919109408621	0.102917539402853	0.563775516315722
DUOXA2	10	7	3	0.0471950568155137	0.0183327231229717	0.0665457213437161	0.559405962996023
CBFB	10	8	2	0.0470656279593494	0.0467263153699839	0.185143724157873	0.639760209321045
SLC26A9	10	6	4	0.0470460868790533	0.0130483907140885	0.126278928554698	0.5991146130562
ATP9A	10	5	5	0.0469860662406308	0.0161037236959806	0.475532659596901	0.847532852165475
SLC41A2	10	8	2	0.0469286127063417	0.0406984057014601	0.0249324556028631	0.476904740941323
MMP15	10	7	3	0.0466966050048248	0.0388772689599652	0.126278928554698	0.5991146130562
ZCCHC3	10	6	4	0.0466363282968775	0.0533846713817942	0.102917539402853	0.563775516315722
CDCA7	10	7	3	0.0464687558047067	0.0179882474220444	0.262192602406773	0.745071428368784
USB1	10	8	2	0.0463848130860387	0.0346993160479656	0.0665457213437161	0.559405962996023
PATJ	10	6	4	0.0463445329953731	0.0228373699537412	0.308063229907199	0.77534119209603
EPS8L1	10	8	2	0.0462295468553472	0.0288170880150456	0.102917539402853	0.563775516315722
WEE1	10	7	3	0.0461968743272686	0.0753610561582482	0.153576396549984	0.639760209321045
EIF4A2	10	6	4	0.0460053263822085	0.0342375280591534	0.22127181567247	0.690320734028443
MED29	10	7	3	0.0459241376737233	0.00943430087963079	0.22127181567247	0.690320734028443
PSMC4	10	6	4	0.045737525440373	0.0140115332434344	0.414823067184775	0.801438715296161
SERPINA5	10	4	6	0.0457209790918592	-0.00840054892551951	0.838463781922464	1
ITGB6	10	6	4	0.0457144559767829	0.0272308659980319	0.262192602406773	0.745071428368784
SRC	10	4	6	0.0456422285270044	-0.0128875231204044	0.918812683274642	1
CANT1	10	6	4	0.0454531912449771	0.0303407156676246	0.414823067184775	0.801438715296161
PSMD8	10	7	3	0.0451861232989244	0.0367038860380841	0.22127181567247	0.690320734028443
MFSD10	10	7	3	0.0451709626451413	0.0317031694438505	0.358951435852626	0.801438715296161
MUC5AC	10	6	4	0.0451424733609412	0.0194872182272154	0.153576396549984	0.639760209321045
APOL1	10	8	2	0.0449687944114836	0.0466230384033179	0.0414910873877316	0.522805623801352
ARHGAP12	10	6	4	0.0449155480840447	0.0427311783536622	0.22127181567247	0.690320734028443
ANXA10	10	3	7	0.0448128776065674	-0.00282971359575151	0.475532659596901	0.847532852165475
HEBP2	10	7	3	0.0448067954353042	0.0156749909439566	0.126278928554698	0.5991146130562
TRIM2	10	7	3	0.044723308101659	0.0130730043036868	0.358951435852626	0.801438715296161
PTPA	10	7	3	0.0445281711365329	0.0141490827114273	0.358951435852626	0.801438715296161
PSCA	10	3	7	0.0444927329357955	-0.021361222101361	0.610298655976554	0.906590313775391
ARGLU1	10	7	3	0.0443793498288473	0.054492519837452	0.308063229907199	0.77534119209603
MDK	10	5	5	0.0443479057148605	0.0127396738611144	0.414823067184775	0.801438715296161
GATAD2A	10	8	2	0.0443001080736386	0.0511432795163996	0.0414910873877316	0.522805623801352
CD24	10	9	1	0.0440489715739379	0.0122790132765344	0.00804523748656169	0.435522904444153
SLC22A18	10	8	2	0.0439371176155068	0.0205431105820459	0.0665457213437161	0.559405962996023
KCNE3	10	4	6	0.043872474877341	-0.00411592323559726	0.759765825978067	0.972318037896177
HNRNPA2B1	10	7	3	0.0438609190986304	0.0283611015586318	0.0665457213437161	0.559405962996023
CD151	10	6	4	0.043851989976202	0.0100231803836685	0.414823067184775	0.801438715296161
CEACAM5	10	5	5	0.0435772988140416	0.00808261228002874	0.540817904242618	0.885858208708872
MYRF	10	5	5	0.0435480045132335	-0.00345817021352056	0.838463781922464	1
WDR72	10	6	4	0.0434926842145516	0.0177920657928643	0.0831311427008039	0.563775516315722
ERP44	10	7	3	0.0434556247235602	0.0342059075630242	0.185143724157873	0.639760209321045
C1orf116	10	8	2	0.0434374144361307	0.0192388133856843	0.153576396549984	0.639760209321045
PRKAB1	10	5	5	0.0434250062068074	0.00197762969233579	0.475532659596901	0.847532852165475
SLCO2A1	10	6	4	0.0433324764472858	0.00515665341928251	0.838463781922464	1
TMPRSS3	10	6	4	0.0432765318435753	0.0193622404652553	0.475532659596901	0.847532852165475
FARP1	10	9	1	0.04327231728282	0.0220865145723138	0.0249324556028631	0.476904740941323
HSPA1A	10	7	3	0.0432720434036714	0.0208611190868695	0.126278928554698	0.5991146130562
FAM3B	10	5	5	0.0432268975029383	0.00546449222923827	0.540817904242618	0.885858208708872
AK4	10	7	3	0.0431160647318088	0.0210130146483827	0.0414910873877316	0.522805623801352
TTYH3	10	7	3	0.0430278093284427	0.0204940436023637	0.308063229907199	0.77534119209603
COPZ1	10	6	4	0.0429556363529431	0.0190148822593462	0.262192602406773	0.745071428368784
POF1B	10	8	2	0.0429453227688476	0.0187622357462964	0.102917539402853	0.563775516315722
SUPT5H	10	5	5	0.0427689940767324	0.00773679359005843	0.918812683274642	1
ARID4B	10	8	2	0.0427591576983441	0.0222667546019598	0.0527870006322246	0.559405962996023
MMP11	10	7	3	0.0427366113014857	0.0341953656645167	0.126278928554698	0.5991146130562
MIA	10	6	4	0.0426489521852888	0.0296595183116821	0.0831311427008039	0.563775516315722
PYGB	10	4	6	0.0424335228348514	-0.0180621749324209	0.838463781922464	1
RAC1	10	7	3	0.0423885756172398	0.0590147331622558	0.185143724157873	0.639760209321045
TUFT1	10	5	5	0.0422568495571724	0.0166953021075711	0.358951435852626	0.801438715296161
PHACTR2	10	7	3	0.0420979569671775	0.0171870282563394	0.0831311427008039	0.563775516315722
GABRE	10	6	4	0.0420708089294988	0.0219466860365798	0.102917539402853	0.563775516315722
RIOK3	10	6	4	0.0420343837173968	0.0203764508249711	0.185143724157873	0.639760209321045
UBE3B	10	7	3	0.0419554804946751	0.0314403867434612	0.102917539402853	0.563775516315722
HIPK2	10	7	3	0.0419461615106079	0.0248752110108989	0.153576396549984	0.639760209321045
DHRS3	10	4	6	0.0419086853265564	-0.00688022532159097	0.759765825978067	0.972318037896177
FAM83G	10	8	2	0.0418667122952671	0.0123994165267814	0.0665457213437161	0.559405962996023
PDIA5	10	7	3	0.041842353327867	0.0290942599483372	0.22127181567247	0.690320734028443
KLK11	10	5	5	0.0417783210881522	0.00429497066789212	0.610298655976554	0.906590313775391
CLDN18	10	4	5	0.0416751362199168	-0.000692949195075638	0.722282962716192	0.972318037896177
ARHGEF28	10	9	1	0.0415955446728405	0.0303634418218036	0.0190588916017305	0.476904740941323
PTPN12	10	7	3	0.0415434047347917	0.0664219136381718	0.153576396549984	0.639760209321045
ENO1	10	6	4	0.0415395988693387	0.0366954810316498	0.262192602406773	0.745071428368784
LY6E	10	7	3	0.0414357781798918	0.0312557991294763	0.262192602406773	0.745071428368784
TMEM62	10	6	4	0.0413524100516187	0.0205564628968381	0.153576396549984	0.639760209321045
SPINT1	10	6	4	0.0412379955336325	0.0230679305219194	0.540817904242618	0.885858208708872
GABRP	10	8	2	0.0411517978090099	0.0210705868319405	0.153576396549984	0.639760209321045
VAMP8	10	5	5	0.0410803439809253	0.0130218150079584	0.262192602406773	0.745071428368784
SLC4A2	10	5	5	0.0410469257102979	0.0192520891591529	0.540817904242618	0.885858208708872
CLIC3	10	7	3	0.0410231938375714	0.0350352346038052	0.102917539402853	0.563775516315722
SH3BGRL2	10	6	4	0.0410083606641016	0.0136753334107811	0.414823067184775	0.801438715296161
NME2	10	6	4	0.0409350978793103	0.0185774898434824	0.22127181567247	0.690320734028443
KRT16	10	5	5	0.0408567181361993	0.0215921681590306	0.308063229907199	0.77534119209603
AHNAK2	10	9	1	0.0407648317969391	0.0348543460212597	0.0527870006322246	0.559405962996023
FZD5	10	7	3	0.0407318471750455	0.0427075717619315	0.0831311427008039	0.563775516315722
TES	10	5	5	0.0407277164213322	0.0111641759607013	0.414823067184775	0.801438715296161
CCDC50	10	8	2	0.0407230551693584	0.0393105689390712	0.0831311427008039	0.563775516315722
