gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
NOTO	10	0	2	-0.000267227260434117	0	0.371093369522698	0.801438715296161
PRR32	10	0	2	-0.000267265691640053	0	0.371093369522698	0.801438715296161
PCDH11Y	10	0	2	-0.000267777331870758	0	0.371093369522698	0.801438715296161
KRTAP20-3	10	0	2	-0.000267866840797098	0	0.371093369522698	0.801438715296161
GUCA2B	10	0	1	-0.000268661697891452	0	1	1
OR6B1	10	0	1	-0.000268661697891452	0	1	1
PRKCQ	10	4	6	-0.00026870665562562	-0.00364771302093547	0.838463781922464	1
ANKIB1	10	4	6	-0.000268986071778587	-0.0109989475950355	0.838463781922464	1
KRIT1	10	6	4	-0.000269059586019395	0.0118549513261284	1	1
ANKRD60	10	0	2	-0.000269474182864914	0	0.371093369522698	0.801438715296161
MAGEB1	10	0	2	-0.000269474182864914	0	0.371093369522698	0.801438715296161
LGALS12	10	1	8	-0.000270359346417198	-0.00172717666838731	0.123534253752569	0.5991146130562
CACNG3	10	0	2	-0.000270599162058938	0	0.371093369522698	0.801438715296161
IFNA7	10	0	2	-0.000270599162058938	0	0.371093369522698	0.801438715296161
GPRC6A	10	0	2	-0.000270599162058938	0	0.371093369522698	0.801438715296161
FERD3L	10	0	2	-0.000270599162058938	0	0.371093369522698	0.801438715296161
RSPH10B	10	0	2	-0.000270962031965889	0	0.371093369522698	0.801438715296161
KY	10	1	7	-0.000271486395817874	-0.00104521867615992	0.183430618982178	0.639760209321045
KRTAP12-4	10	0	3	-0.000271791746445636	0	0.18144920772142	0.639760209321045
MYMK	10	0	1	-0.000272051038066701	0	1	1
OR5M8	10	0	2	-0.000273063452049744	0	0.371093369522698	0.801438715296161
EML5	10	2	8	-0.000273263416541823	-0.00274334627752263	0.414823067184775	0.801438715296161
TRAV7	10	0	2	-0.000273327808173632	0	0.371093369522698	0.801438715296161
RSPO4	10	0	2	-0.000273470324265087	0	0.371093369522698	0.801438715296161
SERPINA11	10	0	2	-0.000274194531424435	0	0.371093369522698	0.801438715296161
LCE1C	10	0	2	-0.000274225697551926	0	0.371093369522698	0.801438715296161
FBXW10	10	1	4	-0.000274846365643922	0	0.589638551626567	0.906590313775391
RNF220	10	3	7	-0.000274881239068633	-0.00168350627272607	0.683480902201426	0.943844307269161
TAAR8	10	0	2	-0.000275094912245428	0	0.371093369522698	0.801438715296161
KRTAP20-2	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
RNASE12	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
OR6M1	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
RNASE11	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
AL162596.1	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
OR10A4	10	0	2	-0.000275119911783073	0	0.371093369522698	0.801438715296161
IDNK	10	5	5	-0.000276598543705729	-0.00130347732744199	1	1
OR52I2	10	0	1	-0.00027705737595056	0	1	1
RNF151	10	1	9	-0.000277671128915512	-0.00121264236457602	0.0831311427008039	0.563775516315722
HHEX	10	4	6	-0.000278353562481937	-0.00704347772519841	0.262192602406773	0.745071428368784
CCDC166	10	0	2	-0.000278804447212698	0	0.371093369522698	0.801438715296161
CPNE6	10	0	2	-0.000278845804412855	0	0.371093369522698	0.801438715296161
C2orf78	10	0	2	-0.000278845804412855	0	0.371093369522698	0.801438715296161
KRTAP3-1	10	0	2	-0.000279161503702346	0	0.371093369522698	0.801438715296161
DPPA4	10	0	2	-0.000279161503702346	0	0.371093369522698	0.801438715296161
CXorf66	10	0	2	-0.000279640661507208	0	0.371093369522698	0.801438715296161
SLC2A7	10	0	2	-0.000279640661507208	0	0.371093369522698	0.801438715296161
PROS1	10	4	6	-0.000279682684185831	-0.00542699968431773	0.683480902201426	0.943844307269161
CFHR3	10	1	8	-0.00027979133993012	-0.0018641138882841	0.123534253752569	0.5991146130562
OR2G6	10	0	2	-0.000279828141047805	0	0.371093369522698	0.801438715296161
Z82206.1	10	2	8	-0.00028005127125369	-0.00370427074634248	0.308063229907199	0.77534119209603
IL17F	10	0	2	-0.000280119889104191	0	0.371093369522698	0.801438715296161
OOSP3	10	1	5	-0.000280615153734704	-0.000427235688214956	0.401678166469773	0.801438715296161
IGLL1	10	0	3	-0.000280699309020839	0	0.18144920772142	0.639760209321045
TMEM82	10	0	1	-0.000280750699325804	0	1	1
GABRG1	10	0	2	-0.000281379411401106	0	0.371093369522698	0.801438715296161
