orig.ident	Origin
IU_PDA_NP10	Normal Pancreas
IU_PDA_NP11	Normal Pancreas
IU_PDA_NP2	Normal Pancreas
IU_PDA_T1	Pancreas
IU_PDA_T10	Pancreas
IU_PDA_T11	Pancreas
IU_PDA_T12	Pancreas
IU_PDA_T2	Pancreas
IU_PDA_T3	Pancreas
IU_PDA_T4	Pancreas
IU_PDA_T6	Pancreas
IU_PDA_T8	Pancreas
IU_PDA_T9	Pancreas
