gene	orig.ident	Origin	n_spots	n_detected	pct_detected	mean_expression	median_expression	q99_expression
KCNMA1	IU_PDA_T6	Pancreas	3397	347	10.21	0.119811598469238	0	2
KCNMA1	IU_PDA_T8	Pancreas	3779	252	6.67	0.0719767134162477	0	1
KCNMA1	IU_PDA_T9	Pancreas	3526	968	27.45	0.355643788996029	0	3
KCNMB1	IU_PDA_NP10	Normal Pancreas	2966	10	0.34	0.00337154416722859	0	0
KCNMB1	IU_PDA_NP11	Normal Pancreas	3859	50	1.3	0.013215859030837	0	1
KCNMB1	IU_PDA_NP2	Normal Pancreas	2995	32	1.07	0.011686143572621	0	1
KCNMB1	IU_PDA_T1	Pancreas	3530	118	3.34	0.0359773371104816	0	1
KCNMB1	IU_PDA_T10	Pancreas	2714	46	1.69	0.0173176123802506	0	1
KCNMB1	IU_PDA_T11	Pancreas	2777	511	18.4	0.246308966510623	0	3
KCNMB1	IU_PDA_T12	Pancreas	3642	798	21.91	0.257001647446458	0	2
KCNMB1	IU_PDA_T2	Pancreas	4118	77	1.87	0.0186983972802331	0	1
KCNMB1	IU_PDA_T3	Pancreas	4354	295	6.78	0.0725769407441433	0	1
KCNMB1	IU_PDA_T4	Pancreas	3621	147	4.06	0.0444628555647611	0	1
KCNMB1	IU_PDA_T6	Pancreas	3397	166	4.89	0.0532823079187518	0	1
KCNMB1	IU_PDA_T8	Pancreas	3779	108	2.86	0.0304313310399577	0	1
KCNMB1	IU_PDA_T9	Pancreas	3526	323	9.16	0.102382302892796	0	1
KCNMB4	IU_PDA_NP10	Normal Pancreas	2966	26	0.88	0.00876601483479434	0	0
KCNMB4	IU_PDA_NP11	Normal Pancreas	3859	117	3.03	0.0308370044052863	0	1
KCNMB4	IU_PDA_NP2	Normal Pancreas	2995	34	1.14	0.0113522537562604	0	1
KCNMB4	IU_PDA_T1	Pancreas	3530	125	3.54	0.0376770538243626	0	1
KCNMB4	IU_PDA_T10	Pancreas	2714	28	1.03	0.0106853352984525	0	0.869999999999891
KCNMB4	IU_PDA_T11	Pancreas	2777	191	6.88	0.0723802664746129	0	1
KCNMB4	IU_PDA_T12	Pancreas	3642	599	16.45	0.188358045030203	0	2
KCNMB4	IU_PDA_T2	Pancreas	4118	196	4.76	0.0500242836328315	0	1
KCNMB4	IU_PDA_T3	Pancreas	4354	430	9.88	0.108635737253101	0	1
KCNMB4	IU_PDA_T4	Pancreas	3621	256	7.07	0.0767743717205192	0	1
KCNMB4	IU_PDA_T6	Pancreas	3397	148	4.36	0.0459228731233441	0	1
KCNMB4	IU_PDA_T8	Pancreas	3779	65	1.72	0.0174649378142366	0	1
KCNMB4	IU_PDA_T9	Pancreas	3526	169	4.79	0.0499149177538287	0	1
KCNN3	IU_PDA_NP10	Normal Pancreas	2966	53	1.79	0.0185434929197572	0	1
KCNN3	IU_PDA_NP11	Normal Pancreas	3859	72	1.87	0.0186576833376522	0	1
KCNN3	IU_PDA_NP2	Normal Pancreas	2995	38	1.27	0.0126878130217028	0	1
KCNN3	IU_PDA_T1	Pancreas	3530	38	1.08	0.0107648725212465	0	1
KCNN3	IU_PDA_T10	Pancreas	2714	52	1.92	0.0206337509211496	0	1
KCNN3	IU_PDA_T11	Pancreas	2777	84	3.02	0.03024846957148	0	1
KCNN3	IU_PDA_T12	Pancreas	3642	266	7.3	0.0796265788028556	0	1
KCNN3	IU_PDA_T2	Pancreas	4118	53	1.29	0.0131131617289947	0	1
KCNN3	IU_PDA_T3	Pancreas	4354	90	2.07	0.0213596692696371	0	1
KCNN3	IU_PDA_T4	Pancreas	3621	32	0.88	0.00966583816625242	0	0
KCNN3	IU_PDA_T6	Pancreas	3397	113	3.33	0.0338534000588755	0	1
