orig.ident	contrast	contrast_labels	gene	n_inside	n_outside	n_inside_positive	n_outside_positive	pct_inside_positive	pct_outside_positive	delta_pct_positive	mean_expression_inside	mean_expression_outside	mean_positive_expression_inside	mean_positive_expression_outside	log2fc_mean_expression	auc	wilcoxon_p	wilcoxon_fdr
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNK1	2969	561	118	54	3.97440215560795	9.62566844919786	-5.65126629358991	0.0410912765240822	0.115864527629234	1.03389830508475	1.2037037037037	-0.100065325452258	0.471487305844289	8.80607109916089e-09	2.11345706379861e-07
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNN4	2969	561	85	38	2.86291680700573	6.77361853832442	-3.91070173131869	0.0303132367800606	0.071301247771836	1.05882352941176	1.05263157894737	-0.0562812065308454	0.480441688295392	3.61146238289688e-06	4.33375485947626e-05
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNK6	2969	561	146	47	4.91748063320984	8.37789661319073	-3.4604159799809	0.0518693162681037	0.0944741532976827	1.05479452054795	1.12765957446809	-0.0572824087274689	0.48254782484965	0.000855514498919495	0.00684411599135596
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNC4	2969	561	97	34	3.26709329740653	6.06060606060606	-2.79351276319953	0.0343550016840687	0.0659536541889483	1.05154639175258	1.08823529411765	-0.043413294600093	0.485996113133394	0.00129168306096642	0.00757417430224823
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNQ4	2969	561	16	10	0.538901987201078	1.7825311942959	-1.24362920709482	0.00572583361401145	0.0213903743315508	1.0625	1.2	-0.0222972960002265	0.49377975263102	0.00157795297963505	0.00757417430224823
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNE4	2969	561	301	34	10.1380936342203	6.06060606060606	4.07748757361422	0.114516672280229	0.0606060606060606	1.12956810631229	1	0.0715293007393704	0.520754871041163	0.00210742094277876	0.00842968377111505
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNK15	2969	561	3	4	0.101044122600202	0.71301247771836	-0.611968355118158	0.00101044122600202	0.0071301247771836	1	1	-0.00879307414181663	0.496940158224409	0.00281091672609397	0.00963742877517932
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNMB4	2969	561	115	10	3.87335803300775	1.7825311942959	2.09082683871185	0.0410912765240822	0.0196078431372549	1.06086956521739	1.1	0.0300821847019715	0.510440625621019	0.0141357260171667	0.0424071780515
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNJ15	2969	561	40	15	1.34725496800269	2.67379679144385	-1.32654182344116	0.0134725496800269	0.0285204991087344	1	1.06666666666667	-0.0212635346900082	0.493355283262759	0.0197769034112067	0.0527384090965511
IU_PDA_T1	CC1_CC5	CC1,CC5	KCND2	2969	561	103	12	3.46918154260694	2.13903743315508	1.33014410945186	0.0363758841360728	0.0231729055258467	1.04854368932039	1.08333333333333	0.0184973842799943	0.506637812355721	0.10435566126896	0.242663903571593
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNK17	2969	561	15	6	0.50522061300101	1.06951871657754	-0.56429810357653	0.00538901987201078	0.0106951871657754	1.06666666666667	1	-0.00759412616792422	0.497180310625123	0.111220955803647	0.242663903571593
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNAB2	2969	561	104	27	3.50286291680701	4.81283422459893	-1.30997130779192	0.0367126978780734	0.0499108734402852	1.04807692307692	1.03703703703704	-0.018250724880113	0.493459449366568	0.132863245457315	0.265726490914631
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNS3	2969	561	321	50	10.8117211182216	8.9126559714795	1.89906514674212	0.121926574604244	0.0998217468805704	1.12772585669782	1.12	0.0287085421470707	0.509590185931992	0.174634803249165	0.322402713690765
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNA5	2969	561	4	0	0.134725496800269	0	0.134725496800269	0.00134725496800269	0	1	NA	0.00194236992098887	0.500673627484001	0.384440801192525	0.553130366352282
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNT2	2969	561	9	3	0.303132367800606	0.53475935828877	-0.231626990488164	0.00303132367800606	0.0053475935828877	1	1	-0.0033277311945565	0.498841865047559	0.387424782995321	0.553130366352282
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNMA1	2969	561	357	60	12.024250589424	10.6951871657754	1.32906342364865	0.13506231054227	0.126559714795009	1.12324929971989	1.18333333333333	0.0108477105142553	0.506371243190929	0.39157810895372	0.553130366352282
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNB1	2969	561	2	1	0.0673627484001347	0.17825311942959	-0.110890371029455	0.000673627484001347	0.0017825311942959	1	1	-0.00159784776337421	0.499445548144853	0.408520539544694	0.553130366352282
IU_PDA_T1	CC1_CC5	CC1,CC5	KCND3	2969	561	63	15	2.12192657460424	2.67379679144385	-0.551870216839607	0.0212192657460424	0.0267379679144385	1	1	-0.00777538064908348	0.497240648915802	0.414847774764212	0.553130366352282
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNAB1	2969	561	10	1	0.336813742000674	0.17825311942959	0.158560622571084	0.00336813742000674	0.0017825311942959	1	1	0.00228167065074147	0.500792803112855	0.536656706642015	0.677882155758334
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNN3	2969	561	31	7	1.04412260020209	1.24777183600713	-0.203649235805042	0.0104412260020209	0.0124777183600713	1	1	-0.00290475149930151	0.498981753820975	0.668204245235173	0.801845094282207
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNJ8	2969	561	157	32	5.28797574941058	5.70409982174688	-0.416124072336304	0.0579319636241159	0.0588235294117647	1.09554140127389	1.03125	-0.00121531052666393	0.498016341170107	0.701922105133984	0.802196691581696
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNMB1	2969	561	98	20	3.3007746716066	3.5650623885918	-0.264287716985199	0.0350286291680701	0.0409982174688057	1.06122448979592	1.15	-0.0082969246649174	0.498626328267919	0.739933108056918	0.80719975424391
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNK3	2969	561	7	1	0.235769619400472	0.17825311942959	0.0575164999708815	0.00235769619400472	0.0017825311942959	1	1	0.000828073509242703	0.500287582499854	0.792779454345465	0.827248126273529
IU_PDA_T1	CC1_CC5	CC1,CC5	KCNJ16	2969	561	17	3	0.572583361401145	0.53475935828877	0.0378240031123752	0.00606264735601213	0.0071301247771836	1.05882352941176	1.33333333333333	-0.00152995236962214	0.500184917348549	0.914775873835915	0.914775873835915
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNK1	582	2132	32	427	5.49828178694158	20.0281425891182	-14.5298608021766	0.0584192439862543	0.272514071294559	1.0625	1.36065573770492	-0.265770411736073	0.426174864444917	4.76225289894761e-17	1.14294069574743e-15
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNN4	582	2132	10	153	1.71821305841924	7.17636022514071	-5.45814716672147	0.0189003436426117	0.0811444652908068	1.1	1.13071895424837	-0.0855463609198046	0.472697578383397	9.0059275529133e-07	1.0807113063496e-05
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNK6	582	2132	26	196	4.46735395189003	9.19324577861163	-4.7258918267216	0.0463917525773196	0.104596622889306	1.03846153846154	1.13775510204082	-0.0780965467429211	0.476207745820519	0.000206780749435437	0.00165424599548349
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNAB2	582	2132	30	199	5.15463917525773	9.33395872420263	-4.17931954894489	0.0567010309278351	0.107410881801126	1.1	1.15075376884422	-0.0676233461511483	0.478934965796922	0.00119987861885712	0.00719927171314271
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNC4	582	2132	8	78	1.3745704467354	3.65853658536585	-2.28396613863046	0.013745704467354	0.0389305816135084	1	1.06410256410256	-0.035403459342285	0.488564050985474	0.0052495284623038	0.0251977366190582
IU_PDA_T10	CC1_CC5	CC1,CC5	KCND2	582	2132	10	18	1.71821305841924	0.844277673545966	0.873935384873278	0.0171821305841924	0.00891181988742964	1	1.05555555555556	0.0117779360567807	0.504365647344023	0.0647108318635408	0.239107968659194
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNK3	582	2132	0	12	0	0.562851782363977	-0.562851782363977	0	0.00562851782363977	NA	1	-0.00809746769859656	0.49718574108818	0.0697398241922651	0.239107968659194
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNE4	582	2132	36	99	6.18556701030928	4.64352720450281	1.54203980580646	0.0652920962199313	0.0483114446529081	1.05555555555556	1.04040404040404	0.0231816690544495	0.507745659336054	0.127709797270842	0.303170470342197
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNK17	582	2132	2	21	0.343642611683849	0.984990619136961	-0.641348007453112	0.00343642611683849	0.0103189493433396	1	1.04761904761905	-0.00986159581329824	0.496792454046666	0.134626854575524	0.303170470342197
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNK15	582	2132	2	21	0.343642611683849	0.984990619136961	-0.641348007453112	0.00343642611683849	0.00984990619136961	1	1	-0.0091916654363244	0.496793259962734	0.134724237643445	0.303170470342197
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNJ16	582	2132	0	8	0	0.375234521575985	-0.375234521575985	0	0.00375234521575985	NA	1	-0.00540335852933367	0.49812382739212	0.138953132240174	0.303170470342197
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNB1	582	2132	0	7	0	0.328330206378987	-0.328330206378987	0	0.00328330206378987	NA	1	-0.0047290444058685	0.498358348968105	0.166395935301293	0.307192495940849
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNT2	582	2132	0	7	0	0.328330206378987	-0.328330206378987	0	0.00328330206378987	NA	1	-0.0047290444058685	0.498358348968105	0.166395935301293	0.307192495940849
