pathway	orig.ident	mean_score_scaled	median_score_scaled	max_score_scaled
Tumor_proliferation_rate	IU_PDA_T1	-0.0798332889882225	-0.0100200439315592	2.26833722543143
Tumor_proliferation_rate	IU_PDA_T10	0.187577652727745	0.0994670303635861	4.58002251738986
Tumor_proliferation_rate	IU_PDA_T11	-0.136495165481741	-0.120791366696727	4.34939307958493
Tumor_proliferation_rate	IU_PDA_T12	-1.0381001819327	-1.03031393254609	4.52406667288477
Tumor_proliferation_rate	IU_PDA_T2	0.0277264719441152	-0.0244267572166205	3.59877567821002
Tumor_proliferation_rate	IU_PDA_T3	0.00685185274338272	-0.10328947993941	5.03780041661538
Tumor_proliferation_rate	IU_PDA_T4	0.776977102409962	0.720208831707641	4.4836965825888
Tumor_proliferation_rate	IU_PDA_T6	0.154869688024461	0.114004115292836	3.85340279909296
Tumor_proliferation_rate	IU_PDA_T8	0.419482149786596	0.20059885351168	5.13382292870832
Tumor_proliferation_rate	IU_PDA_T9	0.00885450173990193	-0.115076790809012	4.9840970457214
ductal_tumoral_epithelial	IU_PDA_T1	-0.842923829892879	-1.02019786437296	1.60752253622686
ductal_tumoral_epithelial	IU_PDA_T10	0.200452944993658	0.233580259796067	1.66615077690325
ductal_tumoral_epithelial	IU_PDA_T11	0.209575754335713	0.411617845514505	1.65439092453893
ductal_tumoral_epithelial	IU_PDA_T12	0.192086750061769	0.316878126958438	1.66030852006163
ductal_tumoral_epithelial	IU_PDA_T2	0.407972476644045	0.439442660303363	1.633785939988
ductal_tumoral_epithelial	IU_PDA_T3	-0.415535647052598	-0.505083150749073	1.63550036013003
ductal_tumoral_epithelial	IU_PDA_T4	0.159908769023913	0.142106303273806	1.53776703117447
ductal_tumoral_epithelial	IU_PDA_T6	0.652329485335192	0.896244376745925	1.64183763115208
ductal_tumoral_epithelial	IU_PDA_T8	0.569133002064042	0.667128879106855	1.67447692274512
ductal_tumoral_epithelial	IU_PDA_T9	-0.336477424448182	-0.324186405174655	1.49737693401667
tumor_stress_secretory	IU_PDA_T1	-0.407610955592925	-0.567035178872876	2.18284583667598
tumor_stress_secretory	IU_PDA_T10	0.294847536869298	0.236086021644029	2.76343029240418
tumor_stress_secretory	IU_PDA_T11	0.55466172682858	0.557407304433688	3.11127201052287
tumor_stress_secretory	IU_PDA_T12	0.645679473568919	0.74582655618641	2.44763305172186
tumor_stress_secretory	IU_PDA_T2	-0.104543940912809	-0.169303060017105	2.45935553830111
tumor_stress_secretory	IU_PDA_T3	0.00928841264626093	-0.244696583838276	2.42654240149751
tumor_stress_secretory	IU_PDA_T4	-0.361781503642168	-0.403708129490594	2.17603743485681
tumor_stress_secretory	IU_PDA_T6	0.573341239685208	0.660342314399379	2.28992778451769
tumor_stress_secretory	IU_PDA_T8	0.575146500913778	0.611287733236903	2.43239883344221
tumor_stress_secretory	IU_PDA_T9	-0.618721702576463	-0.660537778195554	1.95409948124387
