orig.ident	C	Z	FDR
IU_PDA_T12	0.037316969188465	8.30342804204581	5.22160158230867e-16
IU_PDA_T9	0.0250218147539854	5.61728658493554	2.08661070027735e-07
IU_PDA_T11	0.0227696603659247	3.6942627684027	0.00108752180724147
IU_PDA_T3	0.0114207770345424	2.79127165700349	0.00840159668467134
IU_PDA_T4	0.017947624563934	2.22197105404838	0.0449180905290406
IU_PDA_T2	0.00997228321908178	1.78210453367337	0.180418022476626
IU_PDA_T1	0.00513044294118384	0.969200153973576	0.401858303611898
IU_PDA_T6	0.00442245310832905	0.853829242962365	0.281312321647684
IU_PDA_T10	0.00589919968564125	0.720893892863009	0.447107410757944
IU_PDA_T8	0.00029771882292464	0.0521295706836125	0.586102927407964
