target_gene	orig.ident	view	value	p_value	abs_fraction
KCNA5	IU_PDA_T10	intra	-0.00352217970650235	0.845350967774357	0.217209069004601
KCNA5	IU_PDA_T10	juxta_ct	-0.00734693210144366	0.689998233159997	0.45307747326138
KCNA5	IU_PDA_T10	para_ct	-0.00534650811365011	0.718834351402122	0.32971345773402
KCNA5	IU_PDA_T11	intra	-0.0113134360789833	0.610250814776316	0.199458574067969
KCNA5	IU_PDA_T11	juxta_ct	-0.0103456896604671	0.651031563203328	0.182396974095243
KCNA5	IU_PDA_T11	para_ct	0.0350616050280724	0.106518797573269	0.618144451836788
KCNA5	IU_PDA_T12	intra	0.204252382300769	3.10204088722621e-05	0.390774170900359
KCNA5	IU_PDA_T12	juxta_ct	0.223849828148278	3.54101480182223e-06	0.428267861630233
KCNA5	IU_PDA_T12	para_ct	0.094584286025793	0.0474076523187963	0.180957967469408
KCNA5	IU_PDA_T2	intra	-0.0175806460036629	0.714897583103039	0.083999825070938
KCNA5	IU_PDA_T2	juxta_ct	-0.0471957097156549	0.3994064789713	0.225499754638584
KCNA5	IU_PDA_T2	para_ct	0.144517484938279	0.00124381441376142	0.690500420290478
KCNA5	IU_PDA_T3	intra	0.000262142482899066	0.469751008260946	0.377379380963214
KCNA5	IU_PDA_T3	juxta_ct	-2.68775448107765e-05	0.962104915680434	0.0386928173958256
KCNA5	IU_PDA_T3	para_ct	-0.000405619097061574	0.486079181290443	0.58392780164096
KCNA5	IU_PDA_T4	intra	0.0195117681414116	0.663011330249627	0.0541989571132161
KCNA5	IU_PDA_T4	juxta_ct	0.168312639602313	0.000549448228105209	0.467531669570055
KCNA5	IU_PDA_T4	para_ct	0.172178241396802	0.000340224432739511	0.478269373316729
KCNA5	IU_PDA_T6	intra	-0.00019144684870848	0.739428458956705	0.62754718182182
KCNA5	IU_PDA_T6	juxta_ct	9.33734448727336e-05	0.900238354683338	0.306070549513744
KCNA5	IU_PDA_T6	para_ct	2.02513476501187e-05	0.969954412257781	0.0663822686644359
KCNA5	IU_PDA_T9	intra	-0.013028111445683	0.614935659009763	0.212882370985876
KCNA5	IU_PDA_T9	juxta_ct	-0.0212994568278476	0.524070671416853	0.348038078207104
KCNA5	IU_PDA_T9	para_ct	-0.0268710710752739	0.43672228293387	0.43907955080702
KCNAB1	IU_PDA_T1	intra	-0.00866293353650802	0.690918224130449	0.306886370795201
KCNAB1	IU_PDA_T1	juxta_ct	-0.00690395681807034	0.748525088085743	0.244574224550549
KCNAB1	IU_PDA_T1	para_ct	-0.0126615823340611	0.5082350898461	0.44853940465425
KCNAB1	IU_PDA_T11	intra	-0.0110363577041523	0.855748275316061	0.0986238342971072
KCNAB1	IU_PDA_T11	juxta_ct	-0.0292407202722187	0.53337590011342	0.261302870762367
KCNAB1	IU_PDA_T11	para_ct	0.0716264774147624	0.0733214871378762	0.640073294940526
KCNAB1	IU_PDA_T12	intra	0.0796301221079361	0.0672672628621311	0.434081020826628
KCNAB1	IU_PDA_T12	juxta_ct	0.00108215775899755	0.981093120468918	0.00589907603161012
KCNAB1	IU_PDA_T12	para_ct	0.102733017871021	0.00365134296241854	0.560019903141762
KCNAB1	IU_PDA_T2	intra	0.101367593901851	0.0195794810591243	0.858869785802578
KCNAB1	IU_PDA_T2	juxta_ct	-0.0041032833846141	0.895706075076178	0.0347663980763229
KCNAB1	IU_PDA_T2	para_ct	-0.012553525920509	0.742943577738276	0.106363816121099
KCNAB1	IU_PDA_T3	intra	0.158743331350732	2.91357486545962e-05	0.80345320927093
KCNAB1	IU_PDA_T3	juxta_ct	-0.00719470265419047	0.861445998337309	0.0364148017310256
KCNAB1	IU_PDA_T3	para_ct	-0.0316382896926069	0.393399927492108	0.160131988998045
KCNAB1	IU_PDA_T4	intra	-7.97040645268991e-05	0.919578760592545	0.205126459962489
KCNAB1	IU_PDA_T4	juxta_ct	0.000250526064999969	0.815673217464442	0.644754130756189
KCNAB1	IU_PDA_T4	para_ct	5.8330490792297e-05	0.948445391611016	0.150119409281322
KCNAB1	IU_PDA_T6	intra	-0.0233377980218546	0.496214501394843	0.403286861466703
KCNAB1	IU_PDA_T6	juxta_ct	-0.0316962981351356	0.327474877558977	0.547725221679502
KCNAB1	IU_PDA_T6	para_ct	0.00283488062290785	0.883739123348959	0.0489879168537952
KCNAB1	IU_PDA_T8	intra	-0.0120135680647804	0.658779152009721	0.348719316425598
KCNAB1	IU_PDA_T8	juxta_ct	-0.0134524516444909	0.626288841192941	0.39048596690171
KCNAB1	IU_PDA_T8	para_ct	-0.00898451829912027	0.664241379931633	0.260794716672692
KCNAB1	IU_PDA_T9	intra	0.46751285568858	3.77475828372553e-15	0.691494238506201
KCNAB1	IU_PDA_T9	juxta_ct	-0.109439588389941	0.0891596903659604	0.161871152665253
KCNAB1	IU_PDA_T9	para_ct	0.0991383020982272	0.0897566510679548	0.146634608828546
KCNAB2	IU_PDA_T1	intra	0.199043174957112	0.000266010640807224	0.676046101980789
KCNAB2	IU_PDA_T1	juxta_ct	0.00230213401771599	0.963780780579805	0.00781915144415083
KCNAB2	IU_PDA_T1	para_ct	0.0930771784471439	0.0320037859543696	0.31613474657506
KCNAB2	IU_PDA_T10	intra	0.0510474302927313	0.18764456268072	0.335018166090805
KCNAB2	IU_PDA_T10	juxta_ct	-0.0442893358641283	0.240471860605728	0.29066560243078
KCNAB2	IU_PDA_T10	para_ct	-0.0570353600725437	0.0789378173197017	0.374316231478416
KCNAB2	IU_PDA_T11	intra	0.380920241983608	1.10177387879773e-07	0.760309261855948
KCNAB2	IU_PDA_T11	juxta_ct	0.104793109664656	0.0879453624967232	0.209164972283496
KCNAB2	IU_PDA_T11	para_ct	-0.015293621558619	0.771155176479473	0.0305257658605557
KCNAB2	IU_PDA_T12	intra	0.298447624969517	9.24987864081572e-10	0.386526758123797
KCNAB2	IU_PDA_T12	juxta_ct	0.158213933630819	0.00144168048017823	0.204906703018931
KCNAB2	IU_PDA_T12	para_ct	0.315465127837062	2.30926389122033e-14	0.408566538857272
KCNAB2	IU_PDA_T2	intra	0.152469330862342	0.021315735933239	0.399851365693901
KCNAB2	IU_PDA_T2	juxta_ct	0.151041303758722	0.00767572526991289	0.396106359505438
KCNAB2	IU_PDA_T2	para_ct	0.077804383767699	0.0543868738748692	0.204042274800661
KCNAB2	IU_PDA_T3	intra	0.224549490862725	9.08133855817006e-05	0.642248755562349
KCNAB2	IU_PDA_T3	juxta_ct	0.0486102834942728	0.327039697712976	0.13903346634981
KCNAB2	IU_PDA_T3	para_ct	0.0764703166598557	0.0503109236993673	0.218717778087841
KCNAB2	IU_PDA_T4	intra	0.138284678564187	0.0392131187917084	0.320706695588724
KCNAB2	IU_PDA_T4	juxta_ct	0.16615543130378	0.00469836086896724	0.385343914313837
KCNAB2	IU_PDA_T4	para_ct	0.126747266218262	0.00433169012598555	0.293949390097439
KCNAB2	IU_PDA_T6	intra	0.193190633557797	0.135181195643919	0.476026942349004
KCNAB2	IU_PDA_T6	juxta_ct	0.0486964000741376	0.618191549204321	0.119989245874907
