target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCND2	para_ct	Fibroblasts	Fibroblasts	7.19657034331025	10
KCND2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	7.08124760829002	10
KCND2	para_ct	TAM	TAM	7.02251403329723	10
KCND3	intra	Fibroblasts	Fibroblasts	9.62971285850219	10
KCND3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.50972220680559	10
KCND3	intra	TAM	TAM	6.1500827458992	10
KCND3	intra	B_cells	B cells	5.8509333173338	9
KCND3	intra	Monocytes	Monocytes	2.41952453809857	10
KCND3	juxta_ct	Fibroblasts	Fibroblasts	12.1933821431669	10
KCND3	juxta_ct	TAM	TAM	10.1836896430749	10
KCND3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	9.97364462452721	10
KCND3	juxta_ct	B_cells	B cells	8.10650427221722	9
KCND3	juxta_ct	Monocytes	Monocytes	6.00842989567728	10
KCND3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	12.5228115519012	3
KCND3	para_ct	T_NK_cells	T-NK cells	9.42666773622681	7
KCND3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	8.86313784028345	10
KCND3	para_ct	B_cells	B cells	8.41460247440578	9
KCND3	para_ct	Endothelial_cells	Endothelial cells	8.38205038467605	10
KCNE4	intra	Fibroblasts	Fibroblasts	17.8447547663509	10
KCNE4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	12.6330075092976	10
KCNE4	intra	TAM	TAM	12.2455095798779	10
KCNE4	intra	B_cells	B cells	10.0916946963528	9
KCNE4	intra	Monocytes	Monocytes	3.45012345434593	10
KCNE4	juxta_ct	Fibroblasts	Fibroblasts	24.1034508400436	10
KCNE4	juxta_ct	TAM	TAM	21.1916016552242	10
KCNE4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	20.3450913494827	10
KCNE4	juxta_ct	B_cells	B cells	15.3211101277139	9
KCNE4	juxta_ct	Monocytes	Monocytes	9.77375168576114	10
KCNE4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.4320953076129	3
KCNE4	para_ct	T_NK_cells	T-NK cells	16.956619402748	7
KCNE4	para_ct	Endothelial_cells	Endothelial cells	16.8561697913725	10
KCNE4	para_ct	Fibroblasts	Fibroblasts	16.8121445033985	10
KCNE4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	16.699091200969	10
KCNJ15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6826397574993	10
KCNJ15	intra	Fibroblasts	Fibroblasts	13.8362898165083	10
KCNJ15	intra	TAM	TAM	9.15751343642725	10
KCNJ15	intra	B_cells	B cells	7.64199261358387	9
KCNJ15	intra	Monocytes	Monocytes	1.91737789945852	10
KCNJ15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.8618537592381	10
KCNJ15	juxta_ct	Fibroblasts	Fibroblasts	17.5490639988325	10
KCNJ15	juxta_ct	TAM	TAM	14.760499039142	10
KCNJ15	juxta_ct	B_cells	B cells	12.1692526361667	9
KCNJ15	juxta_ct	Monocytes	Monocytes	5.92251560859402	10
KCNJ15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	30.0801342109641	3
KCNJ15	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6424755803049	10
KCNJ15	para_ct	T_NK_cells	T-NK cells	14.0642452812465	7
KCNJ15	para_ct	PVL	PVL	13.414171211333	10
KCNJ15	para_ct	TAM	TAM	13.2963780402623	10
KCNJ16	intra	Normal_Epithelial_cells	Normal Epithelial cells	2.43346061048652	3
KCNJ16	intra	Fibroblasts	Fibroblasts	2.08705284992758	10
KCNJ16	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.80078868659798	10
KCNJ16	intra	TAM	TAM	1.12579265932793	10
KCNJ16	intra	B_cells	B cells	0.848061197295167	9
KCNJ16	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	3.46247397625605	3
KCNJ16	juxta_ct	Fibroblasts	Fibroblasts	2.58239660668432	10
KCNJ16	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.31396695602405	10
KCNJ16	juxta_ct	TAM	TAM	1.99788473893686	10
KCNJ16	juxta_ct	B_cells	B cells	1.47130194684332	9
KCNJ16	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	5.22137227697794	3
KCNJ16	para_ct	Hepatocytes	Hepatocytes	2.55525922616729	4
KCNJ16	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.31258489652368	10
KCNJ16	para_ct	PVL	PVL	2.25589775331478	10
KCNJ16	para_ct	TAM	TAM	2.10204521526457	10
KCNJ8	intra	Fibroblasts	Fibroblasts	16.1344156910444	10
KCNJ8	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	11.6068668604653	10
KCNJ8	intra	TAM	TAM	10.5793976077948	10
KCNJ8	intra	B_cells	B cells	9.15242773153256	9
KCNJ8	intra	Monocytes	Monocytes	3.76168056643237	10
KCNJ8	juxta_ct	Fibroblasts	Fibroblasts	21.9274105360946	10
KCNJ8	juxta_ct	TAM	TAM	18.6425290478426	10
KCNJ8	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	18.5961945576202	10
KCNJ8	juxta_ct	B_cells	B cells	14.0373285118344	9
