target_gene	orig.ident	view	value	p_value
KCNAB2	IU_PDA_T2	intercept	0.0213239320562771	NA
KCNAB2	IU_PDA_T2	intra	0.152469330862342	0.021315735933239
KCNAB2	IU_PDA_T2	juxta_ct	0.151041303758722	0.00767572526991289
KCNAB2	IU_PDA_T2	para_ct	0.077804383767699	0.0543868738748692
KCNAB2	IU_PDA_T3	intercept	0.0644637527345642	NA
KCNAB2	IU_PDA_T3	intra	0.224549490862725	9.08133855817006e-05
KCNAB2	IU_PDA_T3	juxta_ct	0.0486102834942728	0.327039697712976
KCNAB2	IU_PDA_T3	para_ct	0.0764703166598557	0.0503109236993673
KCNAB2	IU_PDA_T4	intercept	0.0259116498120894	NA
KCNAB2	IU_PDA_T4	intra	0.138284678564187	0.0392131187917084
KCNAB2	IU_PDA_T4	juxta_ct	0.16615543130378	0.00469836086896724
KCNAB2	IU_PDA_T4	para_ct	0.126747266218262	0.00433169012598555
KCNAB2	IU_PDA_T6	intercept	0.0336702578159715	NA
KCNAB2	IU_PDA_T6	intra	0.193190633557797	0.135181195643919
KCNAB2	IU_PDA_T6	juxta_ct	0.0486964000741376	0.618191549204321
KCNAB2	IU_PDA_T6	para_ct	0.163952670743784	0.000133141122907743
KCNAB2	IU_PDA_T8	intercept	0.0322101174336272	NA
KCNAB2	IU_PDA_T8	intra	0.299274990598306	0.000644775513982676
KCNAB2	IU_PDA_T8	juxta_ct	-0.0149894467758711	0.815046645470596
KCNAB2	IU_PDA_T8	para_ct	0.0592612896217546	0.143647328476249
KCNAB2	IU_PDA_T9	intercept	0.0554383599299923	NA
KCNAB2	IU_PDA_T9	intra	-0.119036218255447	0.174838675317281
KCNAB2	IU_PDA_T9	juxta_ct	0.176524438582012	0.0022320932659794
KCNAB2	IU_PDA_T9	para_ct	0.117564568261347	0.00926599846203113
KCNB1	IU_PDA_T10	intercept	0.00178757496618542	NA
KCNB1	IU_PDA_T10	intra	0.0001592997787883	0.146784183419004
KCNB1	IU_PDA_T10	juxta_ct	1.51561359697446e-05	0.875942002874705
KCNB1	IU_PDA_T10	para_ct	-3.59623061868523e-05	0.640470205957489
KCNB1	IU_PDA_T11	intercept	0.0129447792291252	NA
KCNB1	IU_PDA_T11	intra	0.00368496610842867	0.927504017015773
KCNB1	IU_PDA_T11	juxta_ct	-0.00202569014784412	0.946346607498344
KCNB1	IU_PDA_T11	para_ct	0.0394400438626554	0.155681927557824
KCNB1	IU_PDA_T12	intercept	0.00733704729061611	NA
KCNB1	IU_PDA_T12	intra	0.0278247207509035	0.115993096636352
KCNB1	IU_PDA_T12	juxta_ct	-0.0113921617497247	0.555585725679695
KCNB1	IU_PDA_T12	para_ct	0.00923016850560342	0.587443580491955
KCNB1	IU_PDA_T2	intercept	0.00225865576645248	NA
KCNB1	IU_PDA_T2	intra	-0.00845101845262593	0.66033422900196
KCNB1	IU_PDA_T2	juxta_ct	-0.0183617226586721	0.440664077007731
KCNB1	IU_PDA_T2	para_ct	-0.00512804376242219	0.812024704050427
KCNB1	IU_PDA_T3	intercept	0.000624917700788894	NA
