target_gene	orig.ident	intra.RMSE	intra.R2	multi.RMSE	multi.R2	p.RMSE	p.R2	gain.RMSE	gain.R2
KCNA5	IU_PDA_T10	0.0196623153365719	0	0.0196579897173534	0	0.499894009420317	1	-4.32561921849886e-06	0
KCNA5	IU_PDA_T11	0.0385407565476503	0.00224872371477058	0.0385488424167223	0	0.500539400900533	0.813049516849971	8.08586907199982e-06	-0.00224872371477058
KCNA5	IU_PDA_T12	0.111836597471529	0.510833989457762	0.111502711608069	1.01541634069917	0.486076151870826	0.0830121027532584	-0.000333885863460004	0.504582351241408
KCNA5	IU_PDA_T2	0.0478866723807726	0.00161762465882065	0.0478637368418309	0.152870641002172	0.497677228502039	0.0918405648960251	-2.29355389416985e-05	0.151253016343351
KCNA5	IU_PDA_T3	0.0370472036127869	0	0.037034336686849	0	0.49953267872606	1	-1.28669259378961e-05	0
KCNA5	IU_PDA_T4	0.0479556475675699	0.149267885664639	0.047916602110578	0.998260740011012	0.497610441911636	0.126714652340103	-3.90454569918972e-05	0.848992854346373
KCNA5	IU_PDA_T6	0.0278230259466237	0	0.0278192809465431	0	0.49990820946693	1	-3.74500008060163e-06	0
KCNA5	IU_PDA_T9	0.038019976725201	0.000995821416480691	0.0380167221028636	0.00729905549216259	0.499746017422423	0.120410373159904	-3.25462233739804e-06	0.0063032340756819
KCNAB1	IU_PDA_T1	0.0362971449954576	0	0.0362885307084305	0	0.499758921696207	1	-8.61428702710054e-06	0
KCNAB1	IU_PDA_T11	0.102307765674398	0	0.102295426737359	0.00831069892830438	0.499317482493737	0.186950483150029	-1.23389370390026e-05	0.00831069892830438
KCNAB1	IU_PDA_T12	0.157703144538721	0.0154801008800609	0.157618534832782	0.101679301459301	0.497335722347659	0.130088248779837	-8.4609705939015e-05	0.0861992005792401
KCNAB1	IU_PDA_T2	0.0516140457211123	0.0155696023447427	0.0515739916304388	0	0.498624357243771	0.813049516849971	-4.00540906735011e-05	-0.0155696023447427
KCNAB1	IU_PDA_T3	0.0490049096249262	0.290444400747079	0.0490035636284784	0.219743204000284	0.499913559477988	0.618445352997707	-1.34599644779909e-06	-0.070701196746795
KCNAB1	IU_PDA_T4	0.0489636094548908	0	0.0489650305167617	0	0.50011193214718	1	1.42106187090568e-06	0
KCNAB1	IU_PDA_T6	0.0745730058392593	0.00220192948790388	0.0745703404176302	0.0028761140550837	0.499898160881784	0.428644280311996	-2.66542162910555e-06	0.00067418456717982
KCNAB1	IU_PDA_T8	0.0278992553415697	0	0.0278952713736521	0	0.499858543964043	1	-3.98396791759931e-06	0
KCNAB1	IU_PDA_T9	0.0662407192006018	0.688132632759202	0.0662593156122613	0.66171098612158	0.500566959851443	0.517245467297596	1.85964116594939e-05	-0.026421646637622
KCNAB2	IU_PDA_T1	0.123473302890279	0.160747172120477	0.123438441909573	0.163169558926806	0.499002280748557	0.495874264985565	-3.48609807060002e-05	0.002422386806329
KCNAB2	IU_PDA_T10	0.179583916525913	0.0241563475919815	0.179566415024555	0.0286953022759917	0.499283776567933	0.442977790965019	-1.7501501357986e-05	0.0045389546840102
KCNAB2	IU_PDA_T11	0.185171073703831	0.964837117457564	0.185207112564164	0.869425193646116	0.50115372661095	0.596360789569846	3.60388603329875e-05	-0.0954119238114479
KCNAB2	IU_PDA_T12	0.401896142490347	2.17758201288759	0.397608143921844	4.24953725173831	0.015811665236258	0.0212859252516105	-0.00428799856850298	2.07195523885072
KCNAB2	IU_PDA_T2	0.156098643515393	0.142482492312319	0.156011286192675	0.29618827935598	0.496924642002479	0.2469768234547	-8.73573227179736e-05	0.153705787043661
KCNAB2	IU_PDA_T3	0.263131528168242	0.359467074762618	0.263032843226751	0.432369823448058	0.494395539957538	0.321411216975029	-9.86849414909563e-05	0.07290274868544
KCNAB2	IU_PDA_T4	0.182111670135556	0.117452507967601	0.181727501105845	0.425776429313094	0.479055209520906	0.00801821775303275	-0.000384169029710973	0.308323921345493
KCNAB2	IU_PDA_T6	0.201433741780085	0.10130803991635	0.201035197274121	0.406234862977566	0.477901701579587	0.0451087786877287	-0.000398544505963994	0.304926823061216
KCNAB2	IU_PDA_T8	0.190029864630104	0.279936090645438	0.190107193242694	0.215459768003985	0.504353994097843	0.612138623710495	7.73286125900219e-05	-0.064476322641453
KCNAB2	IU_PDA_T9	0.218156920690423	0.0146400933639845	0.217731298308701	0.307504796101339	0.469267610636125	0.0764486009126779	-0.000425622381722002	0.292864702737355
KCNB1	IU_PDA_T10	0.0272998648722624	0	0.027202893235173	0	0.497620912281955	1	-9.69716370893998e-05	0
KCNB1	IU_PDA_T11	0.103011798061927	0	0.103038544461154	0.00438028517279809	0.502355560361368	0.186950483150029	2.67463992269928e-05	0.00438028517279809
KCNB1	IU_PDA_T12	0.0716643850041786	0.0224283045971707	0.0716593537198297	0	0.499778172062402	0.940710015329497	-5.03128434889422e-06	-0.0224283045971707
KCNB1	IU_PDA_T2	0.0346192761279343	0	0.0346162841594574	0	0.499907735710424	1	-2.9919684768967e-06	0
KCNB1	IU_PDA_T3	0.0264186595170632	0	0.0267914723033278	2.70163451999693	0.515933794940043	0.0637156904482427	0.000372812786264602	2.70163451999693
KCNB1	IU_PDA_T4	0.0246461786348177	0	0.0246456115552671	0	0.499977376000862	1	-5.67079550598676e-07	0
KCNB1	IU_PDA_T9	0.0380168557554209	0	0.0381184634022259	0	0.502818924874497	1	0.000101607646804995	0
KCNC4	IU_PDA_T1	0.131063500999957	0	0.131010096143544	0.0182624868446535	0.497744612990611	0.186950483150029	-5.3404856413003e-05	0.0182624868446535
KCNC4	IU_PDA_T10	0.107120785687653	0.0217911972856477	0.107149061742287	0	0.501060017946556	0.863425782260609	2.82760546339994e-05	-0.0217911972856477
KCNC4	IU_PDA_T11	0.181214719986368	0.698191173714404	0.181236598675781	0.683120203431791	0.500572061461577	0.515045768200226	2.18786894130019e-05	-0.0150709702826129
KCNC4	IU_PDA_T12	0.251585707240503	0.866831503651719	0.250734657628273	1.48183217529092	0.426641303063528	0.232719749079878	-0.000851049612229982	0.615000671639201
KCNC4	IU_PDA_T2	0.161534417045478	0.0108179524194663	0.161527893931322	0.0671727814035572	0.499762073580725	0.225957735334732	-6.52311415599849e-06	0.0563548289840909
KCNC4	IU_PDA_T3	0.145216161007067	0.00254525577495279	0.145211360537947	0.0328083709323601	0.499668881217588	0.204607842830328	-4.8004691199921e-06	0.0302631151574073
KCNC4	IU_PDA_T4	0.140681375255362	0.0170300628867959	0.14041512393448	0.436037582084561	0.492021185976625	0.0608775661482484	-0.000266251320882011	0.419007519197765
KCNC4	IU_PDA_T6	0.286968662075184	0.443714008456868	0.286309565839894	0.841692576496249	0.464227314631066	0.14149495942953	-0.000659096235290035	0.397978568039381
KCNC4	IU_PDA_T8	0.149650394163812	0.00186449967495284	0.14965457196227	0	0.500193954519562	0.813049516849971	4.17779845798827e-06	-0.00186449967495284
KCNC4	IU_PDA_T9	0.116607196315872	0.0299105577963821	0.116569984363816	0.0439385020456662	0.493433051810519	0.344510540201077	-3.72119520559988e-05	0.0140279442492841
KCND2	IU_PDA_T1	0.125011750368299	0	0.125005936130803	0.0495264109820237	0.499833530154076	0.0923314703986212	-5.81423749601573e-06	0.0495264109820237
KCND2	IU_PDA_T10	0.0675985448968088	0	0.0676043944937085	0.00701912815620487	0.500241283472215	0.186950483150029	5.84959689969855e-06	0.00701912815620487
KCND2	IU_PDA_T11	0.11844905089954	0.214684116648289	0.118463609046265	0.193351759392912	0.500647144409831	0.543765397082331	1.4558146725005e-05	-0.021332357255377
KCND2	IU_PDA_T12	0.258959436377195	0.280022618758851	0.258250106302963	0.837392047379328	0.415415676011684	0.0684694406027745	-0.000709330074231962	0.557369428620477
KCND2	IU_PDA_T2	0.103722645560053	0	0.103727730754403	0	0.500257769617369	1	5.08519434999632e-06	0
KCND2	IU_PDA_T3	0.101929994716423	0	0.101163327140592	1.88183912724955	0.459102458676367	0.0391631717026274	-0.000766667575831007	1.88183912724955
KCND2	IU_PDA_T4	0.0689994421169495	0.0126488446769479	0.0690061350650775	0.0295038537731496	0.500592554843554	0.170823220569987	6.69294812799537e-06	0.0168550090962017
KCND2	IU_PDA_T6	0.197157622804715	0.0472767405891616	0.196777071718556	0.251478513984098	0.48467883220373	0.180476296604622	-0.000380551086159003	0.204201773394936
KCND2	IU_PDA_T8	0.0853045796767128	0.00736800421187622	0.0853121448393712	0	0.500346886535115	0.813049516849971	7.56516265840168e-06	-0.00736800421187622
KCND2	IU_PDA_T9	0.0967225869361442	0	0.0967675425419232	0	0.5026541573537	1	4.49556057789957e-05	0
KCND3	IU_PDA_T1	0.102864348562036	0.0364901119581273	0.102918782970682	0.012190795060889	0.502756361065184	0.760953415084621	5.4434408645998e-05	-0.0242993168972383
KCND3	IU_PDA_T10	0.0803865171646777	0	0.0803931394458018	0.00778672295373539	0.50017165026728	0.186950483150029	6.62228112409402e-06	0.00778672295373539
KCND3	IU_PDA_T11	0.126460301322197	0.0882710359236594	0.126367395077823	0.252149777027249	0.496875545360826	0.202262353620759	-9.2906244373997e-05	0.16387874110359
KCND3	IU_PDA_T12	0.260498394338977	0.839816235541655	0.258224824161312	2.49024956812699	0.348650285831318	0.034351461080203	-0.002273570177665	1.65043333258533
KCND3	IU_PDA_T2	0.0934498619783055	0.36553624429843	0.0932834908462259	0.463409364743728	0.489085121333511	0.357724488831318	-0.000166371132079596	0.097873120445298
KCND3	IU_PDA_T3	0.146167323688028	0.091454419839776	0.14579447347501	0.548333254990925	0.463416741927175	0.030243094008639	-0.000372850213018	0.456878835151149
KCND3	IU_PDA_T4	0.0640058925850352	0	0.0634627724221722	1.80737636414245	0.472471469636789	0.0841590411062194	-0.000543120162862995	1.80737636414245
KCND3	IU_PDA_T6	0.148926242940564	0.333362620416489	0.148952993639405	0.333105513832876	0.502035253143594	0.500371746941846	2.67506988410049e-05	-0.000257106583612998
KCND3	IU_PDA_T8	0.0970613751848125	0.0440489627955398	0.0970555993549206	0.0251965742440774	0.499388379575188	0.768593892304218	-5.77582989190473e-06	-0.0188523885514624
KCND3	IU_PDA_T9	0.222076498692515	0.674215063503019	0.221251155666381	1.416930786946	0.417527793938046	0.007480973897865	-0.00082534302613399	0.742715723442981
KCNE4	IU_PDA_T1	0.211944081098329	0.081804634774254	0.211618340125471	0.336960225088048	0.481502145762838	0.150489232244015	-0.00032574097285798	0.255155590313794
KCNE4	IU_PDA_T10	0.147633378305653	0.00574985931049321	0.147628556252728	0.00349000108675668	0.499782590139163	0.626340366207128	-4.82205292501314e-06	-0.00225985822373653
KCNE4	IU_PDA_T11	0.189141963891813	0.0126252894756695	0.189124108617125	0.332707642997321	0.499426242852058	0.0602776786375571	-1.78552746880056e-05	0.320082353521651
KCNE4	IU_PDA_T12	0.371469033682737	0.731514693618933	0.370646334439828	1.1702412440761	0.368273669183873	0.16947921110405	-0.000822699242909009	0.438726550457167
KCNE4	IU_PDA_T2	0.151919872235733	0.101354178030237	0.151994893154081	0.0431060240698078	0.503296023646477	0.799479879329252	7.502091834799e-05	-0.0582481539604292
KCNE4	IU_PDA_T3	0.186098696178107	0.618023141869883	0.186123940652633	0.618187390642562	0.502123338007418	0.499816794121489	2.52444745259817e-05	0.000164248772678954
KCNE4	IU_PDA_T4	0.11268580063755	0.061152476256412	0.112660763148429	0.104004186647759	0.499071209037437	0.265333447583623	-2.50374891209992e-05	0.042851710391347
