target_gene	view	mean	abs_fraction	p.mean	p.sd
KCNA5	intra	0.0222988091051925	0.270431191240999	0.582207105317453	0.259541438343647
KCNA5	juxta_ct	0.038255146918155	0.306196897289021	0.51592540079477	0.366597945317641
KCNA5	para_ct	0.0517173338063264	0.42337191146998	0.345887589577848	0.366649563144625
KCNAB1	intra	0.0835692824063641	0.461171233039271	0.412012754790393	0.389331904225491
KCNAB1	juxta_ct	-0.0222998130527404	0.258643760350503	0.653193645407099	0.292509457290449
KCNAB1	para_ct	0.0233947880279348	0.280185006610226	0.478637107904038	0.360276973079612
KCNAB2	intra	0.181819137839288	0.508608651078294	0.0559194999009615	0.0780139725962808
KCNAB2	juxta_ct	0.0797058251886116	0.222044942875273	0.306852375595519	0.366114058301459
KCNAB2	para_ct	0.0958013819925745	0.269346406046432	0.114417273551498	0.235053402614349
KCNB1	intra	-0.00387410835563815	0.291896352463406	0.545378261181943	0.314855883367924
KCNB1	juxta_ct	0.102859066673581	0.359058337393091	0.542084389021715	0.404669268258347
KCNB1	para_ct	-0.00914361184511441	0.349045310143503	0.486488418394877	0.293207192056306
KCNC4	intra	0.108693464271934	0.430713518790716	0.233883077657784	0.227478385966092
KCNC4	juxta_ct	0.0838889650790571	0.296450114580618	0.312890251287868	0.34675784074692
KCNC4	para_ct	0.0750653061526839	0.272836366628666	0.221284581887475	0.320460560153406
KCND2	intra	0.0417579257035188	0.388152392501355	0.365924550067857	0.290054540751109
KCND2	juxta_ct	0.0515098972504587	0.256891509809239	0.482550327806575	0.335478838994397
KCND2	para_ct	0.0853352007565151	0.354956097689406	0.267219752974223	0.318040405690431
KCND3	intra	0.0963896255421177	0.337065431102954	0.208707694832638	0.284675399679916
KCND3	juxta_ct	0.0627622447967035	0.300920398599362	0.174375224510811	0.200937924443546
KCND3	para_ct	0.122752772105675	0.362014170297684	0.0682318103586489	0.0860433474567609
KCNE4	intra	0.17576575629368	0.458324458453997	0.123331009837103	0.193140035212347
KCNE4	juxta_ct	0.0757058627617967	0.231023321942015	0.310529461811218	0.322168240008897
KCNE4	para_ct	0.107609069609593	0.310652219603988	0.160676304325614	0.242501876306574
KCNJ15	intra	0.145106182614567	0.306356440403554	0.391496245095847	0.415406059484939
KCNJ15	juxta_ct	0.101609821249253	0.280364506679015	0.416954504266862	0.393745864006526
KCNJ15	para_ct	0.154342991617311	0.413279052917431	0.129054453539384	0.295209466204496
KCNJ16	intra	0.0966269734616325	0.323701722131582	0.414668239863365	0.360449658536008
KCNJ16	juxta_ct	0.0680899963927129	0.281325760926972	0.49021803152488	0.338680068218783
KCNJ16	para_ct	0.129848199595292	0.394972516941446	0.335505719410554	0.344599738384442
KCNJ8	intra	0.227546326081436	0.50293905301527	0.0107474916567438	0.0224329261618201
KCNJ8	juxta_ct	0.079081258408134	0.236620376637875	0.221541047696223	0.327199590103026
KCNJ8	para_ct	0.125565035406331	0.260440570346855	0.179958988903216	0.263589296837551
