target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCNAB2	intra	T_NK_cells	T-NK cells	1.13773751630666	7	7	0.0562421127770934
KCNAB2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6527011866878	10	3	0.724331281002272
KCNAB2	juxta_ct	B_cells	B cells	18.7973073917249	9	4	0.683364295648604
KCNAB2	juxta_ct	Endothelial_cells	Endothelial cells	5.40535558512859	10	6	0.196508304896252
KCNAB2	juxta_ct	Fibroblasts	Fibroblasts	27.5070083576487	10	1	1
KCNAB2	juxta_ct	Hepatocytes	Hepatocytes	0.0575483763888097	4	10	0.00209213505302214
KCNAB2	juxta_ct	Monocytes	Monocytes	11.9685715653343	10	5	0.435109896711332
KCNAB2	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.301092239065319	3	9	0.0109460191072213
KCNAB2	juxta_ct	PVL	PVL	2.75290084641061	10	8	0.100079980004264
KCNAB2	juxta_ct	TAM	TAM	25.7400704146926	10	2	0.935764081648496
KCNAB2	juxta_ct	T_NK_cells	T-NK cells	3.32404740824965	7	7	0.120843654280032
KCNAB2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	23.4156238715774	10	3	0.851260288546297
KCNAB2	para_ct	B_cells	B cells	19.2114046387927	9	6	0.678418436578655
KCNAB2	para_ct	Endothelial_cells	Endothelial cells	19.0905213189556	10	7	0.67414964549366
KCNAB2	para_ct	Fibroblasts	Fibroblasts	18.8888598419585	10	8	0.667028309677002
KCNAB2	para_ct	Hepatocytes	Hepatocytes	9.49354417375165	4	10	0.335248542053078
KCNAB2	para_ct	Monocytes	Monocytes	18.7750344128638	10	9	0.66300875613049
KCNAB2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	28.3179282916869	3	1	1
KCNAB2	para_ct	PVL	PVL	19.2878469798769	10	5	0.681117869259494
KCNAB2	para_ct	TAM	TAM	19.7009350200321	10	3	0.695705378483339
KCNAB2	para_ct	T_NK_cells	T-NK cells	20.88365205484	7	2	0.737471040950785
KCNAB2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.4936254240914	10	4	0.688384588847695
KCNB1	intra	B_cells	B cells	0.831185580449101	7	4	0.466889900427855
KCNB1	intra	Endothelial_cells	Endothelial cells	0.378757324106204	7	5	0.212753894554714
KCNB1	intra	Fibroblasts	Fibroblasts	1.78026035621548	7	1	1
KCNB1	intra	Hepatocytes	Hepatocytes	7.802750879729e-06	2	10	4.38292683004878e-06
KCNB1	intra	Monocytes	Monocytes	0.227433702998319	7	6	0.127753057132499
KCNB1	intra	Normal_Epithelial_cells	Normal Epithelial cells	9.24704743525353e-05	2	9	5.1942107248353e-05
KCNB1	intra	PVL	PVL	0.197077443255744	7	7	0.110701472718685
KCNB1	intra	TAM	TAM	1.09965919976641	7	3	0.617695718453282
KCNB1	intra	T_NK_cells	T-NK cells	0.000777406118336826	6	8	0.000436681138027168
KCNB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.28534818307621	7	2	0.72200011565086
KCNB1	juxta_ct	B_cells	B cells	0.845922420892464	7	4	0.435680309835814
KCNB1	juxta_ct	Endothelial_cells	Endothelial cells	0.531189407779046	7	6	0.273581548433857
KCNB1	juxta_ct	Fibroblasts	Fibroblasts	1.94161269581187	7	1	1
KCNB1	juxta_ct	Hepatocytes	Hepatocytes	1.11405189072905e-05	2	10	5.73776579197335e-06
KCNB1	juxta_ct	Monocytes	Monocytes	0.672804874524233	7	5	0.346518580134699
KCNB1	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.140258059973095	2	8	0.0722379186516636
KCNB1	juxta_ct	PVL	PVL	0.368976129895401	7	7	0.190035907105108
KCNB1	juxta_ct	TAM	TAM	1.46024244998187	7	3	0.752077102262294
KCNB1	juxta_ct	T_NK_cells	T-NK cells	0.113911712564561	6	9	0.0586686071894116
KCNB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.62178167921001	7	2	0.835275584419206
KCNB1	para_ct	B_cells	B cells	1.01037461677387	7	8	0.805678571200658
KCNB1	para_ct	Endothelial_cells	Endothelial cells	1.11716812726766	7	7	0.890836334984215
KCNB1	para_ct	Fibroblasts	Fibroblasts	1.25055506021121	7	2	0.997199847850308
KCNB1	para_ct	Hepatocytes	Hepatocytes	0.449218315331995	2	10	0.358209286382784
KCNB1	para_ct	Monocytes	Monocytes	1.14904419057242	7	6	0.916254492479981
KCNB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.25406663760235	2	1	1
KCNB1	para_ct	PVL	PVL	1.19560971590526	7	3	0.953386112073875
KCNB1	para_ct	TAM	TAM	1.16041181248307	7	5	0.925319100029376
KCNB1	para_ct	T_NK_cells	T-NK cells	0.682139883353014	6	9	0.543942293734245
KCNB1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.17614447881572	7	4	0.937864419281886
KCNC4	intra	B_cells	B cells	5.40568000106787	9	4	0.49201180431666
KCNC4	intra	Endothelial_cells	Endothelial cells	0.961889798504613	10	6	0.0875488625339554
KCNC4	intra	Fibroblasts	Fibroblasts	10.9868908705872	10	1	1
KCNC4	intra	Hepatocytes	Hepatocytes	0.117342277982847	4	10	0.0106802078372309
KCNC4	intra	Monocytes	Monocytes	1.97300238752846	10	5	0.179577863361721
KCNC4	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.318688770417859	3	9	0.0290062743110532
KCNC4	intra	PVL	PVL	0.587606313991208	10	7	0.0534824929921053
KCNC4	intra	TAM	TAM	7.09299261891155	10	3	0.645586881899413
KCNC4	intra	T_NK_cells	T-NK cells	0.367049050891007	7	8	0.033407909044917
KCNC4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	9.21971797717629	10	2	0.839156234987114
KCNC4	juxta_ct	B_cells	B cells	8.59052647577376	9	4	0.577368069181246
KCNC4	juxta_ct	Endothelial_cells	Endothelial cells	2.26178689313723	10	6	0.152014377124945
KCNC4	juxta_ct	Fibroblasts	Fibroblasts	14.8787696000505	10	1	1
KCNC4	juxta_ct	Hepatocytes	Hepatocytes	0.00825366424029601	4	10	0.000554727605988873
KCNC4	juxta_ct	Monocytes	Monocytes	4.49007058064337	10	5	0.301777008538942
KCNC4	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.625783226189864	3	9	0.0420588021060385
KCNC4	juxta_ct	PVL	PVL	1.11212372245633	10	7	0.0747456780601373
KCNC4	juxta_ct	TAM	TAM	11.7917746052478	10	3	0.792523503099867
KCNC4	juxta_ct	T_NK_cells	T-NK cells	0.812696472166174	7	8	0.0546212149264962
KCNC4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	13.9988529241831	10	2	0.940860924692029
KCNC4	para_ct	B_cells	B cells	9.26599525652949	9	8	0.41810439919804
KCNC4	para_ct	Endothelial_cells	Endothelial cells	11.8124134698868	10	6	0.533005025383067
KCNC4	para_ct	Fibroblasts	Fibroblasts	12.0577228438671	10	3	0.544073985120919
KCNC4	para_ct	Hepatocytes	Hepatocytes	7.57549765954973	4	10	0.341825007447555
KCNC4	para_ct	Monocytes	Monocytes	12.013108752366	10	4	0.542060888048625
KCNC4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	22.1619176318222	3	1	1
KCNC4	para_ct	PVL	PVL	11.6428764445852	10	7	0.525355099590627
KCNC4	para_ct	TAM	TAM	11.9572290852938	10	5	0.539539460616191
KCNC4	para_ct	T_NK_cells	T-NK cells	8.96575855772148	7	9	0.404556984042192
KCNC4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	12.9224327842564	10	2	0.583091815380683
KCND2	intra	B_cells	B cells	4.5493556719108	9	4	0.573398799775043
KCND2	intra	Endothelial_cells	Endothelial cells	0.72931845959767	10	6	0.0919229797681307
KCND2	intra	Fibroblasts	Fibroblasts	7.93401673267474	10	1	1
KCND2	intra	Hepatocytes	Hepatocytes	0.000657762181301981	4	10	8.29040577382592e-05
KCND2	intra	Monocytes	Monocytes	1.3246843237435	10	5	0.166962632973541
KCND2	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.0421644923932031	3	9	0.00531439418567857
KCND2	intra	PVL	PVL	0.120429294533263	10	8	0.0151788556277299
KCND2	intra	TAM	TAM	5.91666016204781	10	3	0.745733259886026
KCND2	intra	T_NK_cells	T-NK cells	0.154306557094879	7	7	0.0194487309888568
KCND2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.22001738617502	10	2	0.783968271778287
KCND2	juxta_ct	B_cells	B cells	6.3099990429368	9	4	0.621814028158138
KCND2	juxta_ct	Endothelial_cells	Endothelial cells	1.8482680796641	10	6	0.182136163874463
KCND2	juxta_ct	Fibroblasts	Fibroblasts	10.1477270649997	10	1	1
KCND2	juxta_ct	Hepatocytes	Hepatocytes	0.0830034649521203	4	10	0.00817951295107316
KCND2	juxta_ct	Monocytes	Monocytes	2.93356496598763	10	5	0.289085915219945
KCND2	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.146312295499412	3	9	0.0144182332223001
KCND2	juxta_ct	PVL	PVL	0.551039860087436	10	7	0.0543018014337435
KCND2	juxta_ct	TAM	TAM	8.78893803842304	10	3	0.866099174931184
KCND2	juxta_ct	T_NK_cells	T-NK cells	0.541301323483052	7	8	0.0533421247946296
KCND2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	9.04778980922544	10	2	0.891607524647762
KCND2	para_ct	B_cells	B cells	5.96990718502936	9	9	0.390440652416599
KCND2	para_ct	Endothelial_cells	Endothelial cells	6.65214046653456	10	7	0.435059705824864
KCND2	para_ct	Fibroblasts	Fibroblasts	7.19657034331025	10	3	0.470666215221935
