target_gene	orig.ident	view	Predictor	Importance	Predictor_original
KCNA5	IU_PDA_T12	para_ct	Fibroblasts	4.71212105795422	Fibroblasts
KCNA5	IU_PDA_T12	para_ct	Monocytes	4.80566761905671	Monocytes
KCNA5	IU_PDA_T12	para_ct	B_cells	4.14349740683317	B cells
KCNA5	IU_PDA_T12	para_ct	TAM	4.2047184383646	TAM
KCNA5	IU_PDA_T12	para_ct	Endothelial_cells	5.06358140395405	Endothelial cells
KCNA5	IU_PDA_T12	para_ct	PVL	4.73487910580035	PVL
KCNA5	IU_PDA_T12	para_ct	Normal_Epithelial_cells	4.48918628085588	Normal Epithelial cells
KCNA5	IU_PDA_T12	para_ct	T_NK_cells	4.57518798440981	T-NK cells
KCNA5	IU_PDA_T12	para_ct	Tumor_Epithelial_cells	4.91734599793145	Tumor Epithelial cells
KCNA5	IU_PDA_T2	intra	Fibroblasts	1.79482168595463	Fibroblasts
KCNA5	IU_PDA_T2	intra	Monocytes	0.185023261535925	Monocytes
KCNA5	IU_PDA_T2	intra	B_cells	0.376478665299913	B cells
KCNA5	IU_PDA_T2	intra	TAM	1.02976339760232	TAM
KCNA5	IU_PDA_T2	intra	Hepatocytes	2.64255351061534e-05	Hepatocytes
KCNA5	IU_PDA_T2	intra	Endothelial_cells	0.00410651880881478	Endothelial cells
KCNA5	IU_PDA_T2	intra	PVL	5.64098816920475e-05	PVL
KCNA5	IU_PDA_T2	intra	Normal_Epithelial_cells	3.11052364923914e-05	Normal Epithelial cells
KCNA5	IU_PDA_T2	intra	T_NK_cells	1.35753064172754e-05	T-NK cells
KCNA5	IU_PDA_T2	intra	Tumor_Epithelial_cells	1.97591570267876	Tumor Epithelial cells
KCNA5	IU_PDA_T2	juxta_ct	Fibroblasts	2.0987037172124	Fibroblasts
KCNA5	IU_PDA_T2	juxta_ct	Monocytes	0.150587684499466	Monocytes
KCNA5	IU_PDA_T2	juxta_ct	B_cells	0.964904480172169	B cells
KCNA5	IU_PDA_T2	juxta_ct	TAM	1.72715932156978	TAM
KCNA5	IU_PDA_T2	juxta_ct	Hepatocytes	0.000250205833782999	Hepatocytes
KCNA5	IU_PDA_T2	juxta_ct	Endothelial_cells	0.0012429244001487	Endothelial cells
KCNA5	IU_PDA_T2	juxta_ct	PVL	0.000199483030371033	PVL
KCNA5	IU_PDA_T2	juxta_ct	Normal_Epithelial_cells	0.000206559834481134	Normal Epithelial cells
KCNA5	IU_PDA_T2	juxta_ct	T_NK_cells	0.000368102646160722	T-NK cells
KCNA5	IU_PDA_T2	juxta_ct	Tumor_Epithelial_cells	2.24162601077944	Tumor Epithelial cells
KCNA5	IU_PDA_T2	para_ct	Fibroblasts	0.655273574811577	Fibroblasts
KCNA5	IU_PDA_T2	para_ct	Monocytes	0.701034135024503	Monocytes
KCNA5	IU_PDA_T2	para_ct	B_cells	1.0797617898476	B cells
KCNA5	IU_PDA_T2	para_ct	TAM	1.2298732047364	TAM
KCNA5	IU_PDA_T2	para_ct	Hepatocytes	0.99991289693344	Hepatocytes
KCNA5	IU_PDA_T2	para_ct	Endothelial_cells	0.978273303124564	Endothelial cells
KCNA5	IU_PDA_T2	para_ct	PVL	0.81113693700712	PVL
KCNA5	IU_PDA_T2	para_ct	Normal_Epithelial_cells	0.923079793459059	Normal Epithelial cells
KCNA5	IU_PDA_T2	para_ct	T_NK_cells	0.726838375822711	T-NK cells
KCNA5	IU_PDA_T2	para_ct	Tumor_Epithelial_cells	0.861006061766176	Tumor Epithelial cells
KCNA5	IU_PDA_T3	intra	Fibroblasts	1.1844318686043	Fibroblasts
KCNA5	IU_PDA_T3	intra	Monocytes	0.481621941387308	Monocytes
KCNA5	IU_PDA_T3	intra	B_cells	1.20968193516815	B cells
KCNA5	IU_PDA_T3	intra	TAM	0.47770328898461	TAM
KCNA5	IU_PDA_T3	intra	Endothelial_cells	0.2075676104056	Endothelial cells
KCNA5	IU_PDA_T3	intra	PVL	1.28935914091526	PVL
KCNA5	IU_PDA_T3	intra	T_NK_cells	0.103229003926351	T-NK cells
KCNA5	IU_PDA_T3	intra	Tumor_Epithelial_cells	0.57166736951998	Tumor Epithelial cells
KCNA5	IU_PDA_T3	juxta_ct	Fibroblasts	1.28964656500014	Fibroblasts
KCNA5	IU_PDA_T3	juxta_ct	Monocytes	0.831589008730473	Monocytes
KCNA5	IU_PDA_T3	juxta_ct	B_cells	1.12934546810724	B cells
KCNA5	IU_PDA_T3	juxta_ct	TAM	0.496104023757394	TAM
KCNA5	IU_PDA_T3	juxta_ct	Endothelial_cells	0.365219355799408	Endothelial cells
KCNA5	IU_PDA_T3	juxta_ct	PVL	0.948431496590424	PVL
KCNA5	IU_PDA_T3	juxta_ct	T_NK_cells	0.293819895400162	T-NK cells
KCNA5	IU_PDA_T3	juxta_ct	Tumor_Epithelial_cells	0.554476712531617	Tumor Epithelial cells
KCNA5	IU_PDA_T3	para_ct	Fibroblasts	0.675743065243201	Fibroblasts
KCNA5	IU_PDA_T3	para_ct	Monocytes	1.06149571519294	Monocytes
KCNA5	IU_PDA_T3	para_ct	B_cells	0.859840328475574	B cells
KCNA5	IU_PDA_T3	para_ct	TAM	0.90748150847761	TAM
KCNA5	IU_PDA_T3	para_ct	Endothelial_cells	0.899807043399825	Endothelial cells
KCNA5	IU_PDA_T3	para_ct	PVL	0.713039490793017	PVL
KCNA5	IU_PDA_T3	para_ct	T_NK_cells	0.724931069947265	T-NK cells
KCNA5	IU_PDA_T3	para_ct	Tumor_Epithelial_cells	0.730542750196596	Tumor Epithelial cells
KCNA5	IU_PDA_T4	intra	Fibroblasts	1.84108598350272	Fibroblasts
KCNA5	IU_PDA_T4	intra	Monocytes	0.573648251138014	Monocytes
KCNA5	IU_PDA_T4	intra	B_cells	0.000147444460413918	B cells
KCNA5	IU_PDA_T4	intra	TAM	0.91604610195769	TAM
KCNA5	IU_PDA_T4	intra	Hepatocytes	1.13710782090854e-07	Hepatocytes
KCNA5	IU_PDA_T4	intra	Endothelial_cells	0.13986615094077	Endothelial cells
KCNA5	IU_PDA_T4	intra	PVL	1.26192657427518	PVL
KCNA5	IU_PDA_T4	intra	T_NK_cells	2.42060472935123e-05	T-NK cells
KCNA5	IU_PDA_T4	intra	Tumor_Epithelial_cells	1.95834914208488	Tumor Epithelial cells
KCNA5	IU_PDA_T4	juxta_ct	Fibroblasts	1.41160041584909	Fibroblasts
KCNA5	IU_PDA_T4	juxta_ct	Monocytes	0.92075959670378	Monocytes
KCNA5	IU_PDA_T4	juxta_ct	B_cells	0.138635517894644	B cells
KCNA5	IU_PDA_T4	juxta_ct	TAM	1.00659551520345	TAM
KCNA5	IU_PDA_T4	juxta_ct	Hepatocytes	5.74338632261962e-05	Hepatocytes
KCNA5	IU_PDA_T4	juxta_ct	Endothelial_cells	0.218143473259875	Endothelial cells
KCNA5	IU_PDA_T4	juxta_ct	PVL	1.88114579754037	PVL
KCNA5	IU_PDA_T4	juxta_ct	T_NK_cells	0.27825904546557	T-NK cells
KCNA5	IU_PDA_T4	juxta_ct	Tumor_Epithelial_cells	1.27980671458214	Tumor Epithelial cells
KCNA5	IU_PDA_T4	para_ct	Fibroblasts	0.739072277403041	Fibroblasts
KCNA5	IU_PDA_T4	para_ct	Monocytes	0.826784339104978	Monocytes
KCNA5	IU_PDA_T4	para_ct	B_cells	0.980720183294586	B cells
KCNA5	IU_PDA_T4	para_ct	TAM	0.76962148064786	TAM
KCNA5	IU_PDA_T4	para_ct	Hepatocytes	0.764022445240247	Hepatocytes
KCNA5	IU_PDA_T4	para_ct	Endothelial_cells	1.32576197088738	Endothelial cells
KCNA5	IU_PDA_T4	para_ct	PVL	0.830202786180579	PVL
KCNA5	IU_PDA_T4	para_ct	T_NK_cells	0.746424061427349	T-NK cells
KCNA5	IU_PDA_T4	para_ct	Tumor_Epithelial_cells	0.64618569387006	Tumor Epithelial cells
KCNA5	IU_PDA_T6	intra	Fibroblasts	0.828558400134256	Fibroblasts
KCNA5	IU_PDA_T6	intra	Monocytes	7.25374094420805e-05	Monocytes
KCNA5	IU_PDA_T6	intra	TAM	0.302702029758222	TAM
KCNA5	IU_PDA_T6	intra	Endothelial_cells	4.07861590290803e-06	Endothelial cells
KCNA5	IU_PDA_T6	intra	PVL	9.01346306896682e-07	PVL
KCNA5	IU_PDA_T6	intra	Normal_Epithelial_cells	0.000137783606947625	Normal Epithelial cells
KCNA5	IU_PDA_T6	intra	Tumor_Epithelial_cells	0.92019004143885	Tumor Epithelial cells
KCNA5	IU_PDA_T6	juxta_ct	Fibroblasts	0.886461757217951	Fibroblasts
KCNA5	IU_PDA_T6	juxta_ct	Monocytes	0.000449602841125896	Monocytes
KCNA5	IU_PDA_T6	juxta_ct	TAM	0.467403513068663	TAM
KCNA5	IU_PDA_T6	juxta_ct	Endothelial_cells	4.65362879351e-05	Endothelial cells
KCNA5	IU_PDA_T6	juxta_ct	PVL	1.01203735982386e-05	PVL
KCNA5	IU_PDA_T6	juxta_ct	Normal_Epithelial_cells	0.000275778824426352	Normal Epithelial cells
KCNA5	IU_PDA_T6	juxta_ct	Tumor_Epithelial_cells	0.819618109309766	Tumor Epithelial cells
KCNA5	IU_PDA_T6	para_ct	Fibroblasts	0.46176301658414	Fibroblasts
KCNA5	IU_PDA_T6	para_ct	Monocytes	0.607920179074601	Monocytes
KCNA5	IU_PDA_T6	para_ct	TAM	0.551258679242287	TAM
KCNA5	IU_PDA_T6	para_ct	Endothelial_cells	0.754649538421888	Endothelial cells
KCNA5	IU_PDA_T6	para_ct	PVL	0.487364483901813	PVL
KCNA5	IU_PDA_T6	para_ct	Normal_Epithelial_cells	0.512733726644861	Normal Epithelial cells
KCNA5	IU_PDA_T6	para_ct	Tumor_Epithelial_cells	0.493461553430556	Tumor Epithelial cells
KCNA5	IU_PDA_T9	intra	Fibroblasts	1.31220836603062	Fibroblasts
KCNA5	IU_PDA_T9	intra	Monocytes	0.753792155682887	Monocytes
KCNA5	IU_PDA_T9	intra	B_cells	0.00123334625647917	B cells
KCNA5	IU_PDA_T9	intra	TAM	0.464723482739397	TAM
KCNA5	IU_PDA_T9	intra	Endothelial_cells	0.162029611980227	Endothelial cells
KCNA5	IU_PDA_T9	intra	PVL	0.179077857443585	PVL
KCNA5	IU_PDA_T9	intra	T_NK_cells	0.00137447439927028	T-NK cells
KCNA5	IU_PDA_T9	intra	Tumor_Epithelial_cells	0.844431887229263	Tumor Epithelial cells
KCNA5	IU_PDA_T9	juxta_ct	Fibroblasts	1.13507457587054	Fibroblasts
KCNA5	IU_PDA_T9	juxta_ct	Monocytes	0.670500737285064	Monocytes
KCNA5	IU_PDA_T9	juxta_ct	B_cells	0.221044715141781	B cells
KCNA5	IU_PDA_T9	juxta_ct	TAM	0.638824225495938	TAM
KCNA5	IU_PDA_T9	juxta_ct	Endothelial_cells	0.233788885198241	Endothelial cells
KCNA5	IU_PDA_T9	juxta_ct	PVL	0.270114058794176	PVL
KCNA5	IU_PDA_T9	juxta_ct	T_NK_cells	0.115519149426013	T-NK cells
KCNA5	IU_PDA_T9	juxta_ct	Tumor_Epithelial_cells	0.9149093965427	Tumor Epithelial cells
KCNA5	IU_PDA_T9	para_ct	Fibroblasts	0.612664843533582	Fibroblasts
KCNA5	IU_PDA_T9	para_ct	Monocytes	0.596753574379766	Monocytes
KCNA5	IU_PDA_T9	para_ct	B_cells	0.689579802237785	B cells
KCNA5	IU_PDA_T9	para_ct	TAM	0.589457818360594	TAM
KCNA5	IU_PDA_T9	para_ct	Endothelial_cells	0.606515607750914	Endothelial cells
KCNA5	IU_PDA_T9	para_ct	PVL	0.711139365625789	PVL
KCNA5	IU_PDA_T9	para_ct	T_NK_cells	0.523432444445555	T-NK cells
KCNA5	IU_PDA_T9	para_ct	Tumor_Epithelial_cells	0.712052364916641	Tumor Epithelial cells
KCNAB1	IU_PDA_T1	intra	Fibroblasts	1.29548184702586	Fibroblasts
KCNAB1	IU_PDA_T1	intra	Monocytes	0.277144933895605	Monocytes
KCNAB1	IU_PDA_T1	intra	B_cells	0.00244602773121796	B cells
KCNAB1	IU_PDA_T1	intra	TAM	0.735307361224522	TAM
KCNAB1	IU_PDA_T1	intra	Hepatocytes	1.17985035487147e-05	Hepatocytes
KCNAB1	IU_PDA_T1	intra	Endothelial_cells	7.09225926853092e-05	Endothelial cells
KCNAB1	IU_PDA_T1	intra	PVL	1.03151543295167e-05	PVL
KCNAB1	IU_PDA_T1	intra	T_NK_cells	3.75579884288454e-05	T-NK cells
KCNAB1	IU_PDA_T1	intra	Tumor_Epithelial_cells	0.417523974477416	Tumor Epithelial cells
KCNAB1	IU_PDA_T1	juxta_ct	Fibroblasts	1.15865623878586	Fibroblasts
KCNAB1	IU_PDA_T1	juxta_ct	Monocytes	0.135278643711637	Monocytes
KCNAB1	IU_PDA_T1	juxta_ct	B_cells	0.629639709342032	B cells
KCNAB1	IU_PDA_T1	juxta_ct	TAM	1.16357662833909	TAM
KCNAB1	IU_PDA_T1	juxta_ct	Hepatocytes	4.38139898509532e-06	Hepatocytes
KCNAB1	IU_PDA_T1	juxta_ct	Endothelial_cells	0.173753142879422	Endothelial cells
KCNAB1	IU_PDA_T1	juxta_ct	PVL	9.15183972333501e-05	PVL
KCNAB1	IU_PDA_T1	juxta_ct	T_NK_cells	0.00015272531247769	T-NK cells
KCNAB1	IU_PDA_T1	juxta_ct	Tumor_Epithelial_cells	0.467396635108577	Tumor Epithelial cells
KCNAB1	IU_PDA_T1	para_ct	Fibroblasts	0.400315425608779	Fibroblasts
KCNAB1	IU_PDA_T1	para_ct	Monocytes	0.611026658299591	Monocytes
KCNAB1	IU_PDA_T1	para_ct	B_cells	0.689932562066406	B cells
KCNAB1	IU_PDA_T1	para_ct	TAM	0.84228961232276	TAM
KCNAB1	IU_PDA_T1	para_ct	Hepatocytes	0.665345237063016	Hepatocytes
KCNAB1	IU_PDA_T1	para_ct	Endothelial_cells	0.488686074239481	Endothelial cells
KCNAB1	IU_PDA_T1	para_ct	PVL	0.473927536765762	PVL
KCNAB1	IU_PDA_T1	para_ct	T_NK_cells	0.649049470118426	T-NK cells
KCNAB1	IU_PDA_T1	para_ct	Tumor_Epithelial_cells	0.710095446039151	Tumor Epithelial cells
KCNAB1	IU_PDA_T11	intra	Fibroblasts	4.13087328962127	Fibroblasts
KCNAB1	IU_PDA_T11	intra	Monocytes	0.176466603563647	Monocytes
KCNAB1	IU_PDA_T11	intra	B_cells	0.00920797422126238	B cells
KCNAB1	IU_PDA_T11	intra	TAM	2.01154111812852	TAM
KCNAB1	IU_PDA_T11	intra	Endothelial_cells	0.161439026968976	Endothelial cells
KCNAB1	IU_PDA_T11	intra	PVL	0.488118327700908	PVL
