target_gene	orig.ident	measure	value
KCNAB1	IU_PDA_T3	gain.R2	-0.070701196746795
KCNAB1	IU_PDA_T4	intra.RMSE	0.0489636094548908
KCNAB1	IU_PDA_T4	intra.R2	0
KCNAB1	IU_PDA_T4	multi.RMSE	0.0489650305167617
KCNAB1	IU_PDA_T4	multi.R2	0
KCNAB1	IU_PDA_T4	p.RMSE	0.50011193214718
KCNAB1	IU_PDA_T4	p.R2	1
KCNAB1	IU_PDA_T4	gain.RMSE	1.42106187090568e-06
KCNAB1	IU_PDA_T4	gain.R2	0
KCNAB1	IU_PDA_T6	intra.RMSE	0.0745730058392593
KCNAB1	IU_PDA_T6	intra.R2	0.00220192948790388
KCNAB1	IU_PDA_T6	multi.RMSE	0.0745703404176302
KCNAB1	IU_PDA_T6	multi.R2	0.0028761140550837
KCNAB1	IU_PDA_T6	p.RMSE	0.499898160881784
KCNAB1	IU_PDA_T6	p.R2	0.428644280311996
KCNAB1	IU_PDA_T6	gain.RMSE	-2.66542162910555e-06
KCNAB1	IU_PDA_T6	gain.R2	0.00067418456717982
KCNAB1	IU_PDA_T8	intra.RMSE	0.0278992553415697
KCNAB1	IU_PDA_T8	intra.R2	0
KCNAB1	IU_PDA_T8	multi.RMSE	0.0278952713736521
KCNAB1	IU_PDA_T8	multi.R2	0
KCNAB1	IU_PDA_T8	p.RMSE	0.499858543964043
KCNAB1	IU_PDA_T8	p.R2	1
KCNAB1	IU_PDA_T8	gain.RMSE	-3.98396791759931e-06
KCNAB1	IU_PDA_T8	gain.R2	0
KCNAB1	IU_PDA_T9	intra.RMSE	0.0662407192006018
KCNAB1	IU_PDA_T9	intra.R2	0.688132632759202
KCNAB1	IU_PDA_T9	multi.RMSE	0.0662593156122613
KCNAB1	IU_PDA_T9	multi.R2	0.66171098612158
KCNAB1	IU_PDA_T9	p.RMSE	0.500566959851443
KCNAB1	IU_PDA_T9	p.R2	0.517245467297596
KCNAB1	IU_PDA_T9	gain.RMSE	1.85964116594939e-05
KCNAB1	IU_PDA_T9	gain.R2	-0.026421646637622
KCNAB2	IU_PDA_T1	intra.RMSE	0.123473302890279
KCNAB2	IU_PDA_T1	intra.R2	0.160747172120477
KCNAB2	IU_PDA_T1	multi.RMSE	0.123438441909573
KCNAB2	IU_PDA_T1	multi.R2	0.163169558926806
KCNAB2	IU_PDA_T1	p.RMSE	0.499002280748557
KCNAB2	IU_PDA_T1	p.R2	0.495874264985565
KCNAB2	IU_PDA_T1	gain.RMSE	-3.48609807060002e-05
KCNAB2	IU_PDA_T1	gain.R2	0.002422386806329
KCNAB2	IU_PDA_T10	intra.RMSE	0.179583916525913
KCNAB2	IU_PDA_T10	intra.R2	0.0241563475919815
KCNAB2	IU_PDA_T10	multi.RMSE	0.179566415024555
KCNAB2	IU_PDA_T10	multi.R2	0.0286953022759917
KCNAB2	IU_PDA_T10	p.RMSE	0.499283776567933
KCNAB2	IU_PDA_T10	p.R2	0.442977790965019
KCNAB2	IU_PDA_T10	gain.RMSE	-1.7501501357986e-05
KCNAB2	IU_PDA_T10	gain.R2	0.0045389546840102
KCNAB2	IU_PDA_T11	intra.RMSE	0.185171073703831
KCNAB2	IU_PDA_T11	intra.R2	0.964837117457564
KCNAB2	IU_PDA_T11	multi.RMSE	0.185207112564164
KCNAB2	IU_PDA_T11	multi.R2	0.869425193646116
KCNAB2	IU_PDA_T11	p.RMSE	0.50115372661095
KCNAB2	IU_PDA_T11	p.R2	0.596360789569846
KCNAB2	IU_PDA_T11	gain.RMSE	3.60388603329875e-05
KCNAB2	IU_PDA_T11	gain.R2	-0.0954119238114479
KCNAB2	IU_PDA_T12	intra.RMSE	0.401896142490347
KCNAB2	IU_PDA_T12	intra.R2	2.17758201288759
KCNAB2	IU_PDA_T12	multi.RMSE	0.397608143921844
KCNAB2	IU_PDA_T12	multi.R2	4.24953725173831
KCNAB2	IU_PDA_T12	p.RMSE	0.015811665236258
KCNAB2	IU_PDA_T12	p.R2	0.0212859252516105
KCNAB2	IU_PDA_T12	gain.RMSE	-0.00428799856850298
KCNAB2	IU_PDA_T12	gain.R2	2.07195523885072
KCNAB2	IU_PDA_T2	intra.RMSE	0.156098643515393
KCNAB2	IU_PDA_T2	intra.R2	0.142482492312319
KCNAB2	IU_PDA_T2	multi.RMSE	0.156011286192675
KCNAB2	IU_PDA_T2	multi.R2	0.29618827935598
KCNAB2	IU_PDA_T2	p.RMSE	0.496924642002479
KCNAB2	IU_PDA_T2	p.R2	0.2469768234547
KCNAB2	IU_PDA_T2	gain.RMSE	-8.73573227179736e-05
KCNAB2	IU_PDA_T2	gain.R2	0.153705787043661
KCNAB2	IU_PDA_T3	intra.RMSE	0.263131528168242
KCNAB2	IU_PDA_T3	intra.R2	0.359467074762618
KCNAB2	IU_PDA_T3	multi.RMSE	0.263032843226751
KCNAB2	IU_PDA_T3	multi.R2	0.432369823448058
KCNAB2	IU_PDA_T3	p.RMSE	0.494395539957538
KCNAB2	IU_PDA_T3	p.R2	0.321411216975029
KCNAB2	IU_PDA_T3	gain.RMSE	-9.86849414909563e-05
KCNAB2	IU_PDA_T3	gain.R2	0.07290274868544
KCNAB2	IU_PDA_T4	intra.RMSE	0.182111670135556
KCNAB2	IU_PDA_T4	intra.R2	0.117452507967601
KCNAB2	IU_PDA_T4	multi.RMSE	0.181727501105845
KCNAB2	IU_PDA_T4	multi.R2	0.425776429313094
KCNAB2	IU_PDA_T4	p.RMSE	0.479055209520906
KCNAB2	IU_PDA_T4	p.R2	0.00801821775303275
KCNAB2	IU_PDA_T4	gain.RMSE	-0.000384169029710973
KCNAB2	IU_PDA_T4	gain.R2	0.308323921345493
KCNAB2	IU_PDA_T6	intra.RMSE	0.201433741780085
KCNAB2	IU_PDA_T6	intra.R2	0.10130803991635
KCNAB2	IU_PDA_T6	multi.RMSE	0.201035197274121
KCNAB2	IU_PDA_T6	multi.R2	0.406234862977566
KCNAB2	IU_PDA_T6	p.RMSE	0.477901701579587
KCNAB2	IU_PDA_T6	p.R2	0.0451087786877287
KCNAB2	IU_PDA_T6	gain.RMSE	-0.000398544505963994
KCNAB2	IU_PDA_T6	gain.R2	0.304926823061216
KCNAB2	IU_PDA_T8	intra.RMSE	0.190029864630104
KCNAB2	IU_PDA_T8	intra.R2	0.279936090645438
