target_gene	orig.ident	n_spots	n_positive_spots	mean_target	sd_target	n_predictors_used	predictors_removed
KCND2	IU_PDA_T8	3779	50	0.00981480541853566	0.0861161172326963	8	Normal Epithelial cells; T-NK cells
KCND2	IU_PDA_T9	3526	66	0.0133193730122748	0.0971419291699946	8	Hepatocytes; Normal Epithelial cells
KCND3	IU_PDA_T1	3530	68	0.0142713113719381	0.103445620452007	9	Normal Epithelial cells
KCND3	IU_PDA_T10	2714	38	0.00985447972342892	0.0830672411233987	8	Hepatocytes; Normal Epithelial cells
KCND3	IU_PDA_T11	2777	80	0.0215743214382375	0.127511001591782	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCND3	IU_PDA_T12	3642	495	0.101599678206784	0.261787158413615	9	Hepatocytes
KCND3	IU_PDA_T2	4118	72	0.0124145197485771	0.0936889222236594	10	
KCND3	IU_PDA_T3	4354	162	0.0280760268450256	0.1463484792877	8	Hepatocytes; Normal Epithelial cells
KCND3	IU_PDA_T4	3621	32	0.0061255757464563	0.0648811638456722	9	Normal Epithelial cells
KCND3	IU_PDA_T6	3397	140	0.0303532997880531	0.149278141559677	7	B cells; Hepatocytes; T-NK cells
KCND3	IU_PDA_T8	3779	65	0.0126734116150182	0.0972190772888993	8	Normal Epithelial cells; T-NK cells
KCND3	IU_PDA_T9	3526	342	0.0716970527320483	0.222941616425883	8	Hepatocytes; Normal Epithelial cells
KCNE4	IU_PDA_T1	3530	288	0.0618315468708899	0.212221386925217	9	Normal Epithelial cells
KCNE4	IU_PDA_T10	2714	114	0.0306092224262769	0.14808494933208	8	Hepatocytes; Normal Epithelial cells
KCNE4	IU_PDA_T11	2777	174	0.0474910129239983	0.189917736386074	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNE4	IU_PDA_T12	3642	994	0.21862151477869	0.372959358406123	9	Hepatocytes
KCNE4	IU_PDA_T2	4118	194	0.0336389519450488	0.152553364108637	10	
KCNE4	IU_PDA_T3	4354	303	0.0503759464116106	0.186792592440306	8	Hepatocytes; Normal Epithelial cells
KCNE4	IU_PDA_T4	3621	97	0.0187921034881334	0.113675659193575	9	Normal Epithelial cells
KCNE4	IU_PDA_T6	3397	353	0.0783122899259229	0.236082680694545	7	B cells; Hepatocytes; T-NK cells
KCNE4	IU_PDA_T8	3779	107	0.0216334486208819	0.130148103090333	8	Normal Epithelial cells; T-NK cells
KCNE4	IU_PDA_T9	3526	361	0.0753322132076721	0.227028757466087	8	Hepatocytes; Normal Epithelial cells
KCNJ15	IU_PDA_T1	3530	45	0.00941046704411851	0.0840668268685592	9	Normal Epithelial cells
KCNJ15	IU_PDA_T10	2714	28	0.00748872947220067	0.0753669429916951	8	Hepatocytes; Normal Epithelial cells
KCNJ15	IU_PDA_T11	2777	55	0.0141661830230902	0.1005158044321	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNJ15	IU_PDA_T12	3642	798	0.176689166781195	0.349260316578926	9	Hepatocytes
KCNJ15	IU_PDA_T2	4118	427	0.0772853025768983	0.232152795669163	10	
KCNJ15	IU_PDA_T3	4354	223	0.0367507502772323	0.159979402552126	8	Hepatocytes; Normal Epithelial cells
KCNJ15	IU_PDA_T4	3621	58	0.0115505100538275	0.0914722514424287	9	Normal Epithelial cells
KCNJ15	IU_PDA_T6	3397	356	0.0788244016327492	0.235933917145629	7	B cells; Hepatocytes; T-NK cells
KCNJ15	IU_PDA_T8	3779	125	0.0239693743359138	0.13130730976753	8	Normal Epithelial cells; T-NK cells
KCNJ15	IU_PDA_T9	3526	292	0.0602432845690731	0.203268538884167	8	Hepatocytes; Normal Epithelial cells
