target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNAB2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	28.3179282916869	3
KCNAB2	para_ct	PVL	PVL	19.2878469798769	10
KCNAB2	para_ct	TAM	TAM	19.7009350200321	10
KCNAB2	para_ct	T_NK_cells	T-NK cells	20.88365205484	7
KCNAB2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.4936254240914	10
KCNB1	intra	B_cells	B cells	0.831185580449101	7
KCNB1	intra	Endothelial_cells	Endothelial cells	0.378757324106204	7
KCNB1	intra	Fibroblasts	Fibroblasts	1.78026035621548	7
KCNB1	intra	Hepatocytes	Hepatocytes	7.802750879729e-06	2
KCNB1	intra	Monocytes	Monocytes	0.227433702998319	7
KCNB1	intra	Normal_Epithelial_cells	Normal Epithelial cells	9.24704743525353e-05	2
KCNB1	intra	PVL	PVL	0.197077443255744	7
KCNB1	intra	TAM	TAM	1.09965919976641	7
KCNB1	intra	T_NK_cells	T-NK cells	0.000777406118336826	6
KCNB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.28534818307621	7
KCNB1	juxta_ct	B_cells	B cells	0.845922420892464	7
KCNB1	juxta_ct	Endothelial_cells	Endothelial cells	0.531189407779046	7
KCNB1	juxta_ct	Fibroblasts	Fibroblasts	1.94161269581187	7
KCNB1	juxta_ct	Hepatocytes	Hepatocytes	1.11405189072905e-05	2
KCNB1	juxta_ct	Monocytes	Monocytes	0.672804874524233	7
KCNB1	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.140258059973095	2
KCNB1	juxta_ct	PVL	PVL	0.368976129895401	7
KCNB1	juxta_ct	TAM	TAM	1.46024244998187	7
KCNB1	juxta_ct	T_NK_cells	T-NK cells	0.113911712564561	6
KCNB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.62178167921001	7
KCNB1	para_ct	B_cells	B cells	1.01037461677387	7
KCNB1	para_ct	Endothelial_cells	Endothelial cells	1.11716812726766	7
KCNB1	para_ct	Fibroblasts	Fibroblasts	1.25055506021121	7
KCNB1	para_ct	Hepatocytes	Hepatocytes	0.449218315331995	2
KCNB1	para_ct	Monocytes	Monocytes	1.14904419057242	7
KCNB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.25406663760235	2
KCNB1	para_ct	PVL	PVL	1.19560971590526	7
KCNB1	para_ct	TAM	TAM	1.16041181248307	7
KCNB1	para_ct	T_NK_cells	T-NK cells	0.682139883353014	6
KCNB1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.17614447881572	7
KCNC4	intra	B_cells	B cells	5.40568000106787	9
KCNC4	intra	Endothelial_cells	Endothelial cells	0.961889798504613	10
KCNC4	intra	Fibroblasts	Fibroblasts	10.9868908705872	10
KCNC4	intra	Hepatocytes	Hepatocytes	0.117342277982847	4
KCNC4	intra	Monocytes	Monocytes	1.97300238752846	10
KCNC4	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.318688770417859	3
KCNC4	intra	PVL	PVL	0.587606313991208	10
KCNC4	intra	TAM	TAM	7.09299261891155	10
KCNC4	intra	T_NK_cells	T-NK cells	0.367049050891007	7
KCNC4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	9.21971797717629	10
KCNC4	juxta_ct	B_cells	B cells	8.59052647577376	9
KCNC4	juxta_ct	Endothelial_cells	Endothelial cells	2.26178689313723	10
KCNC4	juxta_ct	Fibroblasts	Fibroblasts	14.8787696000505	10
KCNC4	juxta_ct	Hepatocytes	Hepatocytes	0.00825366424029601	4
KCNC4	juxta_ct	Monocytes	Monocytes	4.49007058064337	10
KCNC4	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.625783226189864	3
KCNC4	juxta_ct	PVL	PVL	1.11212372245633	10
KCNC4	juxta_ct	TAM	TAM	11.7917746052478	10
KCNC4	juxta_ct	T_NK_cells	T-NK cells	0.812696472166174	7
KCNC4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	13.9988529241831	10
KCNC4	para_ct	B_cells	B cells	9.26599525652949	9
KCNC4	para_ct	Endothelial_cells	Endothelial cells	11.8124134698868	10
KCNC4	para_ct	Fibroblasts	Fibroblasts	12.0577228438671	10
KCNC4	para_ct	Hepatocytes	Hepatocytes	7.57549765954973	4
KCNC4	para_ct	Monocytes	Monocytes	12.013108752366	10
KCNC4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	22.1619176318222	3
KCNC4	para_ct	PVL	PVL	11.6428764445852	10
KCNC4	para_ct	TAM	TAM	11.9572290852938	10
KCNC4	para_ct	T_NK_cells	T-NK cells	8.96575855772148	7
KCNC4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	12.9224327842564	10
KCND2	intra	B_cells	B cells	4.5493556719108	9
KCND2	intra	Endothelial_cells	Endothelial cells	0.72931845959767	10
KCND2	intra	Fibroblasts	Fibroblasts	7.93401673267474	10
KCND2	intra	Hepatocytes	Hepatocytes	0.000657762181301981	4
KCND2	intra	Monocytes	Monocytes	1.3246843237435	10
KCND2	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.0421644923932031	3
KCND2	intra	PVL	PVL	0.120429294533263	10
KCND2	intra	TAM	TAM	5.91666016204781	10
KCND2	intra	T_NK_cells	T-NK cells	0.154306557094879	7
KCND2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.22001738617502	10
KCND2	juxta_ct	B_cells	B cells	6.3099990429368	9
KCND2	juxta_ct	Endothelial_cells	Endothelial cells	1.8482680796641	10
KCND2	juxta_ct	Fibroblasts	Fibroblasts	10.1477270649997	10
KCND2	juxta_ct	Hepatocytes	Hepatocytes	0.0830034649521203	4
KCND2	juxta_ct	Monocytes	Monocytes	2.93356496598763	10
KCND2	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.146312295499412	3
KCND2	juxta_ct	PVL	PVL	0.551039860087436	10
KCND2	juxta_ct	TAM	TAM	8.78893803842304	10
KCND2	juxta_ct	T_NK_cells	T-NK cells	0.541301323483052	7
KCND2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	9.04778980922544	10
KCND2	para_ct	B_cells	B cells	5.96990718502936	9
KCND2	para_ct	Endothelial_cells	Endothelial cells	6.65214046653456	10
KCND2	para_ct	Fibroblasts	Fibroblasts	7.19657034331025	10
KCND2	para_ct	Hepatocytes	Hepatocytes	3.49272181160032	4
KCND2	para_ct	Monocytes	Monocytes	7.21465133441869	10
KCND2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	15.2901782846615	3
KCND2	para_ct	PVL	PVL	6.7374016003193	10
KCND2	para_ct	TAM	TAM	7.02251403329723	10
KCND2	para_ct	T_NK_cells	T-NK cells	6.38818808328677	7
KCND2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	7.08124760829002	10
KCND3	intra	B_cells	B cells	5.8509333173338	9
KCND3	intra	Endothelial_cells	Endothelial cells	1.5793686101657	10
KCND3	intra	Fibroblasts	Fibroblasts	9.62971285850219	10
KCND3	intra	Hepatocytes	Hepatocytes	0.000307650516918923	4
KCND3	intra	Monocytes	Monocytes	2.41952453809857	10
KCND3	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.339338105114008	3
KCND3	intra	PVL	PVL	0.871533257879981	10
KCND3	intra	TAM	TAM	6.1500827458992	10
KCND3	intra	T_NK_cells	T-NK cells	0.651638419435749	7
