module	gene	n_sections	mean_delta	median_delta
KCNMA1_KCNMB1	DEPP1	10	0.0748678966115704	0.051785571898942
KCNMA1_KCNMB1	ITGA7	10	0.0741527826004749	0.0572393394118378
KCNMA1_KCNMB1	GABARAPL1	10	0.0740426695623682	0.0943286045350033
KCNMA1_KCNMB1	COL6A2	10	0.0731745344763341	0.08104934939112
KCNMA1_KCNMB1	CPE	10	0.0721411618624119	0.0902678913854189
KCNMA1_KCNMB1	COL14A1	10	0.0715828296901133	0.0326407417766741
KCNMA1_KCNMB1	NNMT	10	0.0714693788113635	0.0660770468185362
KCNMA1_KCNMB1	PKIG	10	0.0710782158255556	0.0236816476296241
KCNMA1_KCNMB1	MAP1B	10	0.0709245939607586	0.0547519453764418
KCNMA1_KCNMB1	HLA-DPB1	10	0.070453695174189	0.0530069342534887
KCNMA1_KCNMB1	CAVIN3	10	0.0702753364105622	0.0545924081719366
KCNMA1_KCNMB1	PLN	10	0.0700426341209383	0.0612149456505467
KCNMA1_KCNMB1	STOM	10	0.0699857825276226	0.045811829490014
KCNMA1_KCNMB1	CIITA	10	0.0675805257633433	0.0240930984482097
KCNMA1_KCNMB1	COL15A1	10	0.0675530485036214	0.0368249017663173
KCNMA1_KCNMB1	ANTXR1	10	0.0673643233836489	0.0289794916431566
KCNMA1_KCNMB1	ELL2	10	0.0668107630994513	0.0843952664738542
KCNMA1_KCNMB1	ID4	10	0.0666927378673322	0.0367940876124813
KCNMA1_KCNMB1	SVIL	10	0.0663548914115751	0.0309191185948258
KCNMA1_KCNMB1	CTSB	10	0.0661007832234068	0.0437079570911368
KCNMA1_KCNMB1	KCTD12	10	0.065575959067651	0.0987491949111498
KCNMA1_KCNMB1	TMOD1	10	0.0655697469202317	0.0406013386985472
KCNMA1_KCNMB1	C1QTNF1	10	0.0648654124417961	0.0237011081317252
KCNMA1_KCNMB1	CSF1R	10	0.0644892266505895	0.046731749896855
KCNMA1_KCNMB1	CRYAB	10	0.0641945368845591	0.0477482014022099
KCNMA1_KCNMB1	AEBP1	10	0.0639476962900671	0.0280700741768776
KCNMA1_KCNMB1	JPH2	10	0.0639439032997624	0.0416064444452237
KCNMA1_KCNMB1	TSC22D3	10	0.0637218026742652	0.060186457569299
KCNMA1_KCNMB1	DUSP1	10	0.0635669234224467	0.0225041683785284
KCNMA1_KCNMB1	FERMT2	10	0.0633851172064559	0.0492248309753408
KCNMA1_KCNMB1	LMCD1	10	0.0620577367370256	0.0542368403248116
KCNMA1_KCNMB1	PLXDC2	10	0.0619520077089072	0.0572492606985868
KCNMA1_KCNMB1	PMP22	10	0.0618359045022361	0.0635053422343235
KCNMA1_KCNMB1	FOSB	10	0.0616471211495079	0.0562544971226614
KCNMA1_KCNMB1	CCDC80	10	0.061496868930851	0.0573020324197088
KCNMA1_KCNMB1	IGFBP5	10	0.059677433022786	0.075596692036796
KCNMA1_KCNMB1	ATP2B4	10	0.059558684617776	0.0523119869354526
KCNMA1_KCNMB1	CFL2	10	0.0592809386003121	0.0483514642200528
KCNMA1_KCNMB1	FN1	10	0.0587971784688313	0.0511830465883318
KCNMA1_KCNMB1	TBC1D1	10	0.0587085205600117	0.0488694574727511
KCNMA1_KCNMB1	COL4A1	10	0.0586625615002179	0.0105360221650192
KCNMA1_KCNMB1	QKI	10	0.0585524881430815	0.0614607308593189
KCNMA1_KCNMB1	SAMHD1	10	0.0584716855949004	0.0639372402109569
KCNMA1_KCNMB1	KDM3B	10	0.0582466799333539	0.0521341889552416
KCNMA1_KCNMB1	EIF1B	10	0.0581965955256194	0.0358110378987654
KCNMA1_KCNMB1	RGMA	10	0.0578007030395105	0.0125556791680757
KCNMA1_KCNMB1	PEA15	10	0.0577917814605441	0.0276496153874586
KCNMA1_KCNMB1	SMAP2	10	0.056620852990956	0.0493248528765143
KCNMA1_KCNMB1	S1PR3	10	0.0566185112448397	0.0165901335458653
KCNMA1_KCNMB1	DPYSL2	10	0.0565193484670005	0.0559208531410718
KCNMA1_KCNMB1	FXYD6	10	0.056470505731748	0.0393568772130196
KCNMA1_KCNMB1	FOXN3	10	0.0561570084823112	0.033728213521569
KCNMA1_KCNMB1	MUSTN1	10	0.0556116498767273	0.0207363898062336
KCNMA1_KCNMB1	HLA-DMB	10	0.0554086924255021	0.0582206299908146
KCNMA1_KCNMB1	C7	10	0.0545540131796808	0.061830810198941
KCNMA1_KCNMB1	SERPING1	10	0.0544009713152839	0.0674868592654481
KCNMA1_KCNMB1	CRISPLD2	10	0.0543595009203968	0.0465905105356585
KCNMA1_KCNMB1	SDC3	10	0.0542773643636081	0.0557355502608263
KCNMA1_KCNMB1	STAB1	10	0.0542322806118828	0.0454360339443206
KCNMA1_KCNMB1	PTN	10	0.0539100008650597	0.0279849272866783
KCNMA1_KCNMB1	CD99	10	0.0535757103858692	0.0106509716229039
KCNMA1_KCNMB1	ALDH1B1	10	0.0534710610898395	0.0231100699061474
KCNMA1_KCNMB1	PRUNE2	10	0.0534653243475741	0.0137688359072604
KCNMA1_KCNMB1	HSPG2	10	0.0533939284193019	0.0321653506012707
KCNMA1_KCNMB1	ZBTB4	10	0.053362447054114	0.059186497690925
KCNMA1_KCNMB1	CD14	10	0.0530972225783585	0.0473199954336224
