pathway	pval	padj	log2err	ES	NES	size	leadingEdge	module	components
HALLMARK_MITOTIC_SPINDLE	0.343520782396088	0.418927783409863	0.0730744399126987	-0.337532477937424	-1.05549329240126	192	EZR;ACTN4;FLNB;CYTH2;NET1;NUMA1;MAPRE1;ABI1;AKAP13;RASA2;TUBA4A;FSCN1;CD2AP;SPTBN1;TBCD;MYO1E;STAU1;CSNK1D;RASA1;PLEKHG2;KIF5B;INCENP;STK38L;CTTN;ARAP3;PRC1;RAB3GAP1;FGD4;ROCK1;PPP4R2;ECT2;SMC1A;SEPTIN9;KIF11;FARP1;KLC1;ATG4B;RHOF;MAP3K11;ARHGEF12;RICTOR;MYO9B;TOP2A;CEP192;LMNB1;CLIP2;CDC42EP2;RAPGEF5;WASF2;ABR;CENPE;NDC80;BCAR1;CDC42EP4;RALBP1;RASAL2;KIF1B;NOTCH2;BUB1;TUBGCP5;NIN;TUBGCP2;ARHGEF3;ANLN;PXN;EPB41;SSH2;NCK1;UXT;CNTRL	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_APICAL_SURFACE	0.367952522255193	0.438038716970468	0.0795564677235957	-0.41589864990829	-1.07328874863114	44	PLAUR;FLOT2;IL2RG;DCBLD2;APP;NCOA6;EPHB4;ADIPOR2;GATA3;PKHD1	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.395095367847411	0.459413218427223	0.0714786287425507	-0.365372075675463	-1.05100083341039	97	SLC2A1;PAK4;RAC1;MAP2K3;ARPC3;ACACA;GRK2;IL2RG;AP2M1;SQSTM1;MYD88;TRAF2;MKNK2;IRAK4;RALB;CDKN1B;NFKBIB;CALR;TSC2;HRAS;AKT1;PLA2G12A;ARF1;PFN1;DDIT3;PIK3R3;PRKAG1;E2F1;ECSIT;PIKFYVE;MAPK1;PTEN;EIF4E;PPP1CA;NCK1;CAMK4	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_HEME_METABOLISM	0.519900497512438	0.590796019900498	0.0538979025357319	-0.314541601163209	-0.97629347312729	180	PDZK1IP1;CTSE;CAST;SLC2A1;HDGF;SDCBP;RIOK3;MAP2K3;RAP1GAP;LRP10;SMOX;BSG;CA2;YPEL5;BCAM;CCND3;GMPS;TFRC;SELENBP1;CDR2;ANK1;C3;DCAF11;PGLS;LPIN2;MKRN1;AQP3;NARF;ATG4A;RAD23A;IGSF3;UCP2;BLVRB;BMP2K;ARHGEF12;CPOX;MGST3;ABCB6;NEK7;RCL1;PIGQ;LAMP2	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_KRAS_SIGNALING_DN	0.60757946210269	0.675088291225211	0.0459538081039063	-0.300507634143733	-0.939713399114396	192	TFF2;GTF3C5;TFCP2L1;LFNG;KRT5;CPB1;TGFB2;CPA2;FGFR3;GP2;KRT13;MFSD6;CLSTN3;GPRC5C;SERPINB2;IDUA;KMT2D;KRT4;KRT1;SLC6A14;VPS50;SPRR3;SNN;HTR1D	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_INFLAMMATORY_RESPONSE	0.676300578034682	0.719468700036896	0.12563992130984	0.257967808867628	0.913487309322358	198	RGS16;INHBA;ITGA5;CD14;SERPINE1;CDKN1A;TIMP1;STAB1;SCN1B;SPHK1;IL10RA;CCL22;NFKB1;CHST2;RGS1;PTGER4;APLNR;RAF1;ICAM1;ADRM1;CCL5;GPR132;KCNMB2;SGMS2;GNA15;SLC7A2;GABBR1;SLC31A1;C5AR1;CCL2;OSM;OLR1;CSF3R;LPAR1;TLR2;LCP2;SEMA4D;GPC3;SRI;PDPN;CX3CL1;BTG2;CALCRL;PTGIR;HBEGF;MSR1;MARCO;ITGB3;IL1R1;NLRP3	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.676136363636364	0.719468700036896	0.047925896705813	-0.317920539556791	-0.890719415910103	83	REG1A;TNFRSF21;CD44;JUN;IFNAR1;IFNGR2;IL2RG;TNFRSF12A;MYD88;IRF1;TGFB1;STAM2;PIM1	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_BILE_ACID_METABOLISM	0.695478723404255	0.724457003546099	0.0436251240000606	-0.304767570821081	-0.890839347714419	109	PRDX5;IDI1;SOD1;RBP1;TFCP2L1;DHCR24;SCP2;ALDH9A1;SLC29A1;HSD17B11;GNPAT;GSTK1;LONP2;SLC23A2;ACSL5;HSD3B7	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.759036144578313	0.774526678141136	0.0453152441270267	-0.317217545821845	-0.810795618516209	42	MYC;CTNNB1;JAG1;CSNK1E;MAML1;KAT2A;NCSTN;HDAC2;AXIN2;TP53;NOTCH1;DVL2;PTCH1	KCNMA1_KCNMB4	KCNMA1+KCNMB4
HALLMARK_SPERMATOGENESIS	0.927461139896373	0.927461139896373	0.0287861460642093	-0.255370660232891	-0.759661830121282	127	MTOR;CFTR;MAP7;ARL4A;PHKG2;STAM2;EZH2;MLLT10;ZC3H14;SIRT1;TOPBP1;PIAS2;RAD17;TSN;MAST2;DBF4;BUB1;SLC12A2	KCNMA1_KCNMB4	KCNMA1+KCNMB4
