pathway	n_genes_defined	n_genes_in_input_assay	genes_present	genes_missing
Cancer_associated_fibroblasts	21	21	ACTA2, CD248, COL11A1, COL1A1, COL1A2, COL5A1, COL6A1, COL6A2, COL6A3, CXCL12, FAP, FBLN1, FGF2, FN1, LRP1, LUM, MFAP5, MMP2, MMP3, PDGFRA, PDGFRB	
Matrix	15	14	COL11A1, COL1A1, COL1A2, COL3A1, COL4A1, COL5A1, ELN, FN1, LAMA3, LAMB3, LAMC2, LGALS7, TNC, VTN	LGALS9
Matrix_remodeling	12	12	ADAMTS4, ADAMTS5, CA9, LOX, MMP1, MMP11, MMP12, MMP2, MMP3, MMP7, MMP9, PLOD2	
NK_cells	10	9	NKG7, GNLY, PRF1, KLRD1, CTSW, XCL1, FCGR3A, TYROBP, TRAC	XCL2
myCAF_contractile	11	11	ACTA2, TAGLN, ACTG2, MYL9, CNN1, DES, PDLIM3, THBS1, CCN2, COL12A1, POSTN	
tumor_stress_secretory	10	10	LCN2, SLPI, S100A10, S100P, MMP7, SPINK1, CEACAM5, MSLN, KRT20, KRT23	
