pathway	orig.ident	mean_score_scaled	median_score_scaled	max_score_scaled
Cancer_associated_fibroblasts	IU_PDA_T1	0.712721358438318	0.743201451675447	2.24819894388382
Cancer_associated_fibroblasts	IU_PDA_T10	-0.134785465433546	-0.151809008353847	1.85632926521952
Cancer_associated_fibroblasts	IU_PDA_T11	1.01570470552201	1.16772004057233	2.28628124361056
Cancer_associated_fibroblasts	IU_PDA_T12	1.61898217945563	1.69123694981256	2.4692969177493
Cancer_associated_fibroblasts	IU_PDA_T2	0.582512117543096	0.631235170603343	1.9852990719432
Cancer_associated_fibroblasts	IU_PDA_T3	0.992288845608768	1.1679932844959	2.38078369216545
Cancer_associated_fibroblasts	IU_PDA_T4	0.430073336081062	0.412083985922081	2.14455830128526
Cancer_associated_fibroblasts	IU_PDA_T6	0.954568687162842	1.02314957782915	2.60776416501851
Cancer_associated_fibroblasts	IU_PDA_T8	-0.116609713337205	-0.0989913965419828	1.69198461173697
Cancer_associated_fibroblasts	IU_PDA_T9	1.36231762510839	1.44663721493058	2.49454870287275
Matrix	IU_PDA_T1	0.117530389732421	0.0864320612298101	1.87724326163454
Matrix	IU_PDA_T10	-0.168563153495067	-0.111071316065284	1.44403572323796
Matrix	IU_PDA_T11	0.620790333320839	0.66062344906603	2.11665952480465
Matrix	IU_PDA_T12	0.85157302473704	0.866859655172258	1.97981024173059
Matrix	IU_PDA_T2	0.366237980763227	0.377833555373899	1.70056625182884
Matrix	IU_PDA_T3	0.336349520542209	0.401724097443195	2.25146991068799
Matrix	IU_PDA_T4	0.488687728841864	0.524394124759041	1.95497934103762
Matrix	IU_PDA_T6	0.690463034746353	0.772914073923545	2.08455606775463
Matrix	IU_PDA_T8	-0.081048829531293	-0.0308304797673529	1.78240759871272
Matrix	IU_PDA_T9	0.512673664166274	0.501104921244687	2.27910447074566
Matrix_remodeling	IU_PDA_T1	0.166713684533952	0.0979539282834137	2.74400695006832
Matrix_remodeling	IU_PDA_T10	-0.263304933952909	-0.339348907674311	2.98762450579726
Matrix_remodeling	IU_PDA_T11	0.961373384380303	0.986178013754643	3.53041564177109
Matrix_remodeling	IU_PDA_T12	1.25496256578918	1.28924697995508	4.1733775693421
Matrix_remodeling	IU_PDA_T2	0.419584631787518	0.446297169415075	3.06539490675814
Matrix_remodeling	IU_PDA_T3	0.248599961190426	0.165963463833064	3.13921680452487
Matrix_remodeling	IU_PDA_T4	0.381979775706587	0.319109458367929	3.81136309849141
Matrix_remodeling	IU_PDA_T6	1.88730220137988	2.009673887436	4.63243841246609
Matrix_remodeling	IU_PDA_T8	-0.0204742447635471	-0.133720197323741	3.3116414808306
Matrix_remodeling	IU_PDA_T9	0.516983156972782	0.472746674526709	3.08905627912407
NK_cells	IU_PDA_T1	0.10682411333763	-0.26724442058438	3.28049752197143
NK_cells	IU_PDA_T10	0.359252430504755	0.198212657928112	4.37684252654815
NK_cells	IU_PDA_T11	-0.0637215785403077	-0.200434504867471	3.89193471063604
NK_cells	IU_PDA_T12	0.279236488956813	0.322013765393521	3.47162567745925
NK_cells	IU_PDA_T2	-0.162286096323009	-0.366631093836094	2.63060074715805
NK_cells	IU_PDA_T3	0.399392486718912	0.474888383441552	4.55653864230156
NK_cells	IU_PDA_T4	0.204483194920133	0.198128941469539	3.45582570729735
NK_cells	IU_PDA_T6	-0.680161555464325	-0.656203361474327	2.53088347718787
NK_cells	IU_PDA_T8	-0.0591513251609456	-0.290706007273493	3.08040863193126
NK_cells	IU_PDA_T9	0.0294493788299405	-0.153261085764025	3.88105898597411
myCAF_contractile	IU_PDA_T1	0.648758220422593	0.669669745972619	2.08017040050865
myCAF_contractile	IU_PDA_T10	-0.315848276758819	-0.358396546884983	1.82637037031883
myCAF_contractile	IU_PDA_T11	1.20937549338603	1.38656993374175	2.14876623945211
myCAF_contractile	IU_PDA_T12	1.11355205621818	1.12400795490681	1.91223989488751
myCAF_contractile	IU_PDA_T2	0.410927042927821	0.497910230932422	1.82970809670964
myCAF_contractile	IU_PDA_T3	0.817342003820682	0.946321629346851	1.95124780536246
myCAF_contractile	IU_PDA_T4	-0.00307873238185646	-0.0105419984509437	1.86362574132287
myCAF_contractile	IU_PDA_T6	0.852887582404618	0.954229163212546	2.04886032602372
myCAF_contractile	IU_PDA_T8	-0.236598675802596	-0.219488669639952	1.70278935927966
myCAF_contractile	IU_PDA_T9	1.14780564568215	1.16192562835146	2.08760720358564
