pathway	n_sections	n_fdr_lt_0_05	median_rho	max_rho
Cancer_associated_fibroblasts	10	10	0.153825371195635	0.246243628857429
Matrix	10	10	0.112004591732426	0.291707565436477
Matrix_remodeling	10	10	0.116278172265789	0.183992559534966
NK_cells	10	5	-0.00212811431468133	0.0823703487338115
myCAF_contractile	10	10	0.147473492384552	0.402041315400964
