target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNK17	PABPC4	3	0	3	-0.138856716640943	-0.132654157940803	0.18144920772142	0.758503862908982
KCNK17	MT1E	3	0	3	-0.138787650056241	-0.104773232886802	0.18144920772142	0.758503862908982
KCNK17	P4HB	3	0	3	-0.137507375477623	-0.0442731047312894	0.18144920772142	0.758503862908982
KCNK17	GADD45B	3	0	3	-0.135495007902355	-0.167403829188704	0.18144920772142	0.758503862908982
KCNK17	TPST2	3	1	2	-0.135095110698561	-0.133983070101242	0.422678074170635	0.869216612247739
KCNK17	PKHD1	3	0	3	-0.135038054152703	-0.110289588314937	0.18144920772142	0.758503862908982
KCNK17	IFRD1	3	0	3	-0.134503988060355	-0.0915364716189548	0.18144920772142	0.758503862908982
KCNK17	KLF6	3	1	2	-0.134207585227693	-0.130664381519738	0.422678074170635	0.869216612247739
KCNK17	MARK3	3	0	3	-0.132441524244951	-0.104349964580391	0.18144920772142	0.758503862908982
KCNK17	CLSTN1	3	0	3	-0.132315101544035	-0.141731193190464	0.18144920772142	0.758503862908982
KCNK3	PDK4	3	0	3	-0.110827472024945	-0.140004150067738	0.18144920772142	0.87785393896529
KCNK3	PGGHG	3	2	1	-0.0992763545467594	0.0172414682818951	1	1
KCNK3	ALB	3	0	3	-0.0917025775476032	-0.0967714446859615	0.18144920772142	0.87785393896529
KCNK3	PNLIPRP1	3	0	3	-0.0915960514499411	-0.0231748752372183	0.18144920772142	0.87785393896529
KCNK3	MAT2A	3	1	2	-0.0870637012798846	-0.0123396788752885	0.789268026134281	1
KCNK3	RBPJL	3	1	2	-0.0860235841575568	-0.0432193368835225	0.422678074170635	0.938984687435668
KCNK3	BRSK2	3	0	3	-0.0754230194941302	-0.0170548331297076	0.18144920772142	0.87785393896529
KCNK3	RNASE1	3	1	2	-0.0716890157236665	-0.0356769846492666	0.422678074170635	0.938984687435668
KCNK3	NME3	3	0	3	-0.0687163666457875	-0.0565609219043501	0.18144920772142	0.87785393896529
KCNK3	OCLN	3	0	3	-0.0684052135796087	-0.0567090115438122	0.18144920772142	0.87785393896529
