target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNAB1	KCNAB1	3	3	0	0.729951070368852	0.718527147175129	0.18144920772142	0.705631388466839
KCNAB1	WARS	3	3	0	0.234020520569418	0.187853143984976	0.18144920772142	0.705631388466839
KCNAB1	ZHX2	3	3	0	0.225192218231696	0.216895034745028	0.18144920772142	0.705631388466839
KCNAB1	SLC9A3R1	3	3	0	0.20807291844282	0.262496838687604	0.18144920772142	0.705631388466839
KCNAB1	COPB2	3	3	0	0.20109290883029	0.115414750482643	0.18144920772142	0.705631388466839
KCNAB1	SNU13	3	2	1	0.199488759365822	0.255305914483354	0.422678074170635	0.827218059995725
KCNAB1	NRP1	3	3	0	0.199420363013447	0.172377478607265	0.18144920772142	0.705631388466839
KCNAB1	SMDT1	3	3	0	0.191333954148249	0.165411791143547	0.18144920772142	0.705631388466839
KCNAB1	MICU1	3	3	0	0.188312341201017	0.197198535228484	0.18144920772142	0.705631388466839
KCNAB1	ATP5F1E	3	3	0	0.187414003024504	0.206916495631038	0.18144920772142	0.705631388466839
KCNAB1	ANGPTL4	3	3	0	0.187102968836749	0.192507815501905	0.18144920772142	0.705631388466839
KCNAB1	DMTN	3	3	0	0.186611193892006	0.164103001171687	0.18144920772142	0.705631388466839
KCNAB1	NCKAP1	3	3	0	0.186000870477417	0.158100500674869	0.18144920772142	0.705631388466839
KCNAB1	MT1HL1	3	3	0	0.185702082691126	0.142450592287347	0.18144920772142	0.705631388466839
KCNAB1	ULK2	3	3	0	0.185225486789314	0.179978194672966	0.18144920772142	0.705631388466839
KCNAB1	CNPY3	3	3	0	0.185074402947555	0.201153938828073	0.18144920772142	0.705631388466839
KCNAB1	ACTA2	3	3	0	0.183989553467352	0.140348279279754	0.18144920772142	0.705631388466839
KCNAB1	NUCB1	3	3	0	0.183787606987388	0.262698715484679	0.18144920772142	0.705631388466839
KCNAB1	C11orf58	3	3	0	0.183582644206957	0.226005739962501	0.18144920772142	0.705631388466839
KCNAB1	CHMP4C	3	3	0	0.182725396478354	0.181397509916677	0.18144920772142	0.705631388466839
KCNAB1	IGFBP7	3	3	0	0.182406371978988	0.137581105948971	0.18144920772142	0.705631388466839
KCNAB1	LAMA5	3	3	0	0.182342499361354	0.212334975161492	0.18144920772142	0.705631388466839
KCNAB1	TENT5C	3	3	0	0.181534035213538	0.210606485536448	0.18144920772142	0.705631388466839
KCNAB1	INTS6	3	3	0	0.181293036126569	0.195918285339505	0.18144920772142	0.705631388466839
KCNAB1	ABCA5	3	3	0	0.179158715902201	0.122018279823066	0.18144920772142	0.705631388466839
KCNAB1	SUPT6H	3	3	0	0.179073809054564	0.20262254616075	0.18144920772142	0.705631388466839
KCNAB1	KCMF1	3	3	0	0.178412230650161	0.19216087499894	0.18144920772142	0.705631388466839
KCNAB1	TXNL4A	3	3	0	0.176543226918827	0.17314643369914	0.18144920772142	0.705631388466839
KCNAB1	ZFAND1	3	3	0	0.17238712557906	0.20709602721185	0.18144920772142	0.705631388466839
KCNAB1	PDE3A	3	3	0	0.170235845299991	0.162444513792747	0.18144920772142	0.705631388466839
KCNAB2	KCNAB2	3	3	0	0.768722942484065	0.755282021937037	0.18144920772142	0.739510772843032
KCNAB2	HSPA1B	3	3	0	0.307526883810517	0.198861209349853	0.18144920772142	0.739510772843032
KCNAB2	QSOX1	3	3	0	0.242712653082223	0.245120487211948	0.18144920772142	0.739510772843032
KCNAB2	TEX2	3	3	0	0.233437853834086	0.201874420954894	0.18144920772142	0.739510772843032
KCNAB2	LYZ	3	3	0	0.218095053756219	0.279089431425753	0.18144920772142	0.739510772843032
KCNAB2	SERPINF1	3	2	1	0.214457783031374	0.258693799112555	0.422678074170635	0.857782168137868
KCNAB2	C11orf58	3	2	1	0.213324614099101	0.214952867197444	0.422678074170635	0.857782168137868
KCNAB2	ATP1B1	3	3	0	0.210792136235488	0.196805731185547	0.18144920772142	0.739510772843032
KCNAB2	ZFP36	3	3	0	0.208622813556397	0.248717223571825	0.18144920772142	0.739510772843032
KCNAB2	KDELR2	3	3	0	0.203029612868048	0.186352074766009	0.18144920772142	0.739510772843032
KCNAB2	CDH1	3	3	0	0.201511160649133	0.178636929361194	0.18144920772142	0.739510772843032
KCNAB2	FOS	3	3	0	0.201276655746431	0.164130217302176	0.18144920772142	0.739510772843032
KCNAB2	SRSF5	3	3	0	0.195836843520294	0.158699512575622	0.18144920772142	0.739510772843032
KCNAB2	HIF1AN	3	3	0	0.186358138469939	0.176835817215635	0.18144920772142	0.739510772843032
KCNAB2	RBPJ	3	2	1	0.183912196275639	0.230867632330924	0.422678074170635	0.857782168137868
KCNAB2	RABAC1	3	3	0	0.182164254022861	0.158991695859994	0.18144920772142	0.739510772843032
KCNAB2	GNB1	3	3	0	0.18208906786242	0.169247666963397	0.18144920772142	0.739510772843032
KCNAB2	INS	3	2	1	0.181465995753918	0.0156809183516549	0.789268026134281	1
KCNAB2	CASC3	3	3	0	0.177148726341629	0.186372706450912	0.18144920772142	0.739510772843032
KCNAB2	PPP1R12C	3	3	0	0.175987317743078	0.199919413338099	0.18144920772142	0.739510772843032
KCNAB2	TAGLN2	3	3	0	0.174367828441937	0.146601505742766	0.18144920772142	0.739510772843032
KCNAB2	RNPS1	3	3	0	0.173683010804303	0.1519835662377	0.18144920772142	0.739510772843032
KCNAB2	UBA52	3	3	0	0.173130043933788	0.0974817908202685	0.18144920772142	0.739510772843032
KCNAB2	C3	3	3	0	0.171458456727472	0.205610361419528	0.18144920772142	0.739510772843032
KCNAB2	SEPTIN8	3	3	0	0.171295467990907	0.105161912728617	0.18144920772142	0.739510772843032
KCNAB2	DEK	3	3	0	0.168450615491106	0.247515162075746	0.18144920772142	0.739510772843032
KCNAB2	DNAJA4	3	3	0	0.167522277207236	0.123188801761773	0.18144920772142	0.739510772843032
KCNAB2	COL6A3	3	3	0	0.166929293317598	0.228035185760516	0.18144920772142	0.739510772843032
KCNAB2	DDRGK1	3	3	0	0.165496578645679	0.101759336331502	0.18144920772142	0.739510772843032
KCNAB2	APP	3	3	0	0.165031382373174	0.188109835805021	0.18144920772142	0.739510772843032
KCNC4	KCNC4	3	3	0	1.02315768233163	1.03730229158365	0.18144920772142	0.79444481593922
KCNC4	FOS	3	3	0	0.234013732233588	0.160158028449497	0.18144920772142	0.79444481593922
KCNC4	HSPA1A	3	3	0	0.221243739884727	0.270695830494998	0.18144920772142	0.79444481593922
KCNC4	FOSB	3	3	0	0.195390367393927	0.246795866060014	0.18144920772142	0.79444481593922
KCNC4	ATF3	3	3	0	0.179193811897085	0.210707771885113	0.18144920772142	0.79444481593922
KCNC4	HSP90AA1	3	3	0	0.177231583731602	0.157110842277985	0.18144920772142	0.79444481593922
KCNC4	HSPA1B	3	3	0	0.174846716623274	0.161548434347968	0.18144920772142	0.79444481593922
KCNC4	HNRNPH1	3	3	0	0.172455573757321	0.105496864768088	0.18144920772142	0.79444481593922
KCNC4	EGR1	3	3	0	0.170010758070386	0.178600532598435	0.18144920772142	0.79444481593922
KCNC4	NR4A1	3	2	1	0.154938658972267	0.222176374870209	0.422678074170635	0.900315969967732
